Plot Title: 21820136_Pendant1,,,,,
#,"Date Time, GMT+00:00","X Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","Y Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","Z Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)",End Of File (LGR S/N: 21820136)
1,11/21/24 06:00:00 PM,-0.725,-0.85,0.35,
2,11/21/24 06:05:00 PM,-0.975,-0.375,0.125,
3,11/21/24 06:10:00 PM,-1.05,-0.225,0.3,
4,11/21/24 06:15:00 PM,-1,-0.1,0.35,
5,11/21/24 06:20:00 PM,-0.975,-0.15,0.025,
6,11/21/24 06:25:00 PM,-1.025,-0.25,0.1,
7,11/21/24 06:30:00 PM,-1.075,-0.175,0.075,
8,11/21/24 06:35:00 PM,-1.025,-0.2,0.125,
9,11/21/24 06:40:00 PM,-1.025,-0.175,0.225,
10,11/21/24 06:45:00 PM,-1.125,-0.25,0.225,
11,11/21/24 06:50:00 PM,-0.975,-0.275,0.05,
12,11/21/24 06:55:00 PM,-1.075,-0.125,0.125,
13,11/21/24 07:00:00 PM,-1,-0.075,0.175,
14,11/21/24 07:05:00 PM,-1.025,-0.2,0.1,
15,11/21/24 07:10:00 PM,-1.075,-0.15,0.1,
16,11/21/24 07:15:00 PM,-1.025,-0.15,0.1,
17,11/21/24 07:20:00 PM,-1.075,-0.25,0.1,
18,11/21/24 07:25:00 PM,-1.025,-0.3,0.175,
19,11/21/24 07:30:00 PM,-1.075,-0.2,0.075,
20,11/21/24 07:35:00 PM,-1.025,0.1,-0.025,
21,11/21/24 07:40:00 PM,-1.075,-0.325,-0.025,
22,11/21/24 07:45:00 PM,-0.775,0.075,0.1,
23,11/21/24 07:50:00 PM,-1.05,-0.25,0.175,
24,11/21/24 07:55:00 PM,-1.025,-0.25,0.125,
25,11/21/24 08:00:00 PM,-1.025,-0.225,0.1,
26,11/21/24 08:05:00 PM,-1.025,-0.25,0.175,
27,11/21/24 08:10:00 PM,-1.025,-0.275,0.175,
28,11/21/24 08:15:00 PM,-1.025,-0.2,0.15,
29,11/21/24 08:20:00 PM,-1.025,-0.25,0.15,
30,11/21/24 08:25:00 PM,-1.025,-0.225,0.15,
31,11/21/24 08:30:00 PM,-1.025,-0.2,0.15,
32,11/21/24 08:35:00 PM,-1.025,-0.25,0.15,
33,11/21/24 08:40:00 PM,-1.025,-0.175,0.125,
34,11/21/24 08:45:00 PM,-0.925,-0.125,0.275,
35,11/21/24 08:50:00 PM,-1.05,-0.175,0.225,
36,11/21/24 08:55:00 PM,-0.975,-0.25,0.35,
37,11/21/24 09:00:00 PM,-1.025,-0.2,0.075,
38,11/21/24 09:05:00 PM,-1.075,-0.35,0.175,
39,11/21/24 09:10:00 PM,-1.1,-0.225,0.125,
40,11/21/24 09:15:00 PM,-1.025,-0.225,0.075,
41,11/21/24 09:20:00 PM,-1.125,-0.325,0.05,
42,11/21/24 09:25:00 PM,-1.075,-0.2,0.125,
43,11/21/24 09:30:00 PM,-1,-0.275,0.025,
44,11/21/24 09:35:00 PM,-0.975,-0.175,0.025,
45,11/21/24 09:40:00 PM,-1.075,-0.225,0.225,
46,11/21/24 09:45:00 PM,-1.075,-0.4,0.15,
47,11/21/24 09:50:00 PM,-1.025,-0.275,0.1,
48,11/21/24 09:55:00 PM,-1.025,-0.2,0.025,
49,11/21/24 10:00:00 PM,-1.05,-0.2,0.1,
50,11/21/24 10:05:00 PM,-1.025,-0.2,0.075,
51,11/21/24 10:10:00 PM,-1.05,-0.225,0.225,
52,11/21/24 10:15:00 PM,-1.025,-0.225,0.2,
53,11/21/24 10:20:00 PM,-1.025,-0.2,0.1,
54,11/21/24 10:25:00 PM,-1.025,-0.225,0.075,
55,11/21/24 10:30:00 PM,-1.025,-0.175,0.1,
56,11/21/24 10:35:00 PM,-1.05,-0.175,0.05,
57,11/21/24 10:40:00 PM,-1.025,-0.225,0,
58,11/21/24 10:45:00 PM,-1.025,-0.275,0.075,
59,11/21/24 10:50:00 PM,-1.025,-0.225,0.075,
60,11/21/24 10:55:00 PM,-1.075,-0.2,0.1,
61,11/21/24 11:00:00 PM,-1.025,-0.2,0.1,
62,11/21/24 11:05:00 PM,-1.05,-0.25,0.1,
63,11/21/24 11:10:00 PM,-1.025,-0.05,0.125,
64,11/21/24 11:15:00 PM,-1.05,-0.225,0.1,
65,11/21/24 11:20:00 PM,-1.025,-0.1,0.125,
66,11/21/24 11:25:00 PM,-1.025,-0.3,0.075,
67,11/21/24 11:30:00 PM,-1.075,-0.025,0.175,
68,11/21/24 11:35:00 PM,-1.025,-0.1,0.1,
69,11/21/24 11:40:00 PM,-1.075,-0.225,0.1,
70,11/21/24 11:45:00 PM,-0.925,-0.4,0,
71,11/21/24 11:50:00 PM,-1.025,-0.125,0.075,
72,11/21/24 11:55:00 PM,-1.075,-0.25,0.1,
73,11/22/24 12:00:00 AM,-1.05,-0.3,0.125,
74,11/22/24 12:05:00 AM,-1.025,-0.25,0.05,
75,11/22/24 12:10:00 AM,-1.025,-0.225,0.125,
76,11/22/24 12:15:00 AM,-1.025,-0.275,0.125,
77,11/22/24 12:20:00 AM,-0.9,-0.675,0.175,
78,11/22/24 12:25:00 AM,-0.95,-0.175,0.25,
79,11/22/24 12:30:00 AM,-1.075,-0.275,0.225,
80,11/22/24 12:35:00 AM,-1.05,-0.3,0.175,
81,11/22/24 12:40:00 AM,-1.1,-0.25,0.175,
82,11/22/24 12:45:00 AM,-1.025,-0.275,0.1,
83,11/22/24 12:50:00 AM,-1.075,-0.175,0.175,
84,11/22/24 12:55:00 AM,-0.7,-0.4,0.7,
85,11/22/24 01:00:00 AM,-1.025,-0.125,0.15,
86,11/22/24 01:05:00 AM,-0.95,-0.375,0.25,
87,11/22/24 01:10:00 AM,-1.025,-0.15,0.15,
88,11/22/24 01:15:00 AM,-1.075,-0.2,0.225,
89,11/22/24 01:20:00 AM,-1.025,-0.225,0.2,
90,11/22/24 01:25:00 AM,-0.95,-0.15,0.25,
91,11/22/24 01:30:00 AM,-0.975,-0.05,0.125,
92,11/22/24 01:35:00 AM,-1.05,-0.275,0.05,
93,11/22/24 01:40:00 AM,-1.075,-0.3,0.15,
94,11/22/24 01:45:00 AM,-1.075,-0.2,0.175,
95,11/22/24 01:50:00 AM,-1.05,-0.425,0.2,
96,11/22/24 01:55:00 AM,-1.025,-0.225,0.25,
97,11/22/24 02:00:00 AM,-0.975,-0.475,0.125,
98,11/22/24 02:05:00 AM,-1,-0.375,0.175,
99,11/22/24 02:10:00 AM,-1.05,-0.325,0.3,
100,11/22/24 02:15:00 AM,-1.125,-0.25,0.25,
101,11/22/24 02:20:00 AM,-1.025,-0.4,0.225,
102,11/22/24 02:25:00 AM,-0.95,-0.275,0.325,
103,11/22/24 02:30:00 AM,-1.05,-0.225,0.225,
104,11/22/24 02:35:00 AM,-1.025,-0.15,0.125,
105,11/22/24 02:40:00 AM,-1.075,-0.275,0.125,
106,11/22/24 02:45:00 AM,-1.05,-0.325,0.1,
107,11/22/24 02:50:00 AM,-1,-0.3,0.125,
108,11/22/24 02:55:00 AM,-0.95,-0.075,0.325,
109,11/22/24 03:00:00 AM,-1.025,-0.275,0.075,
110,11/22/24 03:05:00 AM,-1,-0.2,0.075,
111,11/22/24 03:10:00 AM,-1.025,-0.25,0.125,
112,11/22/24 03:15:00 AM,-1.075,-0.25,0.225,
113,11/22/24 03:20:00 AM,-1.025,-0.35,0.175,
114,11/22/24 03:25:00 AM,-1,-0.225,0.225,
115,11/22/24 03:30:00 AM,-1.025,-0.175,0.125,
116,11/22/24 03:35:00 AM,-1.05,-0.3,0.025,
117,11/22/24 03:40:00 AM,-1.05,-0.225,0.025,
118,11/22/24 03:45:00 AM,-1.025,-0.25,0.075,
119,11/22/24 03:50:00 AM,-1.05,-0.225,0.025,
120,11/22/24 03:55:00 AM,-1.025,-0.2,0.025,
121,11/22/24 04:00:00 AM,-1.025,-0.2,0.025,
122,11/22/24 04:05:00 AM,-1.025,-0.3,0.1,
123,11/22/24 04:10:00 AM,-1.025,-0.425,0.075,
124,11/22/24 04:15:00 AM,-1,-0.425,0.15,
125,11/22/24 04:20:00 AM,-0.975,-0.575,0.3,
126,11/22/24 04:25:00 AM,-1.05,-0.525,0.025,
