number,date_time,acc_x,acc_y,acc_z
1,11/21/24 06:00:00 PM,-1.075,-0.35,0.225
2,11/21/24 06:15:00 PM,-0.875,-0.1,-0.3
3,11/21/24 06:30:00 PM,-1,0.05,-0.1
4,11/21/24 06:45:00 PM,-1,-0.175,0.125
5,11/21/24 07:00:00 PM,-1,-0.15,0.1
6,11/21/24 07:15:00 PM,-1,-0.175,0.175
7,11/21/24 07:30:00 PM,-0.825,-0.025,0.225
8,11/21/24 07:45:00 PM,-1.075,-0.2,-0.075
9,11/21/24 08:00:00 PM,-1.1,0.025,0.175
10,11/21/24 08:15:00 PM,-1.025,-0.15,0.25
11,11/21/24 08:30:00 PM,-1.025,-0.25,0.15
12,11/21/24 08:45:00 PM,-0.975,-0.275,0.15
13,11/21/24 09:00:00 PM,-1,-0.025,0.275
14,11/21/24 09:15:00 PM,-1,-0.3,0.225
15,11/21/24 09:30:00 PM,-0.925,-0.15,0.275
16,11/21/24 09:45:00 PM,-0.975,-0.175,0.25
17,11/21/24 10:00:00 PM,-1.025,-0.175,0.125
18,11/21/24 10:15:00 PM,-0.975,-0.175,0
19,11/21/24 10:30:00 PM,-1.025,-0.25,0.075
20,11/21/24 10:45:00 PM,-1.025,-0.2,0.075
21,11/21/24 11:00:00 PM,-1.1,-0.275,0.075
22,11/21/24 11:15:00 PM,-1.025,-0.175,0.125
23,11/21/24 11:30:00 PM,-1.025,-0.25,0.175
24,11/21/24 11:45:00 PM,-1.05,-0.225,0.1
25,11/22/24 12:00:00 AM,-1.025,0,0.05
26,11/22/24 12:15:00 AM,-1,-0.125,0.1
27,11/22/24 12:30:00 AM,-0.975,-0.2,0.175
28,11/22/24 12:45:00 AM,-1.05,-0.175,0.125
29,11/22/24 01:00:00 AM,-0.675,-0.375,0.475
30,11/22/24 01:15:00 AM,-1,-0.175,0.05
31,11/22/24 01:30:00 AM,-1.025,-0.25,0.075
32,11/22/24 01:45:00 AM,-1.1,-0.175,0.05
33,11/22/24 02:00:00 AM,-0.975,-0.175,0.075
34,11/22/24 02:15:00 AM,-1,-0.5,0.025
35,11/22/24 02:30:00 AM,-0.95,-0.175,0.125
36,11/22/24 02:45:00 AM,-1.125,-0.225,0.05
37,11/22/24 03:00:00 AM,-0.975,-0.2,0.2
38,11/22/24 03:15:00 AM,-1.025,-0.275,0.2
39,11/22/24 03:30:00 AM,-1.05,-0.175,0.125
40,11/22/24 03:45:00 AM,-1.025,-0.3,0.175
41,11/22/24 04:00:00 AM,-1,-0.25,0.175
42,11/22/24 04:15:00 AM,-1,-0.45,0.175
43,11/22/24 04:30:00 AM,-0.8,-0.675,-0.3
44,11/22/24 04:45:00 AM,-0.95,-0.475,0.25
45,11/22/24 05:00:00 AM,-1,0.15,0.225
46,11/22/24 05:15:00 AM,-1,-0.375,0.125
47,11/22/24 05:30:00 AM,-0.9,-0.2,0.525
48,11/22/24 05:45:00 AM,-1.05,-0.325,0.25
49,11/22/24 06:00:00 AM,-1.1,-0.15,0.025
50,11/22/24 06:15:00 AM,-0.95,-0.2,0.25
51,11/22/24 06:30:00 AM,-1,-0.075,0.225
52,11/22/24 06:45:00 AM,-1.05,-0.1,0.075
53,11/22/24 07:00:00 AM,-0.975,-0.15,0.25
54,11/22/24 07:15:00 AM,-1.025,-0.325,0.275
55,11/22/24 07:30:00 AM,-1.125,-0.15,-0.025
56,11/22/24 07:45:00 AM,-0.95,0.05,-0.1
57,11/22/24 08:00:00 AM,-1.05,-0.125,0.1
58,11/22/24 08:15:00 AM,-1.05,-0.25,0.125
59,11/22/24 08:30:00 AM,-0.975,-0.15,0.075
60,11/22/24 08:45:00 AM,-1.025,-0.175,0.05
61,11/22/24 09:00:00 AM,-1.025,-0.125,0.025
62,11/22/24 09:15:00 AM,-0.975,-0.25,0.275
63,11/22/24 09:30:00 AM,-1.025,-0.225,0.175
64,11/22/24 09:45:00 AM,-1.075,-0.025,0.225
65,11/22/24 10:00:00 AM,0.025,0.1,1
66,11/22/24 10:15:00 AM,-0.8,-0.475,-0.35
67,11/22/24 10:30:00 AM,-0.975,0.15,-0.1
68,11/22/24 10:45:00 AM,-0.875,-0.025,0.4
69,11/22/24 11:00:00 AM,-1.025,-0.25,0.025
70,11/22/24 11:15:00 AM,-1.15,0.125,0.025
71,11/22/24 11:30:00 AM,-1.025,-0.475,-0.2
72,11/22/24 11:45:00 AM,-0.825,-0.175,0.7
73,11/22/24 12:00:00 PM,-1.025,-0.425,0.275
74,11/22/24 12:15:00 PM,-0.325,-0.75,0.65
75,11/22/24 12:30:00 PM,-1.025,-0.25,0.3
76,11/22/24 12:45:00 PM,-1.175,-0.3,0.15
77,11/22/24 01:00:00 PM,-1.05,-0.225,0.025
78,11/22/24 01:15:00 PM,-0.875,-0.725,0.275
79,11/22/24 01:30:00 PM,-0.675,-0.35,0.625
80,11/22/24 01:45:00 PM,-1,-0.225,0.05
81,11/22/24 02:00:00 PM,-0.95,-0.55,0.175
82,11/22/24 02:15:00 PM,-1,-0.225,0.1
83,11/22/24 02:30:00 PM,-1.025,-0.25,0.125
84,11/22/24 02:45:00 PM,-0.95,-0.15,0.225
85,11/22/24 03:00:00 PM,-0.9,0.1,0.35
86,11/22/24 03:15:00 PM,-1.1,0.225,0.2
87,11/22/24 03:30:00 PM,-0.95,-0.075,0.275
88,11/22/24 03:45:00 PM,-1.025,-0.175,0.175
89,11/22/24 04:00:00 PM,-0.8,-0.675,0.4
90,11/22/24 04:15:00 PM,-0.95,-0.2,0.325
91,11/22/24 04:30:00 PM,-1,-0.3,0.25
92,11/22/24 04:45:00 PM,-1.025,-0.175,0.1
93,11/22/24 05:00:00 PM,-1.05,-0.175,0.075
94,11/22/24 05:15:00 PM,-1.075,-0.2,0.075
95,11/22/24 05:30:00 PM,-1.025,-0.175,0.075
96,11/22/24 05:45:00 PM,-1.025,-0.225,0.1
97,11/22/24 06:00:00 PM,-1.05,-0.125,0.075
98,11/22/24 06:15:00 PM,-1.05,-0.225,0.075
99,11/22/24 06:30:00 PM,-1.05,-0.2,0.125
100,11/22/24 06:45:00 PM,-1.025,-0.175,0.125
101,11/22/24 07:00:00 PM,-1.025,-0.175,0.1
102,11/22/24 07:15:00 PM,-1.025,-0.15,0.075
103,11/22/24 07:30:00 PM,-1.05,-0.15,0.125
104,11/22/24 07:45:00 PM,-1.025,-0.15,0.1
105,11/22/24 08:00:00 PM,-1,-0.175,0.1
106,11/22/24 08:15:00 PM,-1.1,-0.25,0.1
107,11/22/24 08:30:00 PM,-1.05,-0.2,0.125
108,11/22/24 08:45:00 PM,-1.05,-0.15,0.075
109,11/22/24 09:00:00 PM,-1.025,-0.225,0.05
110,11/22/24 09:15:00 PM,-1.075,-0.2,0.05
111,11/22/24 09:30:00 PM,-1.05,-0.175,0.075
112,11/22/24 09:45:00 PM,-1.05,-0.2,0.05
113,11/22/24 10:00:00 PM,-1.025,-0.2,0.025
114,11/22/24 10:15:00 PM,-1,-0.2,0.05
115,11/22/24 10:30:00 PM,-1.025,-0.2,0.1
116,11/22/24 10:45:00 PM,-1.025,-0.175,0.05
117,11/22/24 11:00:00 PM,-1.1,-0.175,0.075
118,11/22/24 11:15:00 PM,-1.075,-0.325,0.175
