"Plot Title: mill_meso_T2_high"
"#","Date Time, GMT+01:00","X Accel, g (LGR S/N: 21820144, SEN S/N: 21820144)","Coupler Detached (LGR S/N: 21820144)","Coupler Attached (LGR S/N: 21820144)","Host Connected (LGR S/N: 21820144)","Stopped (LGR S/N: 21820144)","End Of File (LGR S/N: 21820144)"
1,30/06/25 13:04:52,-0.100,,,,,
2,30/06/25 13:04:53,-0.100,,,,,
3,30/06/25 13:04:54,-0.100,,,,,
4,30/06/25 13:04:55,-0.100,,,,,
5,30/06/25 13:04:56,-0.100,,,,,
6,30/06/25 13:04:57,-0.150,Logged,,,,
7,30/06/25 13:04:58,0.975,,,,,
8,30/06/25 13:04:59,0.750,,,,,
9,30/06/25 13:05:00,1.375,,,,,
10,30/06/25 13:05:01,1.025,,,,,
11,30/06/25 13:05:02,1.100,,,,,
12,30/06/25 13:05:03,1.350,,,,,
13,30/06/25 13:05:04,1.300,,,,,
14,30/06/25 13:05:05,0.925,,,,,
15,30/06/25 13:05:06,0.950,,,,,
16,30/06/25 13:05:07,0.950,,,,,
17,30/06/25 13:05:08,1.125,,,,,
18,30/06/25 13:05:09,1.175,,,,,
19,30/06/25 13:05:10,0.975,,,,,
20,30/06/25 13:05:11,0.900,,,,,
21,30/06/25 13:05:12,1.000,,,,,
22,30/06/25 13:05:13,0.900,,,,,
23,30/06/25 13:05:14,0.900,,,,,
24,30/06/25 13:05:15,0.975,,,,,
25,30/06/25 13:05:16,1.225,,,,,
26,30/06/25 13:05:17,0.875,,,,,
27,30/06/25 13:05:18,1.600,,,,,
28,30/06/25 13:05:19,1.625,,,,,
29,30/06/25 13:05:20,1.400,,,,,
30,30/06/25 13:05:21,0.350,,,,,
31,30/06/25 13:05:22,-0.850,,,,,
32,30/06/25 13:05:23,-0.625,,,,,
33,30/06/25 13:05:24,-0.500,,,,,
34,30/06/25 13:05:25,-0.450,,,,,
35,30/06/25 13:05:26,-1.100,,,,,
36,30/06/25 13:05:27,-1.050,,,,,
37,30/06/25 13:05:28,-1.050,,,,,
38,30/06/25 13:05:29,-1.050,,,,,
39,30/06/25 13:05:30,-0.950,,,,,
40,30/06/25 13:05:31,-0.975,,,,,
41,30/06/25 13:05:32,-1.000,,,,,
42,30/06/25 13:05:33,-0.200,,,,,
43,30/06/25 13:05:34,-0.525,,,,,
44,30/06/25 13:05:35,-1.025,,,,,
45,30/06/25 13:05:36,-1.100,,,,,
46,30/06/25 13:05:37,-1.100,,,,,
47,30/06/25 13:05:38,-1.100,,,,,
48,30/06/25 13:05:39,-1.075,,,,,
49,30/06/25 13:05:40,-1.050,,,,,
50,30/06/25 13:05:41,-1.100,,,,,
51,30/06/25 13:05:42,-1.050,,,,,
52,30/06/25 13:05:43,-1.100,,,,,
53,30/06/25 13:05:44,-1.100,,,,,
54,30/06/25 13:05:45,-1.100,,,,,
55,30/06/25 13:05:46,-1.100,,,,,
56,30/06/25 13:05:47,-1.050,,,,,
57,30/06/25 13:05:48,-1.050,,,,,
58,30/06/25 13:05:49,-1.100,,,,,
59,30/06/25 13:05:50,-1.100,,,,,
60,30/06/25 13:05:51,-1.050,,,,,
61,30/06/25 13:05:52,-1.050,,,,,
62,30/06/25 13:05:53,-1.050,,,,,
63,30/06/25 13:05:54,-1.050,,,,,
64,30/06/25 13:05:55,-1.100,,,,,
65,30/06/25 13:05:56,-1.100,,,,,
66,30/06/25 13:05:57,-1.100,,,,,
67,30/06/25 13:05:58,-1.050,,,,,
68,30/06/25 13:05:59,-1.050,,,,,
69,30/06/25 13:06:00,-1.050,,,,,
70,30/06/25 13:06:01,-1.100,,,,,
71,30/06/25 13:06:02,-1.100,,,,,
72,30/06/25 13:06:03,-1.050,,,,,
73,30/06/25 13:06:04,-1.100,,,,,
74,30/06/25 13:06:05,-1.100,,,,,
75,30/06/25 13:06:06,-1.100,,,,,
76,30/06/25 13:06:07,-1.050,,,,,
77,30/06/25 13:06:08,-1.050,,,,,
78,30/06/25 13:06:09,-1.100,,,,,
79,30/06/25 13:06:10,-1.100,,,,,
80,30/06/25 13:06:11,-1.050,,,,,
81,30/06/25 13:06:12,-1.100,,,,,
82,30/06/25 13:06:13,-1.100,,,,,
83,30/06/25 13:06:14,-1.050,,,,,
84,30/06/25 13:06:15,-1.100,,,,,
85,30/06/25 13:06:16,-1.050,,,,,
86,30/06/25 13:06:17,-1.100,,,,,
87,30/06/25 13:06:18,-1.100,,,,,
88,30/06/25 13:06:19,-1.050,,,,,
89,30/06/25 13:06:20,-1.050,,,,,
90,30/06/25 13:06:21,-1.050,,,,,
91,30/06/25 13:06:22,-1.100,,,,,
92,30/06/25 13:06:23,-1.100,,,,,
93,30/06/25 13:06:24,-1.050,,,,,
94,30/06/25 13:06:25,-1.100,,,,,
95,30/06/25 13:06:26,-1.050,,,,,
96,30/06/25 13:06:27,-1.100,,,,,
97,30/06/25 13:06:28,-1.100,,,,,
98,30/06/25 13:06:29,-1.100,,,,,
99,30/06/25 13:06:30,-1.050,,,,,
100,30/06/25 13:06:31,-1.050,,,,,
101,30/06/25 13:06:32,-1.050,,,,,
102,30/06/25 13:06:33,-1.050,,,,,
103,30/06/25 13:06:34,-1.050,,,,,
104,30/06/25 13:06:35,-1.050,,,,,
105,30/06/25 13:06:36,-1.100,,,,,
106,30/06/25 13:06:37,-1.100,,,,,
107,30/06/25 13:06:38,-1.100,,,,,
108,30/06/25 13:06:39,-1.050,,,,,
109,30/06/25 13:06:40,-1.100,,,,,
110,30/06/25 13:06:41,-1.100,,,,,
111,30/06/25 13:06:42,-1.100,,,,,
112,30/06/25 13:06:43,-1.100,,,,,
113,30/06/25 13:06:44,-1.050,,,,,
114,30/06/25 13:06:45,-1.050,,,,,
115,30/06/25 13:06:46,-1.050,,,,,
116,30/06/25 13:06:47,-1.100,,,,,
117,30/06/25 13:06:48,-1.050,,,,,
118,30/06/25 13:06:49,-1.100,,,,,
119,30/06/25 13:06:50,-1.050,,,,,
120,30/06/25 13:06:51,-1.100,,,,,
121,30/06/25 13:06:52,-1.100,,,,,
122,30/06/25 13:06:53,-1.100,,,,,
123,30/06/25 13:06:54,-1.050,,,,,
124,30/06/25 13:06:55,-1.100,,,,,
125,30/06/25 13:06:56,-1.050,,,,,
126,30/06/25 13:06:57,-1.050,,,,,
127,30/06/25 13:06:58,-1.100,,,,,
128,30/06/25 13:06:59,-1.100,,,,,
129,30/06/25 13:07:00,-1.100,,,,,
130,30/06/25 13:07:01,-1.100,,,,,
131,30/06/25 13:07:02,-1.100,,,,,
132,30/06/25 13:07:03,-1.050,,,,,
133,30/06/25 13:07:04,-1.050,,,,,
134,30/06/25 13:07:05,-1.050,,,,,
135,30/06/25 13:07:06,-1.100,,,,,
136,30/06/25 13:07:07,-1.050,,,,,
137,30/06/25 13:07:08,-1.100,,,,,
138,30/06/25 13:07:09,-1.100,,,,,
139,30/06/25 13:07:10,-1.100,,,,,
140,30/06/25 13:07:11,-1.050,,,,,
141,30/06/25 13:07:12,-1.050,,,,,
142,30/06/25 13:07:13,-1.050,,,,,
143,30/06/25 13:07:14,-1.050,,,,,
144,30/06/25 13:07:15,-1.050,,,,,
145,30/06/25 13:07:16,-1.100,,,,,
146,30/06/25 13:07:17,-1.050,,,,,
147,30/06/25 13:07:18,-1.050,,,,,
148,30/06/25 13:07:19,-1.050,,,,,
149,30/06/25 13:07:20,-1.050,,,,,
150,30/06/25 13:07:21,-1.050,,,,,
151,30/06/25 13:07:22,-1.100,,,,,
152,30/06/25 13:07:23,-1.100,,,,,
153,30/06/25 13:07:24,-1.100,,,,,
154,30/06/25 13:07:25,-1.100,,,,,
155,30/06/25 13:07:26,-1.100,,,,,
156,30/06/25 13:07:27,-1.100,,,,,
157,30/06/25 13:07:28,-1.100,,,,,
158,30/06/25 13:07:29,-1.050,,,,,
159,30/06/25 13:07:30,-1.100,,,,,
160,30/06/25 13:07:31,-1.050,,,,,
161,30/06/25 13:07:32,-1.100,,,,,
162,30/06/25 13:07:33,-1.050,,,,,
163,30/06/25 13:07:34,-1.100,,,,,
164,30/06/25 13:07:35,-1.100,,,,,
165,30/06/25 13:07:36,-1.100,,,,,
166,30/06/25 13:07:37,-1.100,,,,,
167,30/06/25 13:07:38,-1.100,,,,,
168,30/06/25 13:07:39,-1.100,,,,,
169,30/06/25 13:07:40,-1.050,,,,,
170,30/06/25 13:07:41,-1.100,,,,,
171,30/06/25 13:07:42,-1.100,,,,,
172,30/06/25 13:07:43,-1.050,,,,,
173,30/06/25 13:07:44,-1.100,,,,,
174,30/06/25 13:07:45,-1.050,,,,,
175,30/06/25 13:07:46,-1.100,,,,,
176,30/06/25 13:07:47,-1.100,,,,,
177,30/06/25 13:07:48,-1.100,,,,,
178,30/06/25 13:07:49,-1.050,,,,,
179,30/06/25 13:07:50,-1.050,,,,,
180,30/06/25 13:07:51,-1.050,,,,,
181,30/06/25 13:07:52,-1.050,,,,,
182,30/06/25 13:07:53,-1.100,,,,,
183,30/06/25 13:07:54,-1.100,,,,,
184,30/06/25 13:07:55,-1.050,,,,,
185,30/06/25 13:07:56,-1.050,,,,,
186,30/06/25 13:07:57,-1.050,,,,,
187,30/06/25 13:07:58,-1.050,,,,,
188,30/06/25 13:07:59,-1.050,,,,,
189,30/06/25 13:08:00,-1.100,,,,,
190,30/06/25 13:08:01,-1.100,,,,,
191,30/06/25 13:08:02,-1.100,,,,,
192,30/06/25 13:08:03,-1.050,,,,,
193,30/06/25 13:08:04,-1.100,,,,,
194,30/06/25 13:08:05,-1.100,,,,,
195,30/06/25 13:08:06,-1.100,,,,,
196,30/06/25 13:08:07,-1.050,,,,,
197,30/06/25 13:08:08,-1.050,,,,,
198,30/06/25 13:08:09,-1.050,,,,,
199,30/06/25 13:08:10,-1.050,,,,,
200,30/06/25 13:08:11,-1.100,,,,,
201,30/06/25 13:08:12,-1.050,,,,,
202,30/06/25 13:08:13,-1.100,,,,,
203,30/06/25 13:08:14,-1.050,,,,,
204,30/06/25 13:08:15,-1.050,,,,,
205,30/06/25 13:08:16,-1.100,,,,,
206,30/06/25 13:08:17,-1.050,,,,,
207,30/06/25 13:08:18,-1.100,,,,,
208,30/06/25 13:08:19,-1.050,,,,,
209,30/06/25 13:08:20,-1.100,,,,,
210,30/06/25 13:08:21,-1.100,,,,,
211,30/06/25 13:08:22,-1.100,,,,,
212,30/06/25 13:08:23,-1.100,,,,,
213,30/06/25 13:08:24,-1.100,,,,,
214,30/06/25 13:08:25,-1.100,,,,,
215,30/06/25 13:08:26,-1.050,,,,,
216,30/06/25 13:08:27,-1.050,,,,,
217,30/06/25 13:08:28,-1.100,,,,,
218,30/06/25 13:08:29,-1.100,,,,,
219,30/06/25 13:08:30,-1.100,,,,,
220,30/06/25 13:08:31,-1.100,,,,,
221,30/06/25 13:08:32,-1.050,,,,,
222,30/06/25 13:08:33,-1.100,,,,,
223,30/06/25 13:08:34,-1.100,,,,,
224,30/06/25 13:08:35,-1.050,,,,,
225,30/06/25 13:08:36,-1.050,,,,,
226,30/06/25 13:08:37,-1.100,,,,,
227,30/06/25 13:08:38,-1.100,,,,,
228,30/06/25 13:08:39,-1.100,,,,,
229,30/06/25 13:08:40,-1.050,,,,,
230,30/06/25 13:08:41,-1.100,,,,,
231,30/06/25 13:08:42,-1.100,,,,,
232,30/06/25 13:08:43,-1.050,,,,,
233,30/06/25 13:08:44,-1.050,,,,,
234,30/06/25 13:08:45,-1.100,,,,,
235,30/06/25 13:08:46,-1.100,,,,,
236,30/06/25 13:08:47,-1.050,,,,,
237,30/06/25 13:08:48,-1.050,,,,,
238,30/06/25 13:08:49,-1.050,,,,,
239,30/06/25 13:08:50,-1.100,,,,,
240,30/06/25 13:08:51,-1.050,,,,,
241,30/06/25 13:08:52,-1.050,,,,,
242,30/06/25 13:08:53,-1.100,,,,,
243,30/06/25 13:08:54,-1.050,,,,,
244,30/06/25 13:08:55,-1.100,,,,,
245,30/06/25 13:08:56,-1.050,,,,,
246,30/06/25 13:08:57,-1.100,,,,,
247,30/06/25 13:08:58,-1.100,,,,,
248,30/06/25 13:08:59,-1.100,,,,,
249,30/06/25 13:09:00,-1.050,,,,,
250,30/06/25 13:09:01,-1.100,,,,,
251,30/06/25 13:09:02,-1.100,,,,,
252,30/06/25 13:09:03,-1.100,,,,,
253,30/06/25 13:09:04,-1.050,,,,,
254,30/06/25 13:09:05,-1.100,,,,,
255,30/06/25 13:09:06,-1.100,,,,,
256,30/06/25 13:09:07,-1.100,,,,,
257,30/06/25 13:09:08,-1.050,,,,,
258,30/06/25 13:09:09,-1.100,,,,,
259,30/06/25 13:09:10,-1.050,,,,,
260,30/06/25 13:09:11,-1.100,,,,,
261,30/06/25 13:09:12,-1.100,,,,,
262,30/06/25 13:09:13,-1.100,,,,,
263,30/06/25 13:09:14,-1.100,,,,,
264,30/06/25 13:09:15,-1.050,,,,,
265,30/06/25 13:09:16,-1.100,,,,,
266,30/06/25 13:09:17,-1.050,,,,,
267,30/06/25 13:09:18,-1.050,,,,,
268,30/06/25 13:09:19,-1.100,,,,,
269,30/06/25 13:09:20,-1.100,,,,,
270,30/06/25 13:09:21,-1.050,,,,,
271,30/06/25 13:09:22,-1.100,,,,,
272,30/06/25 13:09:23,-1.100,,,,,
273,30/06/25 13:09:24,-1.100,,,,,
274,30/06/25 13:09:25,-1.050,,,,,
275,30/06/25 13:09:26,-1.050,,,,,
276,30/06/25 13:09:27,-1.050,,,,,
277,30/06/25 13:09:28,-1.100,,,,,
278,30/06/25 13:09:29,-1.050,,,,,
279,30/06/25 13:09:30,-1.100,,,,,
280,30/06/25 13:09:31,-1.050,,,,,
281,30/06/25 13:09:32,-1.050,,,,,
282,30/06/25 13:09:33,-1.050,,,,,
283,30/06/25 13:09:34,-1.050,,,,,
284,30/06/25 13:09:35,-1.100,,,,,
285,30/06/25 13:09:36,-1.100,,,,,
286,30/06/25 13:09:37,-1.100,,,,,
287,30/06/25 13:09:38,-1.100,,,,,
288,30/06/25 13:09:39,-1.100,,,,,
289,30/06/25 13:09:40,-1.100,,,,,
290,30/06/25 13:09:41,-1.050,,,,,
291,30/06/25 13:09:42,-1.100,,,,,
292,30/06/25 13:09:43,-1.100,,,,,
293,30/06/25 13:09:44,-1.100,,,,,
294,30/06/25 13:09:45,-1.050,,,,,
295,30/06/25 13:09:46,-1.050,,,,,
296,30/06/25 13:09:47,-1.100,,,,,
297,30/06/25 13:09:48,-1.100,,,,,
298,30/06/25 13:09:49,-1.100,,,,,
299,30/06/25 13:09:50,-1.100,,,,,
300,30/06/25 13:09:51,-1.100,,,,,
301,30/06/25 13:09:52,-1.100,,,,,
302,30/06/25 13:09:53,-1.100,,,,,
303,30/06/25 13:09:54,-1.100,,,,,
304,30/06/25 13:09:55,-1.050,,,,,
305,30/06/25 13:09:56,-1.100,,,,,
306,30/06/25 13:09:57,-1.050,,,,,
307,30/06/25 13:09:58,-1.100,,,,,
308,30/06/25 13:09:59,-1.050,,,,,
309,30/06/25 13:10:00,-1.100,,,,,
310,30/06/25 13:10:01,-1.100,,,,,
311,30/06/25 13:10:02,-1.100,,,,,
312,30/06/25 13:10:03,-1.100,,,,,
313,30/06/25 13:10:04,-1.100,,,,,
314,30/06/25 13:10:05,-1.050,,,,,
315,30/06/25 13:10:06,-1.100,,,,,
316,30/06/25 13:10:07,-1.050,,,,,
317,30/06/25 13:10:08,-1.050,,,,,
318,30/06/25 13:10:09,-1.100,,,,,
319,30/06/25 13:10:10,-1.050,,,,,
320,30/06/25 13:10:11,-1.050,,,,,
321,30/06/25 13:10:12,-1.100,,,,,
322,30/06/25 13:10:13,-1.050,,,,,
323,30/06/25 13:10:14,-1.100,,,,,
324,30/06/25 13:10:15,-1.100,,,,,
325,30/06/25 13:10:16,-1.100,,,,,
326,30/06/25 13:10:17,-1.050,,,,,
327,30/06/25 13:10:18,-1.050,,,,,
328,30/06/25 13:10:19,-1.050,,,,,
329,30/06/25 13:10:20,-1.050,,,,,
