"Plot Title: mill_meso_T5_high"
"#","Date Time, GMT+01:00","X Accel, g (LGR S/N: 21820144, SEN S/N: 21820144)","Coupler Detached (LGR S/N: 21820144)","Host Connected (LGR S/N: 21820144)","Coupler Attached (LGR S/N: 21820144)","Stopped (LGR S/N: 21820144)","End Of File (LGR S/N: 21820144)"
1,30/06/25 14:16:35,-0.025,,,,,
2,30/06/25 14:16:36,-0.075,,,,,
3,30/06/25 14:16:37,-0.075,,,,,
4,30/06/25 14:16:38,-0.025,,,,,
5,30/06/25 14:16:39,-0.025,,,,,
6,30/06/25 14:16:40,-0.025,,,,,
7,30/06/25 14:16:41,0.125,,,,,
8,30/06/25 14:16:42,0.325,Logged,,,,
9,30/06/25 14:16:43,0.100,,,,,
10,30/06/25 14:16:44,0.125,,,,,
11,30/06/25 14:16:45,0.325,,,,,
12,30/06/25 14:16:46,1.325,,,,,
13,30/06/25 14:16:47,1.100,,,,,
14,30/06/25 14:16:48,1.200,,,,,
15,30/06/25 14:16:49,0.800,,,,,
16,30/06/25 14:16:50,1.150,,,,,
17,30/06/25 14:16:51,0.975,,,,,
18,30/06/25 14:16:52,1.100,,,,,
19,30/06/25 14:16:53,1.050,,,,,
20,30/06/25 14:16:54,0.975,,,,,
21,30/06/25 14:16:55,0.425,,,,,
22,30/06/25 14:16:56,0.100,,,,,
23,30/06/25 14:16:57,-0.500,,,,,
24,30/06/25 14:16:58,-1.025,,,,,
25,30/06/25 14:16:59,-1.100,,,,,
26,30/06/25 14:17:00,-1.150,,,,,
27,30/06/25 14:17:01,-0.925,,,,,
28,30/06/25 14:17:02,-0.800,,,,,
29,30/06/25 14:17:03,-1.100,,,,,
30,30/06/25 14:17:04,-1.050,,,,,
31,30/06/25 14:17:05,-1.075,,,,,
32,30/06/25 14:17:06,-1.050,,,,,
33,30/06/25 14:17:07,-1.050,,,,,
34,30/06/25 14:17:08,-1.050,,,,,
35,30/06/25 14:17:09,-1.050,,,,,
36,30/06/25 14:17:10,-1.050,,,,,
37,30/06/25 14:17:11,-1.100,,,,,
38,30/06/25 14:17:12,-1.050,,,,,
39,30/06/25 14:17:13,-1.050,,,,,
40,30/06/25 14:17:14,-1.050,,,,,
41,30/06/25 14:17:15,-1.050,,,,,
42,30/06/25 14:17:16,-1.050,,,,,
43,30/06/25 14:17:17,-1.050,,,,,
44,30/06/25 14:17:18,-1.050,,,,,
45,30/06/25 14:17:19,-1.050,,,,,
46,30/06/25 14:17:20,-1.050,,,,,
47,30/06/25 14:17:21,-1.050,,,,,
48,30/06/25 14:17:22,-1.050,,,,,
49,30/06/25 14:17:23,-1.050,,,,,
50,30/06/25 14:17:24,-1.050,,,,,
51,30/06/25 14:17:25,-1.100,,,,,
52,30/06/25 14:17:26,-1.050,,,,,
53,30/06/25 14:17:27,-1.050,,,,,
54,30/06/25 14:17:28,-1.050,,,,,
55,30/06/25 14:17:29,-1.050,,,,,
56,30/06/25 14:17:30,-1.050,,,,,
57,30/06/25 14:17:31,-1.100,,,,,
58,30/06/25 14:17:32,-1.050,,,,,
59,30/06/25 14:17:33,-1.050,,,,,
60,30/06/25 14:17:34,-1.050,,,,,
61,30/06/25 14:17:35,-1.050,,,,,
62,30/06/25 14:17:36,-1.050,,,,,
63,30/06/25 14:17:37,-1.050,,,,,
64,30/06/25 14:17:38,-1.050,,,,,
65,30/06/25 14:17:39,-1.050,,,,,
66,30/06/25 14:17:40,-1.050,,,,,
67,30/06/25 14:17:41,-1.050,,,,,
68,30/06/25 14:17:42,-1.050,,,,,
69,30/06/25 14:17:43,-1.050,,,,,
70,30/06/25 14:17:44,-1.050,,,,,
71,30/06/25 14:17:45,-1.050,,,,,
72,30/06/25 14:17:46,-1.050,,,,,
73,30/06/25 14:17:47,-1.100,,,,,
74,30/06/25 14:17:48,-1.050,,,,,
75,30/06/25 14:17:49,-1.050,,,,,
76,30/06/25 14:17:50,-1.025,,,,,
77,30/06/25 14:17:51,-1.050,,,,,
78,30/06/25 14:17:52,-1.025,,,,,
79,30/06/25 14:17:53,-1.050,,,,,
80,30/06/25 14:17:54,-1.025,,,,,
81,30/06/25 14:17:55,-1.025,,,,,
82,30/06/25 14:17:56,-1.025,,,,,
83,30/06/25 14:17:57,-1.100,,,,,
84,30/06/25 14:17:58,-1.025,,,,,
85,30/06/25 14:17:59,-0.975,,,,,
86,30/06/25 14:18:00,-1.075,,,,,
87,30/06/25 14:18:01,-1.000,,,,,
88,30/06/25 14:18:02,-1.075,,,,,
89,30/06/25 14:18:03,-1.050,,,,,
90,30/06/25 14:18:04,-1.075,,,,,
91,30/06/25 14:18:05,-1.075,,,,,
92,30/06/25 14:18:06,-1.075,,,,,
93,30/06/25 14:18:07,-1.100,,,,,
94,30/06/25 14:18:08,-1.025,,,,,
95,30/06/25 14:18:09,-1.075,,,,,
96,30/06/25 14:18:10,-1.000,,,,,
97,30/06/25 14:18:11,-1.025,,,,,
98,30/06/25 14:18:12,-1.025,,,,,
99,30/06/25 14:18:13,-1.075,,,,,
100,30/06/25 14:18:14,-1.000,,,,,
101,30/06/25 14:18:15,-1.050,,,,,
102,30/06/25 14:18:16,-1.050,,,,,
103,30/06/25 14:18:17,-1.100,,,,,
104,30/06/25 14:18:18,-1.050,,,,,
105,30/06/25 14:18:19,-1.025,,,,,
106,30/06/25 14:18:20,-1.025,,,,,
107,30/06/25 14:18:21,-1.025,,,,,
108,30/06/25 14:18:22,-1.075,,,,,
109,30/06/25 14:18:23,-1.050,,,,,
110,30/06/25 14:18:24,-1.000,,,,,
111,30/06/25 14:18:25,-1.025,,,,,
112,30/06/25 14:18:26,-1.075,,,,,
113,30/06/25 14:18:27,-1.075,,,,,
114,30/06/25 14:18:28,-1.050,,,,,
115,30/06/25 14:18:29,-1.075,,,,,
116,30/06/25 14:18:30,-1.025,,,,,
117,30/06/25 14:18:31,-1.050,,,,,
118,30/06/25 14:18:32,-1.075,,,,,
119,30/06/25 14:18:33,-1.025,,,,,
120,30/06/25 14:18:34,-1.025,,,,,
121,30/06/25 14:18:35,-1.025,,,,,
122,30/06/25 14:18:36,-1.025,,,,,
123,30/06/25 14:18:37,-1.075,,,,,
124,30/06/25 14:18:38,-1.050,,,,,
125,30/06/25 14:18:39,-1.050,,,,,
126,30/06/25 14:18:40,-1.100,,,,,
127,30/06/25 14:18:41,-1.025,,,,,
128,30/06/25 14:18:42,-1.050,,,,,
129,30/06/25 14:18:43,-1.050,,,,,
130,30/06/25 14:18:44,-1.075,,,,,
131,30/06/25 14:18:45,-1.075,,,,,
132,30/06/25 14:18:46,-1.075,,,,,
133,30/06/25 14:18:47,-1.075,,,,,
134,30/06/25 14:18:48,-1.075,,,,,
135,30/06/25 14:18:49,-1.075,,,,,
136,30/06/25 14:18:50,-1.025,,,,,
137,30/06/25 14:18:51,-1.075,,,,,
138,30/06/25 14:18:52,-1.075,,,,,
139,30/06/25 14:18:53,-1.025,,,,,
140,30/06/25 14:18:54,-0.950,,,,,
141,30/06/25 14:18:55,-0.975,,,,,
142,30/06/25 14:18:56,-1.000,,,,,
143,30/06/25 14:18:57,-1.000,,,,,
144,30/06/25 14:18:58,-1.025,,,,,
145,30/06/25 14:18:59,-1.025,,,,,
146,30/06/25 14:19:00,-1.025,,,,,
147,30/06/25 14:19:01,-1.075,,,,,
148,30/06/25 14:19:02,-1.050,,,,,
149,30/06/25 14:19:03,-1.025,,,,,
150,30/06/25 14:19:04,-1.025,,,,,
151,30/06/25 14:19:05,-1.025,,,,,
152,30/06/25 14:19:06,-1.100,,,,,
153,30/06/25 14:19:07,-1.000,,,,,
