"number","date_time","acc_x","acc_y","acc_z","datetime","v_x","v_y","v_z","v_total","v_x_smooth","v_y_smooth","v_z_smooth","v_total_smooth"
1,"11/21/24 06:00:00 PM",-10.54575,-3.4335,2.20725,2024-11-21 18:00:00,0,0,0,0,NA,NA,NA,NA
2,"11/21/24 06:15:00 PM",-8.58375,-0.981,-2.943,2024-11-21 18:15:00,-8608.275,-1986.525,-331.0875,8840.71823914246,NA,NA,NA,NA
3,"11/21/24 06:30:00 PM",-9.81,0.4905,-0.981,2024-11-21 18:30:00,-16885.4625,-2207.25,-2096.8875,17157.731015174,NA,NA,NA,NA
4,"11/21/24 06:45:00 PM",-9.81,-1.71675,1.22625,2024-11-21 18:45:00,-25714.4625,-2759.0625,-1986.525,25938.2399001636,NA,NA,NA,NA
5,"11/21/24 07:00:00 PM",-9.81,-1.4715,0.981,2024-11-21 19:00:00,-34543.4625,-4193.775,-993.2625,34811.2786411737,NA,NA,NA,NA
6,"11/21/24 07:15:00 PM",-9.81,-1.71675,1.71675,2024-11-21 19:15:00,-43372.4625,-5628.4875,220.725,43736.7019147213,-43312.2647727273,-5317.46590909091,1294.25113636364,43715.6283013826
7,"11/21/24 07:30:00 PM",-8.09325,-0.24525,2.20725,2024-11-21 19:30:00,-51428.925,-6511.3875,1986.525,51877.5363274549,-52101.1329545455,-6491.32159090909,2026.65681818182,52612.737897306
8,"11/21/24 07:45:00 PM",-10.54575,-1.962,-0.73575,2024-11-21 19:45:00,-59816.475,-7504.65,2648.7,60343.5668877646,-60900.0340909091,-7604.97954545454,2959.72159090909,61519.5991108567
9,"11/21/24 08:00:00 PM",-10.791,0.24525,1.71675,2024-11-21 20:00:00,-69418.0125,-8277.1875,3090.15,69978.0059688958,-69749.1,-8829,4253.97272727273,70499.1316395853
10,"11/21/24 08:15:00 PM",-10.05525,-1.4715,2.4525,2024-11-21 20:15:00,-78798.825,-8829,4966.3125,79447.2801436795,-78568.0670454546,-10183.4488636364,5738.85,79487.8624635968
11,"11/21/24 08:30:00 PM",-10.05525,-2.4525,1.4715,2024-11-21 20:30:00,-87848.55,-10594.8,6732.1125,88740.8522770384,-87346.9022727273,-11537.8977272727,7344.12272727273,88462.9679763925
12,"11/21/24 08:45:00 PM",-9.56475,-2.69775,1.4715,2024-11-21 20:45:00,-96677.55,-12912.4125,8056.4625,97868.2055551575,-96125.7375,-12902.3795454545,8989.52727272727,97453.6935081009
13,"11/21/24 09:00:00 PM",-9.81,-0.24525,2.69775,2024-11-21 21:00:00,-105396.1875,-14236.7625,9932.625,106816.191588201,-104974.803409091,-14327.0590909091,10524.5693181818,106518.707137191
14,"11/21/24 09:15:00 PM",-9.81,-2.943,2.20725,2024-11-21 21:15:00,-114225.1875,-15671.475,12139.875,115932.588831188,-113864.001136364,-15832.0022727273,12029.5125,115630.735834386
15,"11/21/24 09:30:00 PM",-9.07425,-1.4715,2.69775,2024-11-21 21:30:00,-122723.1,-17658,14347.125,124814.27896429,-122703.034090909,-17447.3079545455,13554.5215909091,124708.756577186
16,"11/21/24 09:45:00 PM",-9.56475,-1.71675,2.4525,2024-11-21 21:45:00,-131110.65,-19092.7125,16664.7375,133537.439281926,-131542.067045455,-19203.075,14969.1681818182,133799.151051794
17,"11/21/24 10:00:00 PM",-10.05525,-1.71675,1.22625,2024-11-21 22:00:00,-139939.65,-20637.7875,18320.175,142634.682763514,-140411.198863636,-20978.9079545455,16303.5511363636,142918.825952624
18,"11/21/24 10:15:00 PM",-9.56475,-1.71675,0,2024-11-21 22:15:00,-148768.65,-22182.8625,18871.9875,151592.686247446,-149300.396590909,-22714.6090909091,17637.9340909091,152056.437048516
19,"11/21/24 10:30:00 PM",-10.05525,-2.4525,0.73575,2024-11-21 22:30:00,-157597.65,-24059.025,19203.075,160575.882556904,-158229.726136364,-24520.5409090909,18912.1193181818,161240.341095307
20,"11/21/24 10:45:00 PM",-10.05525,-1.962,0.73575,2024-11-21 22:45:00,-166647.375,-26045.55,19865.25,169836.234139702,-167189.154545455,-26286.3409090909,20045.8431818182,170433.153310958
21,"11/21/24 11:00:00 PM",-10.791,-2.69775,0.73575,2024-11-21 23:00:00,-176028.1875,-28142.4375,20527.425,179441.619364369,-176188.714772727,-27921.7125,21039.1056818182,179630.332225188
22,"11/21/24 11:15:00 PM",-10.05525,-1.71675,1.22625,2024-11-21 23:15:00,-185409,-30128.9625,21410.325,189057.276186165,-185218.373863636,-29557.0840909091,21932.0386363636,188845.067115659
23,"11/21/24 11:30:00 PM",-10.05525,-2.4525,1.71675,2024-11-21 23:30:00,-194458.725,-32005.125,22734.675,198381.927609969,-194258.065909091,-31202.4886363636,22794.8727272727,198067.367454703
24,"11/21/24 11:45:00 PM",-10.3005,-2.20725,0.981,2024-11-21 23:45:00,-203618.8125,-34102.0125,23948.6625,207839.136102899,-203187.395454545,-32928.1568181818,23848.3329545455,207217.494771668
25,"11/22/24 12:00:00 AM",-10.05525,0,0.4905,2024-11-22,-212778.9,-35095.275,24610.8375,217053.52320335,-211986.296590909,-34703.9897727273,25082.3863636364,216271.213096367
26,"11/22/24 12:15:00 AM",-9.81,-1.22625,0.981,2024-11-22 00:15:00,-221718.2625,-35647.0875,25273.0125,225983.247020828,-220775.164772727,-36469.7897727273,26306.4068181818,225312.671769055
27,"11/22/24 12:30:00 AM",-9.56475,-1.962,1.71675,2024-11-22 00:30:00,-230436.9,-37081.8,26487,234899.523077102,-229564.032954545,-38215.5238636364,27520.3943181818,234349.900947524
28,"11/22/24 12:45:00 AM",-10.3005,-1.71675,1.22625,2024-11-22 00:45:00,-239376.2625,-38737.2375,27811.35,244079.986493,-238332.835227273,-39921.1261363636,28704.2829545455,243357.36002733
29,"11/22/24 01:00:00 AM",-6.62175,-3.67875,4.65975,2024-11-22 01:00:00,-246991.275,-41165.2125,30460.05,252244.086734057,-247071.538636364,-41727.0579545455,29807.9079545455,252343.613724225
30,"11/22/24 01:15:00 AM",-9.81,-1.71675,0.4905,2024-11-22 01:15:00,-254385.5625,-43593.1875,32777.6625,260166.784128596,-255760.077272727,-43613.2534090909,30861.3681818182,261289.852678544
31,"11/22/24 01:30:00 AM",-10.05525,-2.4525,0.73575,2024-11-22 01:30:00,-263324.925,-45469.35,33329.475,269292.279539265,-264448.615909091,-45569.6795454545,31924.8613636364,270248.887501706
32,"11/22/24 01:45:00 AM",-10.791,-1.71675,0.4905,2024-11-22 01:45:00,-272705.7375,-47345.5125,33881.2875,278851.140327531,-273167.253409091,-47646.5011363636,33028.4863636364,279261.680750244
33,"11/22/24 02:00:00 AM",-9.56475,-1.71675,0.73575,2024-11-22 02:00:00,-281865.825,-48890.5875,34433.1,288139.326064034,-281895.923863636,-49783.5204545454,34182.2761363636,288300.888017049
34,"11/22/24 02:15:00 AM",-9.81,-4.905,0.24525,2024-11-22 02:15:00,-290584.4625,-51870.375,34874.55,297230.718275815,-290644.660227273,-51950.6386363636,35346.0988636364,297366.656340519
35,"11/22/24 02:30:00 AM",-9.3195,-1.71675,1.22625,2024-11-22 02:30:00,-299192.7375,-54850.1625,35536.725,306247.764600407,-299533.857954546,-54087.6579545455,36389.5261363636,306552.071485509
36,"11/22/24 02:45:00 AM",-11.03625,-2.20725,0.4905,2024-11-22 02:45:00,-308352.825,-56615.9625,36309.2625,315602.906258127,-308563.517045455,-56224.6772727273,37362.7227272727,315867.504578117
37,"11/22/24 03:00:00 AM",-9.56475,-1.962,1.962,2024-11-22 03:00:00,-317623.275,-58492.125,37412.8875,325123.972754746,-317583.143181818,-58472.0590909091,38426.2159090909,325205.311246273
38,"11/22/24 03:15:00 AM",-10.05525,-2.69775,1.962,2024-11-22 03:15:00,-326452.275,-60589.0125,39178.6875,334330.803011962,-326472.340909091,-61000.3636363636,39389.3795454545,334458.89398791
39,"11/22/24 03:30:00 AM",-10.3005,-1.71675,1.22625,2024-11-22 03:30:00,-335612.3625,-62575.5375,40613.4,343803.438051171,-335231.110227273,-63849.7227272727,40282.3125,343642.006024336
40,"11/22/24 03:45:00 AM",-10.05525,-2.943,1.71675,2024-11-22 03:45:00,-344772.45,-64672.425,41937.75,353283.653328944,-343979.846590909,-66558.6204545454,41325.7397727273,352807.918182297
41,"11/22/24 04:00:00 AM",-9.81,-2.4525,1.71675,2024-11-22 04:00:00,-353711.8125,-67100.4,43482.825,362636.548147282,-352748.648863637,-69086.925,42449.4306818182,361969.072403204
42,"11/22/24 04:15:00 AM",-9.81,-4.4145,1.71675,2024-11-22 04:15:00,-362540.8125,-70190.55,45027.9,372008.152888983,-361447.220454546,-71685.4602272727,43763.7477272727,371098.950748879
43,"11/22/24 04:30:00 AM",-7.848,-6.62175,-2.943,2024-11-22 04:30:00,-370486.9125,-75156.8625,44476.0875,380640.550485539,-370085.594318182,-74324.1272727273,45288.7568181818,380204.982719676
44,"11/22/24 04:45:00 AM",-9.3195,-4.65975,2.4525,2024-11-22 04:45:00,-378212.2875,-80233.5375,44255.3625,389153.558464719,-378784.165909091,-76962.7943181818,46763.6011363636,389364.500173107
45,"11/22/24 05:00:00 AM",-9.81,1.4715,2.20725,2024-11-22 05:00:00,-386820.5625,-81668.25,46352.25,398055.752013385,-387472.704545455,-79561.3295454545,48218.3795454545,398504.083986439
46,"11/22/24 05:15:00 AM",-9.81,-3.67875,1.22625,2024-11-22 05:15:00,-395649.5625,-82661.5125,47897.325,407020.461030382,-396111.078409091,-82079.6011363636,49743.3886363636,407588.297239593
47,"11/22/24 05:30:00 AM",-8.829,-1.962,5.15025,2024-11-22 05:30:00,-404037.1125,-85199.85,50766.75,416031.568060553,-404759.485227273,-84447.3784090909,51248.3318181818,416650.630326753
48,"11/22/24 05:45:00 AM",-10.3005,-3.18825,2.4525,2024-11-22 05:45:00,-412645.3875,-87517.4625,54187.9875,425290.324433515,-413417.925,-86634.5625,52743.2420454545,425687.187002427
49,"11/22/24 06:00:00 AM",-10.791,-1.4715,0.24525,2024-11-22 06:00:00,-422136.5625,-89614.35,55401.975,435085.494999707,-422156.628409091,-88560.8897727273,54499.0090909091,434784.12652167
50,"11/22/24 06:15:00 AM",-9.3195,-1.962,2.4525,2024-11-22 06:15:00,-431186.2875,-91159.425,56615.9625,444338.859997823,-431055.859090909,-90216.3272727273,56375.1715909091,443996.217636606
51,"11/22/24 06:30:00 AM",-9.81,-0.73575,2.20725,2024-11-22 06:30:00,-439794.5625,-92373.4125,58712.85,453209.999113638,-440005.254545455,-91781.4681818182,58010.5431818182,453209.214236573
52,"11/22/24 06:45:00 AM",-10.3005,-0.981,0.73575,2024-11-22 06:45:00,-448844.2875,-93145.95,60037.2,462322.212106043,-448954.65,-93286.4113636363,59505.4534090909,462393.41391827
53,"11/22/24 07:00:00 AM",-9.56475,-1.4715,2.4525,2024-11-22 07:00:00,-457783.65,-94249.575,61471.9125,471410.276321392,-457984.309090909,-94711.0909090909,60829.8034090909,471618.875999368
54,"11/22/24 07:15:00 AM",-10.05525,-3.18825,2.69775,2024-11-22 07:15:00,-466612.65,-96346.4625,63789.525,480706.885197219,-467044.067045455,-96085.6056818182,61923.3954545455,480834.513640279
55,"11/22/24 07:30:00 AM",-11.03625,-1.4715,-0.24525,2024-11-22 07:30:00,-476103.825,-98443.35,64893.15,490486.560729013,-476043.627272727,-97399.9227272727,62956.7897727273,489972.196189174
56,"11/22/24 07:45:00 AM",-9.3195,0.4905,-0.981,2024-11-22 07:45:00,-485263.9125,-98884.8,64341.3375,499398.71461302,-485043.1875,-98694.1738636363,63909.9204545455,499096.361771584
57,"11/22/24 08:00:00 AM",-10.3005,-1.22625,0.981,2024-11-22 08:00:00,-494092.9125,-99215.8875,64341.3375,508046.657529045,-494062.813636364,-100028.556818182,64792.8204545455,508239.251121755
58,"11/22/24 08:15:00 AM",-10.3005,-2.4525,1.22625,2024-11-22 08:15:00,-503363.3625,-100871.325,65334.6,517511.650952635,-503062.373863637,-101483.335227273,65735.9181818182,517394.216151084
59,"11/22/24 08:30:00 AM",-9.56475,-1.4715,0.73575,2024-11-22 08:30:00,-512302.725,-102637.125,66217.5,526662.338483531,-512092.032954546,-102938.113636364,66709.1147727273,526582.623294514
60,"11/22/24 08:45:00 AM",-10.05525,-1.71675,0.4905,2024-11-22 08:45:00,-521131.725,-104071.8375,66769.3125,535600.003037551,-520740.439772727,-104172.167045455,67963.2340909091,535394.068368948
61,"11/22/24 09:00:00 AM",-10.05525,-1.22625,0.24525,2024-11-22 09:00:00,-530181.45,-105396.1875,67100.4,544704.681404335,-528837.034090909,-105366.088636364,69377.8806818182,543683.099133301
62,"11/22/24 09:15:00 AM",-9.56475,-2.4525,2.69775,2024-11-22 09:15:00,-539010.45,-107051.625,68424.75,553781.781965519,-536813.232954546,-106650.306818182,70662.0988636364,551854.835134931
63,"11/22/24 09:30:00 AM",-10.05525,-2.20725,1.71675,2024-11-22 09:30:00,-547839.45,-109148.5125,70411.275,563026.827428668,-544729.234090909,-107854.261363636,72066.7125,559969.073705101
64,"11/22/24 09:45:00 AM",-10.54575,-0.24525,2.20725,2024-11-22 09:45:00,-557109.9,-110252.1375,72177.075,572482.754899119,-552564.971590909,-109018.084090909,73551.5897727273,568008.381563635
65,"11/22/24 10:00:00 AM",0.24525,0.981,9.81,2024-11-22 10:00:00,-561745.125,-109921.05,77584.8375,577632.781015993,-560460.906818182,-110071.544318182,74976.2693181818,576077.388784707
66,"11/22/24 10:15:00 AM",-7.848,-4.65975,-3.4335,2024-11-22 10:15:00,-565166.3625,-111576.4875,80454.2625,581665.8991369,-568427.072727273,-111135.0375,76280.5534090909,584200.720723066
67,"11/22/24 10:30:00 AM",-9.56475,1.4715,-0.981,2024-11-22 10:30:00,-573002.1,-113011.2,78467.7375,589287.810630951,-576312.975,-112338.992045455,77755.3977272727,592294.121692666
68,"11/22/24 10:45:00 AM",-8.58375,-0.24525,3.924,2024-11-22 10:45:00,-581168.925,-112459.3875,79792.0875,597303.281800911,-584138.679545455,-113633.243181818,79501.1318181818,600382.385836007
69,"11/22/24 11:00:00 AM",-10.05525,-2.4525,0.24525,2024-11-22 11:00:00,-589556.475,-113673.375,81668.25,605944.037396507,-591703.527272727,-115208.417045455,81437.4920454545,608298.448960055
70,"11/22/24 11:15:00 AM",-11.2815,1.22625,0.24525,2024-11-22 11:15:00,-599158.0125,-114225.1875,81888.975,615421.417915327,-598967.386363636,-117084.579545455,83594.5772727273,616014.044122261
71,"11/22/24 11:30:00 AM",-10.05525,-4.65975,-1.962,2024-11-22 11:30:00,-608759.55,-115770.2625,81116.4375,624956.654359495,-606692.761363636,-119211.565909091,85440.6409090909,624187.360902271
72,"11/22/24 11:45:00 AM",-8.09325,-1.71675,6.867,2024-11-22 11:45:00,-616926.375,-118639.6875,83323.6875,633732.092069935,-615000.047727273,-121398.75,87096.0784090909,632911.537642259
73,"11/22/24 12:00:00 PM",-10.05525,-4.16925,2.69775,2024-11-22 12:00:00,-625093.2,-121288.3875,87627.825,642752.687542278,-623367.531818182,-123836.757954545,89052.5045454546,641785.531326167
74,"11/22/24 12:15:00 PM",-3.18825,-7.3575,6.3765,2024-11-22 12:15:00,-631052.775,-126475.425,91711.2375,650103.521793193,-631614.620454545,-126756.347727273,91249.7215909091,650674.695510799
75,"11/22/24 12:30:00 PM",-10.05525,-2.4525,2.943,2024-11-22 12:30:00,-637012.35,-130889.925,95905.0125,657354.301683387,-639771.4125,-129796.332954545,93547.2681818182,659516.885004811
76,"11/22/24 12:45:00 PM",-11.52675,-2.943,1.4715,2024-11-22 12:45:00,-646724.25,-133317.9,97891.5375,667539.265596104,-647837.907954545,-133097.175,95915.0454545455,668332.394590394
77,"11/22/24 01:00:00 PM",-10.3005,-2.20725,0.24525,2024-11-22 13:00:00,-656546.5125,-135635.5125,98664.075,677631.843276757,-655814.106818182,-136568.577272727,98463.4159090909,677119.305376082
78,"11/22/24 01:15:00 PM",-8.58375,-7.11225,2.69775,2024-11-22 13:15:00,-665044.425,-139829.2875,99988.425,686901.741153943,-663860.536363636,-139969.748863636,100901.423863636,685947.173438365
79,"11/22/24 01:30:00 PM",-6.62175,-3.4335,6.13125,2024-11-22 13:30:00,-671886.9,-144574.875,103961.475,695084.087831862,-671957.130681818,-143290.656818182,103088.607954545,694775.491211456
80,"11/22/24 01:45:00 PM",-9.81,-2.20725,0.4905,2024-11-22 13:45:00,-679281.1875,-147113.2125,106941.2625,703208.121830638,-680254.384090909,-146160.081818182,105135.330681818,703691.554276875
81,"11/22/24 02:00:00 PM",-9.3195,-5.3955,1.71675,2024-11-22 14:00:00,-687889.4625,-150534.45,107934.525,712392.023356745,-688812.494318182,-148497.760227273,107021.526136364,712730.226101501
82,"11/22/24 02:15:00 PM",-9.81,-2.20725,0.981,2024-11-22 14:15:00,-696497.7375,-153955.6875,109148.5125,721612.673002061,-697310.406818182,-150554.515909091,108917.754545455,721655.176088386
83,"11/22/24 02:30:00 PM",-10.05525,-2.4525,1.22625,2024-11-22 14:30:00,-705437.1,-156052.575,110141.775,730838.640755052,-705707.989772727,-152500.909090909,110924.345454545,730477.305540027
84,"11/22/24 02:45:00 PM",-9.3195,-1.4715,2.20725,2024-11-22 14:45:00,-714155.7375,-157818.375,111686.85,739864.183046275,-714065.440909091,-154407.170454545,113041.298863636,739270.205155592
85,"11/22/24 03:00:00 PM",-8.829,0.981,3.4335,2024-11-22 15:00:00,-722322.5625,-158039.1,114225.1875,748180.215512804,-722503.155681818,-156233.168181818,115088.021590909,748115.973573235
86,"11/22/24 03:15:00 PM",-10.791,2.20725,1.962,2024-11-22 15:15:00,-731151.5625,-156604.3875,116653.1625,756779.691754273,-731051.232954545,-158029.067045454,117094.6125,757057.024724684
87,"11/22/24 03:30:00 PM",-9.3195,-0.73575,2.69775,2024-11-22 15:30:00,-740201.2875,-155942.2125,118750.05,765713.715451836,-739629.409090909,-159704.570454545,119151.368181818,766009.497646104
88,"11/22/24 03:45:00 PM",-10.05525,-1.71675,1.71675,2024-11-22 15:45:00,-748919.925,-157045.8375,120736.575,774675.267244807,-748257.75,-161209.513636364,121167.992045455,774967.689514838
89,"11/22/24 04:00:00 PM",-7.848,-6.62175,3.924,2024-11-22 16:00:00,-756976.3875,-160798.1625,123274.9125,783623.636925156,-756926.222727273,-162674.325,123154.517045455,783951.046520261
90,"11/22/24 04:15:00 PM",-9.3195,-1.962,3.18825,2024-11-22 16:15:00,-764701.7625,-164660.85,126475.425,792387.540425933,-765644.860227273,-164129.103409091,125060.778409091,792968.197697792
91,"11/22/24 04:30:00 PM",-9.81,-2.943,2.4525,2024-11-22 16:30:00,-773310.0375,-166868.1,129013.7625,801559.684496587,-774443.761363636,-165724.343181818,126806.5125,802068.007464747
92,"11/22/24 04:45:00 PM",-10.05525,-1.71675,0.981,2024-11-22 16:45:00,-782249.4,-168964.9875,130558.8375,810869.225492364,-783272.761363636,-167590.472727273,128401.752272727,811230.304461621
93,"11/22/24 05:00:00 PM",-10.3005,-1.71675,0.73575,2024-11-22 17:00:00,-791409.4875,-170510.0625,131331.375,820152.783558135,-792121.827272727,-169657.261363636,129866.563636364,820432.874127787
94,"11/22/24 05:15:00 PM",-10.54575,-1.962,0.73575,2024-11-22 17:15:00,-800790.3,-172165.5,131993.55,829655.567814706,-801021.057954545,-171794.280681818,131231.045454545,829682.601864316
95,"11/22/24 05:30:00 PM",-10.05525,-1.71675,0.73575,2024-11-22 17:30:00,-810060.75,-173820.9375,132655.725,839052.845999116,-810020.618181818,-173740.673863636,132465.098863636,838969.995775017
