Blade Observer,sample no,Epibiont observer,Analysis by Sofie,Analysis by Eleni,Photo links,Analysis time by Sofie,blade foto,Segment,Seaweed species,Notes on blades,Extra data,Site,replicate,merged_replicate,part_replicate,Date,Day,Month,Year,epibiont notes,blade_area,total_area,for_standardizing,percent_blade_Hydrozoans,percent_blade_bryozoans,percent_blade_tufts,mussel juveniles,percent_epiphytes,percent_brown_blotches,percent_Hydrozoans,percent_Bryozoans,Tufts_cm2,Total_Amphipoda,Total_Bivalvia,Total_Copepoda,Total_Gasteropoda,Total_Isopoda,Total_Nemerta,POLYCHAETA_tot,Halacaridae,Arthropod,Amphipod,Caprellidae,Gammaridae,Jassa,Annelida_tube,Asteroidea ,Bivalve ,Cerastoderma,Mytilus,Ostrea,Pecten,Scallop_Brown,Scallop_Pink,Cirripedia,Copepod,Harpacticoida,Corophium,Cumacea,Cancer_pagurus,Brachyura,Dendronotidae,Echinoidea ,Calcareous,Euphausiacea,Gastropod,Gibbula,Lacuna,Rissoa,Patella,Isopod,Idoteidae,Janiridae,Isopod_larvae,Zoea_larva ,Mysid,Nemertea,Cephalothrix,Haplonemertea,Oligochaeta_Nereididae,Ostracoda,Polychaeta_larvae,Phyllodocida,Polycheate_tube,Foraminifer,Sponge,Ascidiacea,Trichodesmium,Diatoms,Licmophora,Striatella,Filamentous green algae,Fillamentous Algae,Fucus ,Hydroid,Campanulariidae,Obelia,Bryozoans,Membraniporidae,Electra_pilosa,Kelp ,Laminaria_digitata,Macroalga_sporangio,Macroalgae,Red algae,Ceramidae,Codium,Sacharina,Sacharina_latissima
Sofie,3,"Eleni, Victoria",03/03/2023,20/04/2022,,,,,Alaria,"one blade, clean",,Pabay,1,1,,30/01/2022,30,1,2022,,120,120,120,,,,,,,,,,1,0,0,1,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,rare,,rare,,,,rare,,,,,,,,rare,,,,,,,,
Sofie,5,"Eleni, Victoria",,25/04/2022,,,,,Alaria,17 blades,,Pabay,1,1,,25/02/2022,25,2,2022,,12.35294118,210,210,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,rare,,,,,,,,,,rare,,,,,,,,
Sofie,6,"Eleni, Victoria",07/03/2023,09/05/2022,no photo,,,,Alaria,"10 blades, clean",,Pabay,1,1,,08/03/2022,8,3,2022,,14.995,149.95,149.95,,,,,,,,,,0,2,0,0,0,0,0,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,rare,numerous,present,,,,,,,,,,,,,,,,,
Sofie,7,"Eleni, Victoria",09/02/2023,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230209_142722760.jpg,14:20,,,Alaria,3 blades,,Pabay,1,1,,21/03/2022,21,3,2022,,10.25,41,41,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numerous,rare,rare,,,,,,,,,,,,,,,present,,
Sofie,8,Victoria,09/02/2023,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230209_143257080.jpg,14:30,,,Alaria,1 blade alaria and other blades are Sacchorhiza polyschides and laminaria,,Pabay,2,2,,21/03/2022,21,3,2022,,9.3,9.3,9.3,,,,,,,,,,0,0,13,0,3,0,0,,,,,,,,,,,,,,,,,2,11,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,rare,numerous ,rare,dominante,,,,,,,,,,,,,,,,
Sofie,9,Victoria,09/02/2023,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230209_144423484.jpg,14:41,,,Alaria,1 blade alaria and 11 of Sacchoriza,,Pabay,3,3,,21/03/2022,21,3,2022,,10,10,10,,,,,,,,,,0,0,3,0,3,0,0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,rare,rare,rare,,,,,,,,,rare,,,,,,,,
Sofie,10,Victoria,07/02/2023,09/05/2022,,,,full blade,Alaria,2 blades? clean blade but very broken,,Pabay,1,1,all,10/04/2022,10,4,2022,,340,340,340,,,,,,,,,0,2,1,2,0,2,0,0,,,1,,,1,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,dominant,rare,,present,,,,,,,,,,,,,,,,,,
Sofie,11,Victoria,07/02/2023,09/05/2022,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=pxl_20230207_144110983.jpg,14:40,,full blade,Alaria,"full blade, white tufts",,Pabay,2,2,all,10/04/2022,10,4,2022,,344,344,344,,,,,,,,,10,2,1,7,0,0,1,0,,,1,,,1,,,,,1,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,rare,,numerous,,,,,,,,,,,,,,,,
Sofie,12,Victoria,07/02/2023,,,13:19,,full blade,Alaria,"full blade, white tufts",,Pabay,3,3,all,10/04/2022,10,4,2022,,1330,1330,1330,,,,,,,,,9,1,4,21,0,0,0,0,,,1,,,,,,2,,,,2,,,,4,17,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,rare,,,,,,,,,,,,rare,,,,,,,
Sofie,13,Victoria,09/11/2022,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2022-11-09+12.22.41.jpg,12:20,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230314_155013244.jpg,tip,Alaria,blade cut in half,,Pabay,1,,1 all,07/05/2022,7,5,2022,part 1 and 2 merged,1354,544,1354,0.598227474,0,4.187592319,,,,,,0,13,2,47,12,2,0,0,,,12,,1,,,,1,,1,,,,,1,,47,,,,,,,,,,,11,1,,,,1,1,,,,,,,,,,,,,,,,,,,numerous,,,,,,,,present,,,,,,,,
Sofie,14,Victoria,09/11/2022,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2022-11-09+12.31.20.jpg,12:31,,base ,Alaria,blade cut in half,,Pabay,1,,2,07/05/2022,7,5,2022,,,810,,,,,,,,1,,7,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,15,Victoria,10/11/2022,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20221110_094237283.jpg,09:42,,full blade,Alaria,"3 blades in one bottle, all had tufts",a different generation?,Pabay,2,,all,07/05/2022,7,5,2022,,429.3333333,1288,1288,,,,,3,,,,12,15,0,32,0,3,0,0,,,14,,,1,,,,,,,,,,,2,30,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,present,,rare,,,,,,,,,,,,,,
Sofie,16,Victoria,09/11/2022,,"https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2022-11-09+12.05.56.jpg, https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2022-11-09+12.06.28.jpg, https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2022-11-09+12.05.45.jpg, https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2022-11-09+12.06.48.jpg",12:08,,full blade,Alaria,entire blade,,Pabay,3,,all,07/05/2022,7,5,2022,,1800,1800,1800,,,,,,,,,7,5,0,41,11,0,0,0,,1,1,,4,,,,,,,,,,,,5,36,,,,,,,,,,1,8,2,,,,,,,1,,,,,,,,,4,,,,,,,rare,rare,,,,,,,,,,,,,,,,
Sofie,17,Victoria,11/04/2023,,,,,tip,Alaria,tufts visible and some hydroids,,Pabay,1,,1,22/05/2022,22,5,2022,"part 1,2, 3 merged",4226,1826,4226,1.29626124,,16.11121628,,,,3,,11,14,0,36,56,1,,,,,7,1,3,3,,,,,,,,,,,6,30,,,,,,,,,,,30,26,,,,1,,,,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,
Sofie,18,Victoria,11/04/2023,,,,,base ,Alaria,tufts,,Pabay,1,,2,22/05/2022,22,5,2022,,,1608,,,,,,,,0,,20,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,19,Victoria,11/04/2023,,,,,middle,Alaria,tufts,,Pabay,1,,3,22/05/2022,22,5,2022,,,792,,,,,,,,0,,20,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,20,Victoria,08/11/2022,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2022-11-08+11.43.16.jpg,11:43,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230310_131415250.jpg,middle,Alaria,brown tufts on one side of blade only,,Pabay,2,,1  all,22/05/2022,22,5,2022,"part 1,2, 3 merged",3528,1200,3528,9.761904762,0,13.01360544,,,,0,,9,43,17,16,103,4,0,1,,,26,,,17,,,2,,,15,,,,,,16,,,,,,,,,,,27,76,,,2,1,1,,,,,,,,1,,,,,,,,,,,present,,,,,,,,,,,,,,,,
Sofie,21,Victoria,08/11/2022,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2022-11-08+11.56.41.jpg,11:57,,middle,Alaria,,,Pabay,2,,2,22/05/2022,22,5,2022,,,1416,,,,,,,,5,,19,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,22,Victoria,08/11/2022,,,,,tip,Alaria,Blade destroyed by hydrozoans,,Pabay,2,,3,22/05/2022,22,5,2022,,,912,,,,,,,,30,,9,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
