"","seaweed","sample_code","site","location","station_no","date","day","month","year","notes_on_blades","sample_no","species_id","measurement_value","measurement_type","measurement_origin","parsed_date","species_name","scientificname","kingdom","phylum","class","order","family","genus"
"1","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"total_phytoplankton",3928,NA,NA,2021-12-10,"total phytoplankton",NA,NA,NA,NA,NA,NA,NA
"2","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"total_zooplankton",178,NA,NA,2021-12-10,"total zooplankton",NA,NA,NA,NA,NA,NA,NA
"3","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"zooplank_abundance_bivalvia",17,"abundance","plankton",2021-12-10,"zooplank abundance bivalvia",NA,NA,NA,NA,NA,NA,NA
"4","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"zooplank_abundance_bryozoa_larvae",17,"abundance","plankton",2021-12-10,"zooplank abundance bryozoa larvae",NA,NA,NA,NA,NA,NA,NA
"5","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"zooplank_abundance_gastropoda",2,"abundance","plankton",2021-12-10,"zooplank abundance gastropoda",NA,NA,NA,NA,NA,NA,NA
"6","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"zooplank_abundance_holoplankton",140,"abundance","plankton",2021-12-10,"zooplank abundance holoplankton",NA,NA,NA,NA,NA,NA,NA
"7","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"zooplank_abundance_hydroids",0,"abundance","plankton",2021-12-10,"zooplank abundance hydroids",NA,NA,NA,NA,NA,NA,NA
"8","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"zooplank_abundance_obelia",0,"abundance","plankton",2021-12-10,"zooplank abundance obelia",NA,NA,NA,NA,NA,NA,NA
"9","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"zooplank_abundance_total_hydrozoa",0,"abundance","plankton",2021-12-10,"zooplank abundance total hydrozoa",NA,NA,NA,NA,NA,NA,NA
"10","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"zooplank_abundance_meroplankton",38,"abundance","plankton",2021-12-10,"zooplank abundance meroplankton",NA,NA,NA,NA,NA,NA,NA
"11","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"zooplank_abundance_total_balanoida",0,"abundance","plankton",2021-12-10,"zooplank abundance total balanoida",NA,NA,NA,NA,NA,NA,NA
"12","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"zooplank_abundance_total_brachiopoda",2,"abundance","plankton",2021-12-10,"zooplank abundance total brachiopoda",NA,NA,NA,NA,NA,NA,NA
"13","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"zooplank_abundance_total_copepoda",119,"abundance","plankton",2021-12-10,"zooplank abundance total copepoda",NA,NA,NA,NA,NA,NA,NA
"14","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"zooplank_abundance_total_malacostraca",0,"abundance","plankton",2021-12-10,"zooplank abundance total malacostraca",NA,NA,NA,NA,NA,NA,NA
"15","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"zooplank_abundance_total_polychaeta",2,"abundance","plankton",2021-12-10,"zooplank abundance total polychaeta",NA,NA,NA,NA,NA,NA,NA
"16","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"unknown_jellies",0,NA,NA,2021-12-10,"unknown jellies",NA,NA,NA,NA,NA,NA,NA
"17","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"total_reads",1412.5,NA,NA,2021-12-10,"total reads",NA,NA,NA,NA,NA,NA,NA
"18","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"otu_celleporella_hyalina",0,"otu","edna",2021-12-10,"celleporella hyalina","Celleporella hyalina","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Hippothoidae","Celleporella"
"19","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"otu_doto_coronata",0,"otu","edna",2021-12-10,"doto coronata","Doto coronata","Animalia","Mollusca","Gastropoda","Nudibranchia","Dotidae","Doto"
"20","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"otu_ectocarpus_subulatus",0,"otu","edna",2021-12-10,"ectocarpus subulatus","Ectocarpus subulatus","Chromista","Ochrophyta","Phaeophyceae","Ectocarpales","Ectocarpaceae","Ectocarpus"
"21","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"otu_electra_pilosa",0,"otu","edna",2021-12-10,"electra pilosa","Electra pilosa","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Electridae","Electra"
"22","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"otu_jassa_herdmani",0,"otu","edna",2021-12-10,"jassa herdmani","Jassa herdmani","Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Jassa"
"23","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"otu_lacuna_vincta",0,"otu","edna",2021-12-10,"lacuna vincta","Lacuna vincta","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Lacuna"
"24","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"otu_membranipora_membranacea",0,"otu","edna",2021-12-10,"membranipora membranacea","Membranipora membranacea","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora"
"25","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"otu_mytilidae",0,"otu","edna",2021-12-10,"mytilidae","Mytilidae","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae",NA
"26","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"otu_obelia",0,"otu","edna",2021-12-10,"obelia","Obelia","Animalia","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Obelia"
"27","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"otu_obelia_bidentata",0,"otu","edna",2021-12-10,"obelia bidentata","Obelia bidentata","Animalia","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Obelia"
"28","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"otu_obelia_dichotoma",0,"otu","edna",2021-12-10,"obelia dichotoma","Obelia dichotoma","Animalia","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Obelia"
"29","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"otu_rissoa_guernei",0,"otu","edna",2021-12-10,"rissoa guernei","Rissoa guernei","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Rissoa"
"30","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"otu_total_amphipoda",0,"otu","edna",2021-12-10,"total amphipoda",NA,NA,NA,NA,NA,NA,NA
"31","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"otu_total_annelida",0,"otu","edna",2021-12-10,"total annelida",NA,NA,NA,NA,NA,NA,NA
"32","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"otu_total_balanoida",0,"otu","edna",2021-12-10,"total balanoida",NA,NA,NA,NA,NA,NA,NA
"33","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"otu_total_bivalvia",0,"otu","edna",2021-12-10,"total bivalvia",NA,NA,NA,NA,NA,NA,NA
"34","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"otu_total_copepoda",0,"otu","edna",2021-12-10,"total copepoda",NA,NA,NA,NA,NA,NA,NA
"35","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"otu_total_gastropoda",0,"otu","edna",2021-12-10,"total gastropoda",NA,NA,NA,NA,NA,NA,NA
"36","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"otu_total_hydrozoa",10.584,"otu","edna",2021-12-10,"total hydrozoa",NA,NA,NA,NA,NA,NA,NA
"37","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"total_brachiopoda_otu",0,NA,NA,2021-12-10,"total brachiopoda otu",NA,NA,NA,NA,NA,NA,NA
"38","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"blade_area",NA,NA,NA,2021-12-10,"blade area",NA,NA,NA,NA,NA,NA,NA
"39","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"total_area",NA,NA,NA,2021-12-10,"total area",NA,NA,NA,NA,NA,NA,NA
"40","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"for_standardizing",NA,NA,NA,2021-12-10,"for standardizing",NA,NA,NA,NA,NA,NA,NA
"41","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"species_richness",0,NA,NA,2021-12-10,"species richness",NA,NA,NA,NA,NA,NA,NA
"42","Alaria","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,"",6,"percent_blade_hydrozoans",NA,"blade_coverage","blade_coverage",2021-12-10,"percent blade hydrozoans",NA,NA,NA,NA,NA,NA,NA
