Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU
,,,,,,,OTU_Asteria_rubens
,,,,,,,OTU_Celleporella_hyalina
Phytoplankton,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca fusiformis,OTU_Ceratoneis
,,,,,,,OTU_Chaetoceros
,,,,,,,OTU_Chaetognatha
,,,,,,,OTU_Dictyocha_speculum
,,,,,,,OTU_Ditylum_brightwellii
,,,,,,,OTU_Doto_coronata
epiphyte,Unknown,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus,Ectocarpus subulatus,OTU_Ectocarpus_subulatus
,,,,,,,OTU_Electra_pilosa
,,,,,,,OTU_Guinardia
,,,,,,,OTU_Hemiaulus_sinensis
,,,,,,,OTU_Heterocapsa
Phytoplankton,Unknown,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa rotundata,OTU_Heterocapsa_rotundata
Phytoplankton,Unknown,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa triquetra,OTU_Heterocapsa_triquetra
,,,,,,,OTU_Jassa_herdmani
,,,,,,,OTU_Lacuna_vincta
,,,,,,,OTU_Lithodesmium
Metazoa,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea,OTU_Membranipora_membranacea
,,,,,,,OTU_Minutocellus_polymorphus
,,,,,,,OTU_Mitrella_moleculina
,,,,,,,OTU_Mytilidae
,,,,,,,OTU_Obelia
,,,,,,,OTU_Obelia_bidentata
,,,,,,,OTU_Obelia_dichotoma
,,,,,,,OTU_Ophiura
,,,,,,,OTU_Pleurosigma_spp
Phytoplankton,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia micropora,OTU_Pseudonitzschia_micropora
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,Rhizosolenia setigera,OTU_Rhizosolenia_setigera
,,,,,,,OTU_Rissoa_guernei
Phytoplankton,Unknown,Dinophyceae,Peridiniales,Peridiniaceae,Scrippsiella,Scrippsiella precaria,OTU_Scrippsiella_precaria
,,,,,,,OTU_Skeletonema_spp
,,,,,,,OTU_Thalassionema_nitzschioides
,,,,,,,OTU_Thalassiosira_rotula
,,,,,,,OTU_Total_Amphipoda
,,,,,,,OTU_Total_Annelida
,,,,,,,OTU_Total_Balanoida
