"","X","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
"1",1,111397,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=111397","Celleporella hyalina","(Linnaeus, 1767)","accepted",NA,220,"Species",111397,"Celleporella hyalina","(Linnaeus, 1767)",110929,"Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Hippothoidae","Celleporella","Bock, P. (2025). World List of Bryozoa. Celleporella hyalina (Linnaeus, 1767). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=111397 on 2025-05-02","urn:lsid:marinespecies.org:taxname:111397",1,0,0,0,NA,"like","2020-01-23T12:47:45.830Z"
"2",2,139631,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=139631","Doto coronata","(Gmelin, 1791)","accepted",NA,220,"Species",139631,"Doto coronata","(Gmelin, 1791)",137916,"Animalia","Mollusca","Gastropoda","Nudibranchia","Dotidae","Doto","MolluscaBase eds. (2025). MolluscaBase. Doto coronata (Gmelin, 1791). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=139631 on 2025-05-02","urn:lsid:marinespecies.org:taxname:139631",1,NA,NA,NA,NA,"like","2004-12-21T15:54:05Z"
"3",3,502074,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=502074","Ectocarpus subulatus","Kützing, 1843","unaccepted","synonym",220,"Species",550728,"Ectocarpus siliculosus var. dasycarpus","(Kuckuck) Gallardo, 1992",144099,"Chromista","Ochrophyta","Phaeophyceae","Ectocarpales","Ectocarpaceae","Ectocarpus","Guiry, M.D. & Guiry, G.M. (2025). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ectocarpus subulatus Kützing, 1843. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=502074 on 2025-05-02","urn:lsid:marinespecies.org:taxname:502074",1,NA,NA,NA,NA,"like","2015-06-26T12:00:51.270Z"
"4",4,1789435,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1789435","Electra pilosa","(Linnaeus, 1761)","accepted",NA,220,"Species",1789435,"Electra pilosa","(Linnaeus, 1761)",110904,"Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Electridae","Electra","Bock, P. (2025). World List of Bryozoa. Electra pilosa (Linnaeus, 1761). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1789435 on 2025-05-02","urn:lsid:marinespecies.org:taxname:1789435",1,0,0,0,0,"like","2025-01-05T09:51:57.207Z"
"5",5,102432,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=102432","Jassa herdmani","(Walker, 1893)","accepted",NA,220,"Species",102432,"Jassa herdmani","(Walker, 1893)",101571,"Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Jassa","Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilaş-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2025). World Amphipoda Database. Jassa herdmani (Walker, 1893). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=102432 on 2025-05-02","urn:lsid:marinespecies.org:taxname:102432",1,0,0,0,NA,"like","2018-12-03T09:48:14.593Z"
"6",6,140170,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=140170","Lacuna vincta","(Montagu, 1803)","accepted",NA,220,"Species",140170,"Lacuna vincta","(Montagu, 1803)",138099,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Lacuna","MolluscaBase eds. (2025). MolluscaBase. Lacuna vincta (Montagu, 1803). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140170 on 2025-05-02","urn:lsid:marinespecies.org:taxname:140170",1,0,0,0,0,"like","2022-09-04T05:23:40.470Z"
"7",7,111411,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=111411","Membranipora membranacea","(Linnaeus, 1767)","accepted",NA,220,"Species",111411,"Membranipora membranacea","(Linnaeus, 1767)",110938,"Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Bock, P. (2025). World List of Bryozoa. Membranipora membranacea (Linnaeus, 1767). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=111411 on 2025-05-02","urn:lsid:marinespecies.org:taxname:111411",1,0,0,0,NA,"like","2005-02-01T08:42:39.233Z"
"8",8,211,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=211","Mytilidae","Rafinesque, 1815","accepted",NA,140,"Family",211,"Mytilidae","Rafinesque, 1815",491766,"Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae",NA,"MolluscaBase eds. (2025). MolluscaBase. Mytilidae Rafinesque, 1815. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=211 on 2025-05-02","urn:lsid:marinespecies.org:taxname:211",1,1,1,0,0,"like","2024-10-12T20:17:03.270Z"
"9",9,117034,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=117034","Obelia","Péron & Lesueur, 1810","accepted",NA,180,"Genus",117034,"Obelia","Péron & Lesueur, 1810",1606,"Animalia","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Obelia","Schuchert, P.; Choong, H.; Galea, H.; Hoeksema, B.; Lindsay, D.; Mańko, M.; Pica, D. (2025). World Hydrozoa Database. Obelia Péron & Lesueur, 1810. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=117034 on 2025-05-02","urn:lsid:marinespecies.org:taxname:117034",1,NA,NA,0,NA,"like","2015-04-07T09:09:41.510Z"
"10",10,117385,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=117385","Obelia bidentata","Clark, 1875","accepted",NA,220,"Species",117385,"Obelia bidentata","Clark, 1875",117034,"Animalia","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Obelia","Schuchert, P.; Choong, H.; Galea, H.; Hoeksema, B.; Lindsay, D.; Mańko, M.; Pica, D. (2025). World Hydrozoa Database. Obelia bidentata Clark, 1875. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=117385 on 2025-05-02","urn:lsid:marinespecies.org:taxname:117385",1,0,0,0,0,"like","2023-08-22T07:59:32.650Z"
