Seaweed,Sample_code,Site,Location,Station_no,Date,Day,Month,Year,Amphipod_plankton,OTU_Jassa_herdmani,OTU_Aora gracilis,OTU_Niphargus arbiter,Total_Amphipoda,Amphipod,Caprellidae,Gammaridae,Jassa,Corophium,for_standardizing
Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,0,0,0,0,,,,,,,
Saccharina,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,0,0,0,0,,,,,,,
Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,0,0,0,0,,,,,,,
Saccharina,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,0,0,0,0,,,,,,,
Alaria,Pabay_10_12_21_3,Pabay,Mid,3,10_12_2021,10,12,2021,0,0,0,0,,,,,,,
Saccharina,Pabay_10_12_21_3,Pabay,Mid,3,10_12_2021,10,12,2021,0,0,0,0,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,NE,1,10_4_2022,10,4,2022,0,0,0,0,2,1,0,0,1,0,340
Saccharina,Pabay_10_4_22_1,Pabay,NE,1,10_4_2022,10,4,2022,0,0,0,0,0,0,0,0,0,0,1328
Alaria,Pabay_10_4_22_2,Pabay,NW,2,10_4_2022,10,4,2022,0,0,0,0,2,1,0,0,1,0,344
Saccharina,Pabay_10_4_22_2,Pabay,NW,2,10_4_2022,10,4,2022,0,0,0,0,1,0,0,0,1,0,888
Alaria,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,0,9.611089636,0,0.073014646,1,1,0,0,0,0,1330
Saccharina,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,0,9.611089636,0,0.073014646,1,0,0,0,1,0,364
Alaria,Pabay_13_11_21_1,Pabay,NE,1,13_11_2021,13,11,2021,0,0,0,0,,,,,,,
Saccharina,Pabay_13_11_21_1,Pabay,NE,1,13_11_2021,13,11,2021,0,0,0,0,,,,,,,
Alaria,Pabay_13_11_21_2,Pabay ,NW,2,13_11_2021,13,11,2021,0,0,0,0,,,,,,,
Saccharina,Pabay_13_11_21_2,Pabay ,NW,2,13_11_2021,13,11,2021,0,0,0,0,,,,,,,
Alaria,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,0,0,0,0,,,,,,,
Saccharina,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,0,0,0,0,,,,,,,
Alaria,Pabay_14_1_22_1,Pabay,NE,1,14_1_2022,14,1,2022,0,0,0,0,,,,,,,
Saccharina,Pabay_14_1_22_1,Pabay,NE,1,14_1_2022,14,1,2022,0,0,0,0,0,0,0,0,0,0,25.4
Alaria,Pabay_14_1_22_2,Pabay ,NW,2,14_1_2022,14,1,2022,0,0,0,0,,,,,,,
Saccharina,Pabay_14_1_22_2,Pabay ,NW,2,14_1_2022,14,1,2022,0,0,0,0,0,0,0,0,0,0,25.4
Alaria,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,17,0,0,0,,,,,,,
Saccharina,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,17,0,0,0,0,0,0,0,0,0,25.4
Alaria,Pabay_15_6_21_1,Pabay,NE,1,15_6_2021,15,6,2021,0,0,0,0,,,,,,,
Saccharina,Pabay_15_6_21_1,Pabay,NE,1,15_6_2021,15,6,2021,0,0,0,0,,,,,,,
Alaria,Pabay_15_6_21_2,Pabay,NW,2,15_6_2021,15,6,2021,0,0,0,0,,,,,,,
Saccharina,Pabay_15_6_21_2,Pabay,NW,2,15_6_2021,15,6,2021,0,0,0,0,,,,,,,
Alaria,Pabay_15_6_21_3,Pabay,Mid,3,15_6_2021,15,6,2021,0,0,0,0,,,,,,,
Saccharina,Pabay_15_6_21_3,Pabay,Mid,3,15_6_2021,15,6,2021,0,0,0,0,,,,,,,
Alaria,Pabay_15_7_22_1,Pabay,NE,1,15_7_2022,15,7,2022,16,0,0,0,,,,,,,
Saccharina,Pabay_15_7_22_1,Pabay,NE,1,15_7_2022,15,7,2022,16,0,0,0,272,210,0,16,46,0,256
Alaria,Pabay_15_7_22_2,Pabay,NW,2,15_7_2022,15,7,2022,16,0,0,0,,,,,,,
Saccharina,Pabay_15_7_22_2,Pabay,NW,2,15_7_2022,15,7,2022,16,0,0,0,23,13,0,0,7,0,243
Alaria,Pabay_15_7_22_3,Pabay,Mid,3,15_7_2022,15,7,2022,16,0,0,0,,,,,,,
Saccharina,Pabay_15_7_22_3,Pabay,Mid,3,15_7_2022,15,7,2022,16,0,0,0,116,37,1,7,71,0,184
Alaria,Pabay_16_9_21_1,Pabay,NE,1,16_9_2021,16,9,2021,0,0,0,0,,,,,,,
Saccharina,Pabay_16_9_21_1,Pabay,NE,1,16_9_2021,16,9,2021,0,0,0,0,,,,,,,
Alaria,Pabay_16_9_21_2,Pabay,NW,2,16_9_2021,16,9,2021,0,0,0,0,,,,,,,
Saccharina,Pabay_16_9_21_2,Pabay,NW,2,16_9_2021,16,9,2021,0,0,0,0,,,,,,,
Alaria,Pabay_16_9_21_3,Pabay,Mid,3,16_9_2021,16,9,2021,0,0,0,0,,,,,,,
Saccharina,Pabay_16_9_21_3,Pabay,Mid,3,16_9_2021,16,9,2021,0,0,0,0,,,,,,,
Alaria,Pabay_21_12_21_1,Pabay,NE,1,21_12_2021,21,12,2021,0,0,0,0,,,,,,,
Saccharina,Pabay_21_12_21_1,Pabay,NE,1,21_12_2021,21,12,2021,0,0,0,0,,,,,,,
Alaria,Pabay_21_12_21_2,Pabay,NW,2,21_12_2021,21,12,2021,0,0,0,0,,,,,,,
Saccharina,Pabay_21_12_21_2,Pabay,NW,2,21_12_2021,21,12,2021,0,0,0,0,,,,,,,
Alaria,Pabay_21_12_21_3,Pabay,Mid,3,21_12_2021,21,12,2021,0,0,0,0,,,,,,,
Saccharina,Pabay_21_12_21_3,Pabay,Mid,3,21_12_2021,21,12,2021,0,0,0,0,,,,,,,
Alaria,Pabay_21_3_22_1,Pabay,NE,1,21_3_2022,21,3,2022,0,0,0,0,0,0,0,0,0,0,41
Saccharina,Pabay_21_3_22_1,Pabay,NE,1,21_3_2022,21,3,2022,0,0,0,0,4,2,0,0,2,0,2.33
Alaria,Pabay_21_3_22_2,Pabay,NW,2,21_3_2022,21,3,2022,0,0,0,0,0,0,0,0,0,0,9.3
Saccharina,Pabay_21_3_22_2,Pabay,NW,2,21_3_2022,21,3,2022,0,0,0,0,2,2,0,0,0,0,48
Alaria,Pabay_21_3_22_3,Pabay,Mid,3,21_3_2022,21,3,2022,2,0,0,0,0,0,0,0,0,0,10
