Seaweed,Sample_code,Site,Location,Station_no,Date,Day,Month,Year,Plankton_Bivalvia,OTU_Mytilus_edulis,OTU_Musculus_sp,OTU_Dosinia_sp,OTU_Kurtiella_bidentata,OTU_Montacutona_sigalionidcola,for_standardizing,Total Bivalves ,Mytilus,Ostrea,Pecten,Scallop_Brown
Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,17,0,0,0,0,0,,,,,,
Saccharina,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,17,0,0,0,0,0,,,,,,
Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,2,0,0,0,0,0,,,,,,
Saccharina,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,2,0,0,0,0,0,,,,,,
Alaria,Pabay_10_12_21_3,Pabay,Mid,3,10_12_2021,10,12,2021,17,0,0,0,0,0,,,,,,
Saccharina,Pabay_10_12_21_3,Pabay,Mid,3,10_12_2021,10,12,2021,17,0,0,0,0,0,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,NE,1,10_4_2022,10,4,2022,2,0,0,0,0,0,340,1,0,0,0,0
Saccharina,Pabay_10_4_22_1,Pabay,NE,1,10_4_2022,10,4,2022,2,0,0,0,0,0,1328,0,0,0,0,0
Alaria,Pabay_10_4_22_2,Pabay,NW,2,10_4_2022,10,4,2022,0,0,0,0,0,0,344,0,1,0,0,0
Saccharina,Pabay_10_4_22_2,Pabay,NW,2,10_4_2022,10,4,2022,0,0,0,0,0,0,888,0,0,0,0,0
Alaria,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,25,0,0,0,0,0,1330,2,0,0,2,0
Saccharina,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,25,0,0,0,0,0,364,0,0,0,0,0
Alaria,Pabay_13_11_21_1,Pabay,NE,1,13_11_2021,13,11,2021,2,0,0,0,0,0,,,,,,
Saccharina,Pabay_13_11_21_1,Pabay,NE,1,13_11_2021,13,11,2021,2,0,0,0,0,0,,,,,,
Alaria,Pabay_13_11_21_2,Pabay ,NW,2,13_11_2021,13,11,2021,2,0,0,0,0,0,,,,,,
Saccharina,Pabay_13_11_21_2,Pabay ,NW,2,13_11_2021,13,11,2021,2,0,0,0,0,0,,,,,,
Alaria,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,34,0.194162661,0,0,0,0,,,,,,
Saccharina,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,34,0.194162661,0,0,0,0,,,,,,
Alaria,Pabay_14_1_22_1,Pabay,NE,1,14_1_2022,14,1,2022,153,0,0,0,0,0,,,,,,
Saccharina,Pabay_14_1_22_1,Pabay,NE,1,14_1_2022,14,1,2022,153,0,0,0,0,0,25.4,0,0,0,0,0
Alaria,Pabay_14_1_22_2,Pabay ,NW,2,14_1_2022,14,1,2022,238,0,0,0,0,0,,,,,,
Saccharina,Pabay_14_1_22_2,Pabay ,NW,2,14_1_2022,14,1,2022,238,0,0,0,0,0,25.4,0,0,0,0,0
Alaria,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,407,0,0,0,0,0,,,,,,
Saccharina,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,407,0,0,0,0,0,25.4,0,0,0,0,0
Alaria,Pabay_15_6_21_1,Pabay,NE,1,15_6_2021,15,6,2021,2,0,0,0,0,0,,,,,,
Saccharina,Pabay_15_6_21_1,Pabay,NE,1,15_6_2021,15,6,2021,2,0,0,0,0,0,,,,,,
Alaria,Pabay_15_6_21_2,Pabay,NW,2,15_6_2021,15,6,2021,3336,0,0,0,0,0,,,,,,
Saccharina,Pabay_15_6_21_2,Pabay,NW,2,15_6_2021,15,6,2021,3336,0,0,0,0,0,,,,,,
Alaria,Pabay_15_6_21_3,Pabay,Mid,3,15_6_2021,15,6,2021,1669,0,0,0,0,0,,,,,,
Saccharina,Pabay_15_6_21_3,Pabay,Mid,3,15_6_2021,15,6,2021,1669,0,0,0,0,0,,,,,,
Alaria,Pabay_15_7_22_1,Pabay,NE,1,15_7_2022,15,7,2022,2785,0,0,0,0,0,,,,,,
Saccharina,Pabay_15_7_22_1,Pabay,NE,1,15_7_2022,15,7,2022,2785,0,0,0,0,0,256,2,2,0,0,0
Alaria,Pabay_15_7_22_2,Pabay,NW,2,15_7_2022,15,7,2022,1833,0,0,0,0,0,,,,,,
Saccharina,Pabay_15_7_22_2,Pabay,NW,2,15_7_2022,15,7,2022,1833,0,0,0,0,0,243,0,0,0,0,0
Alaria,Pabay_15_7_22_3,Pabay,Mid,3,15_7_2022,15,7,2022,1799,0,0,0,0,0,,,,,,
Saccharina,Pabay_15_7_22_3,Pabay,Mid,3,15_7_2022,15,7,2022,1799,0,0,0,0,0,184,0,13,0,0,0
Alaria,Pabay_16_9_21_1,Pabay,NE,1,16_9_2021,16,9,2021,764,0,0,0,0,0,,,,,,
Saccharina,Pabay_16_9_21_1,Pabay,NE,1,16_9_2021,16,9,2021,764,0,0,0,0,0,,,,,,
Alaria,Pabay_16_9_21_2,Pabay,NW,2,16_9_2021,16,9,2021,509,0,0,0,0,0,,,,,,
