Sample_code,Station_no,Site,Seaweed,Date,Day,Month,Year,plankton_bryozoa_larvae,OTU_Membranipora_membranacea,OTU_Electra_pilosa,OTU_Celleporella_hyalina,Saccharina_percent_blade_bryozoans,Alaria_percent_blade_bryozoans,total_area
Pabay_10_12_21_1,1,Pabay,Alaria,10_12_2021,10,12,2021,17,0,0,0,,, 
Pabay_10_12_21_1,1,Pabay,Saccharina,10_12_2021,10,12,2021,17,0,0,0,,, 
Pabay_10_12_21_2,2,Pabay,Alaria,10_12_2021,10,12,2021,34,0,0,0,,, 
Pabay_10_12_21_2,2,Pabay,Saccharina,10_12_2021,10,12,2021,34,0,0,0,,, 
Pabay_10_12_21_3,3,Pabay,Alaria,10_12_2021,10,12,2021,2,0,0,0,,, 
Pabay_10_12_21_3,3,Pabay,Saccharina,10_12_2021,10,12,2021,2,0,0,0,,, 
Pabay_10_4_22_1,1,Pabay,Alaria,10_4_2022,10,4,2022,0,0,0,0,0,0,340
Pabay_10_4_22_1,1,Pabay,Saccharina,10_4_2022,10,4,2022,0,0,0,0,0,,1328
Pabay_10_4_22_2,2,Pabay,Alaria,10_4_2022,10,4,2022,0,0,0,0,0,0,344
Pabay_10_4_22_2,2,Pabay,Saccharina,10_4_2022,10,4,2022,0,0,0,0,0,,888
Pabay_10_4_22_3,3,Pabay,Alaria,10_4_2022,10,4,2022,0,0,0,0.126701885,0,0,1330
Pabay_10_4_22_3,3,Pabay,Saccharina,10_4_2022,10,4,2022,0,0,0,0.126701885,0,,364
Pabay_13_11_21_1,1,Pabay,Alaria,13_11_2021,13,11,2021,85,0,0,0,,, 
Pabay_13_11_21_1,1,Pabay,Saccharina,13_11_2021,13,11,2021,85,0,0,0,,, 
Pabay_13_11_21_2,2,Pabay ,Alaria,13_11_2021,13,11,2021,85,0,0,0,,, 
Pabay_13_11_21_2,2,Pabay ,Saccharina,13_11_2021,13,11,2021,85,0,0,0,,, 
Pabay_13_11_21_3,3,Pabay,Alaria,13_11_2021,13,11,2021,102,0.015574545,0.065413089,0,,, 
Pabay_13_11_21_3,3,Pabay,Saccharina,13_11_2021,13,11,2021,102,0.015574545,0.065413089,0,,, 
Pabay_14_1_22_1,1,Pabay,Alaria,14_1_2022,14,1,2022,17,0,0,0,,, 
Pabay_14_1_22_1,1,Pabay,Saccharina,14_1_2022,14,1,2022,17,0,0,0,0,,25.4
Pabay_14_1_22_2,2,Pabay ,Alaria,14_1_2022,14,1,2022,51,0,0,0,,, 
Pabay_14_1_22_2,2,Pabay ,Saccharina,14_1_2022,14,1,2022,51,0,0,0,0,,25.4
Pabay_14_1_22_3,3,Pabay,Alaria,14_1_2022,14,1,2022,2,0,0,0,,, 
Pabay_14_1_22_3,3,Pabay,Saccharina,14_1_2022,14,1,2022,2,0,0,0,0,,25.4
Pabay_15_6_21_1,1,Pabay,Alaria,15_6_2021,15,6,2021,0,0,0,0,,, 
Pabay_15_6_21_1,1,Pabay,Saccharina,15_6_2021,15,6,2021,0,0,0,0,,, 
Pabay_15_6_21_2,2,Pabay,Alaria,15_6_2021,15,6,2021,0,0,0,0,,, 
Pabay_15_6_21_2,2,Pabay,Saccharina,15_6_2021,15,6,2021,0,0,0,0,,, 
Pabay_15_6_21_3,3,Pabay,Alaria,15_6_2021,15,6,2021,0,0,0,0,,, 
Pabay_15_6_21_3,3,Pabay,Saccharina,15_6_2021,15,6,2021,0,0,0,0,,, 
Pabay_15_7_22_1,1,Pabay,Alaria,15_7_2022,15,7,2022,102,0,0,0,,, 
Pabay_15_7_22_1,1,Pabay,Saccharina,15_7_2022,15,7,2022,102,0,0,0,0,,256
Pabay_15_7_22_2,2,Pabay,Alaria,15_7_2022,15,7,2022,136,0,0,0,,, 
Pabay_15_7_22_2,2,Pabay,Saccharina,15_7_2022,15,7,2022,136,0,0,0,4.028436019,,243
Pabay_15_7_22_3,3,Pabay,Alaria,15_7_2022,15,7,2022,204,0,0,0,,, 
Pabay_15_7_22_3,3,Pabay,Saccharina,15_7_2022,15,7,2022,204,0,0,0,0,,184
Pabay_16_9_21_1,1,Pabay,Alaria,16_9_2021,16,9,2021,2,0,0,0,,, 
Pabay_16_9_21_1,1,Pabay,Saccharina,16_9_2021,16,9,2021,2,0,0,0,,, 
Pabay_16_9_21_2,2,Pabay,Alaria,16_9_2021,16,9,2021,2,0,0,0,,, 
