sample_code,station_no,site,seaweed,date,day,month,year,plankton_bivalvia,otu_mytilus_edulis,otu_mytilus_edulis_complex,otu_musculus_sp,otu_dosinia_lupinus,otu_dosinia_exoleta,otu_kurtiella_bidentata,otu_montacutona_sigalionidcola,bivalve_sacc_p_cm,mytilus_sacc_p_cm,ostrea_sacc_p_cm,pecten_sacc_p_cm,scallop_brown_sacc_p_cm,bivalve_ala_p_cm,mytilus_ala_p_cm,ostrea_ala_p_cm,pecten_ala_p_cm,scallop_brown_ala_p_cm
Pabay_10_12_21_1,1,Pabay,Saccharina,10/12/2021,10,12,2021,17,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_10_12_21_1,1,Pabay,Alaria,10/12/2021,10,12,2021,17,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_10_12_21_2,2,Pabay,Saccharina,10/12/2021,10,12,2021,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_10_12_21_2,2,Pabay,Alaria,10/12/2021,10,12,2021,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_10_12_21_3,3,Pabay,Saccharina,10/12/2021,10,12,2021,17,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_10_12_21_3,3,Pabay,Alaria,10/12/2021,10,12,2021,17,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_10_4_22_1,1,Pabay,Saccharina,10/04/2022,10,4,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_4_22_1,1,Pabay,Alaria,10/04/2022,10,4,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0.002941176,0,0,0,0
Pabay_10_4_22_2,2,Pabay,Saccharina,10/04/2022,10,4,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_4_22_2,2,Pabay,Alaria,10/04/2022,10,4,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002906977,0,0,0
Pabay_10_4_22_3,3,Pabay,Saccharina,10/04/2022,10,4,2022,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_4_22_3,3,Pabay,Alaria,10/04/2022,10,4,2022,25,0,0,0,0,0,0,0,0,0,0,0,0,0.001503759,0,0,0.001503759,0
Pabay_13_11_21_1,1,Pabay,Saccharina,13/11/2021,13,11,2021,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_13_11_21_1,1,Pabay,Alaria,13/11/2021,13,11,2021,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_13_11_21_2,2,Pabay ,Saccharina,13/11/2021,13,11,2021,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_13_11_21_2,2,Pabay ,Alaria,13/11/2021,13,11,2021,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_13_11_21_3,3,Pabay,Saccharina,13/11/2021,13,11,2021,34,0.133941087,0.060221574,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_13_11_21_3,3,Pabay,Alaria,13/11/2021,13,11,2021,34,0.133941087,0.060221574,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_14_1_22_1,1,Pabay,Saccharina,14/01/2022,14,1,2022,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_14_1_22_1,1,Pabay,Alaria,14/01/2022,14,1,2022,153,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_14_1_22_2,2,Pabay ,Saccharina,14/01/2022,14,1,2022,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_14_1_22_2,2,Pabay ,Alaria,14/01/2022,14,1,2022,238,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_14_1_22_3,3,Pabay,Saccharina,14/01/2022,14,1,2022,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_14_1_22_3,3,Pabay,Alaria,14/01/2022,14,1,2022,407,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_15_6_21_1,1,Pabay,Alaria,15/06/2021,15,6,2021,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_15_6_21_1,1,Pabay,Saccharina,15/06/2021,15,6,2021,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_15_6_21_2,2,Pabay,Alaria,15/06/2021,15,6,2021,3336,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_15_6_21_2,2,Pabay,Saccharina,15/06/2021,15,6,2021,3336,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_15_6_21_3,3,Pabay,Alaria,15/06/2021,15,6,2021,1669,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_15_6_21_3,3,Pabay,Saccharina,15/06/2021,15,6,2021,1669,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_15_7_22_1,1,Pabay,Saccharina,15/07/2022,15,7,2022,2785,0,0,0,0,0,0,0,0.0078125,0.0078125,0,0,0,NA,NA,NA,NA,NA
Pabay_15_7_22_1,1,Pabay,Alaria,15/07/2022,15,7,2022,2785,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_15_7_22_2,2,Pabay,Alaria,15/07/2022,15,7,2022,1833,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_15_7_22_20,2,Pabay,Saccharina,15/07/2022,15,7,2022,1833,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Pabay_15_7_22_3,3,Pabay,Saccharina,15/07/2022,15,7,2022,1799,0,0,0,0,0,0,0,0,0.070652174,0,0,0,NA,NA,NA,NA,NA
Pabay_15_7_22_3,3,Pabay,Alaria,15/07/2022,15,7,2022,1799,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_16_9_21_1,1,Pabay,Alaria,16/09/2021,16,9,2021,764,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_16_9_21_1,1,Pabay,Saccharina,16/09/2021,16,9,2021,764,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_16_9_21_2,2,Pabay,Alaria,16/09/2021,16,9,2021,509,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
