,sample_code,station_no,site,seaweed,date,day,month,year,parsed_date,species_id,measurement_value,measurement_type,measurement_origin,y_axis,station,sample_order
31,Pabay_10_4_22_1,1,Pabay,Alaria,10/04/2022,10,4,2022,10/04/2022,mytilus_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,1,2022-04-10_1
32,Pabay_10_4_22_1,1,Pabay,Alaria,10/04/2022,10,4,2022,10/04/2022,ostrea_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,1,2022-04-10_1
33,Pabay_10_4_22_1,1,Pabay,Alaria,10/04/2022,10,4,2022,10/04/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,1,2022-04-10_1
34,Pabay_10_4_22_1,1,Pabay,Alaria,10/04/2022,10,4,2022,10/04/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,1,2022-04-10_1
42,Pabay_10_4_22_2,2,Pabay,Alaria,10/04/2022,10,4,2022,10/04/2022,ostrea_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,2,2022-04-10_2
43,Pabay_10_4_22_2,2,Pabay,Alaria,10/04/2022,10,4,2022,10/04/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,2,2022-04-10_2
44,Pabay_10_4_22_2,2,Pabay,Alaria,10/04/2022,10,4,2022,10/04/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,2,2022-04-10_2
45,Pabay_10_4_22_2,2,Pabay,Alaria,10/04/2022,10,4,2022,10/04/2022,bivalve_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,2,2022-04-10_2
51,Pabay_10_4_22_3,3,Pabay,Alaria,10/04/2022,10,4,2022,10/04/2022,mytilus_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,3,2022-04-10_3
52,Pabay_10_4_22_3,3,Pabay,Alaria,10/04/2022,10,4,2022,10/04/2022,ostrea_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,3,2022-04-10_3
