Sample_code,Station_no,Site,Seaweed,Date,Day,Month,Year,Plankton_Gastropoda,OTU_Doto_coronata,OTU_Lacuna_vincta,OTU_Rissoa_guernei,OTU_Gastropoda_sp,saccharina_Total_Gastropoda,blade_area,alaria_Total_Gastropoda,,otu_total_gastropoda,lacuna_vincta,steromphala_cineraria,rissoa_guernei,mitrella_moleculina,burnupia_sp_ugsb_25228,limapontia_capitata,siphonaria_pectinata,assiminea_grayana,glyptophysa_sp_11_pga_2018,atlanta_ariejansseni,placida_dendritica,peringia_ulvae,stenophysa_marmorata,ercolania_sp_kh_2011,antarctoneptunea_aurora,therasia_thaisa,neritina_canalis,sconsia_sp_mnhn_im_2013_61442,bulinus_nasutus,megalovalvata_piligera
Pabay_10_12_21_1,1,Pabay,Alaria,10_12_2021,10,12,2021,2,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_12_21_1,1,Pabay,Saccharina,10_12_2021,10,12,2021,2,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_12_21_2,2,Pabay,Alaria,10_12_2021,10,12,2021,34,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_12_21_2,2,Pabay,Saccharina,10_12_2021,10,12,2021,34,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_12_21_3,3,Pabay,Alaria,10_12_2021,10,12,2021,2,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_12_21_3,3,Pabay,Saccharina,10_12_2021,10,12,2021,2,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_4_22_1,1,Pabay,Alaria,10_4_2022,10,4,2022,2,0,0,0,0.17520806,0,340,0,,0.17520806,0,0,0,0,0,0,0,0,0,0,0.17520806,0,0,0,0,0,0,0,0,0
Pabay_10_4_22_1,1,Pabay,Saccharina,10_4_2022,10,4,2022,2,0,0,0,0.17520806,0,1328,0,,0.17520806,0,0,0,0,0,0,0,0,0,0,0.17520806,0,0,0,0,0,0,0,0,0
Pabay_10_4_22_2,2,Pabay,Alaria,10_4_2022,10,4,2022,0,0,0,0,0,0,344,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_4_22_2,2,Pabay,Saccharina,10_4_2022,10,4,2022,0,0,0,0,0,0,888,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_4_22_3,3,Pabay,Alaria,10_4_2022,10,4,2022,76,0.279173646,0,0,-0.279173646,0,1330,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_4_22_3,3,Pabay,Saccharina,10_4_2022,10,4,2022,76,0.279173646,0,0,-0.279173646,1,364,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_13_11_21_1,1,Pabay,Alaria,13_11_2021,13,11,2021,34,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_13_11_21_1,1,Pabay,Saccharina,13_11_2021,13,11,2021,34,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_13_11_21_2,2,Pabay ,Alaria,13_11_2021,13,11,2021,34,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_13_11_21_2,2,Pabay ,Saccharina,13_11_2021,13,11,2021,34,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_13_11_21_3,3,Pabay,Alaria,13_11_2021,13,11,2021,102,0,0,0.18689454,0.12459636,NA,,NA,,0.311490899,0,0,0.18689454,0,0,0.068527998,0,0,0,0,0,0.029072484,0.026995878,0,0,0,0,0,0,0
Pabay_13_11_21_3,3,Pabay,Saccharina,13_11_2021,13,11,2021,102,0,0,0.18689454,0.12459636,NA,,NA,,0.311490899,0,0,0.18689454,0,0,0.068527998,0,0,0,0,0,0.029072484,0.026995878,0,0,0,0,0,0,0
Pabay_14_1_22_1,1,Pabay,Alaria,14_1_2022,14,1,2022,34,0,0,0,0.041405724,0,,0,,0.041405724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025878578,0,0.015527147
Pabay_14_1_22_1,1,Pabay,Saccharina,14_1_2022,14,1,2022,34,0,0,0,0.041405724,0,4.233333333,0,,0.041405724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025878578,0,0.015527147
Pabay_14_1_22_2,2,Pabay ,Alaria,14_1_2022,14,1,2022,68,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_14_1_22_2,2,Pabay ,Saccharina,14_1_2022,14,1,2022,68,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_14_1_22_3,3,Pabay,Alaria,14_1_2022,14,1,2022,102,0,0,0,0.028608583,0,,0,,0.028608583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013003901,0,0.015604681
Pabay_14_1_22_3,3,Pabay,Saccharina,14_1_2022,14,1,2022,102,0,0,0,0.028608583,0,,0,,0.028608583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013003901,0,0.015604681
Pabay_15_6_21_1,1,Pabay,Alaria,15_6_2021,15,6,2021,2,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_15_6_21_1,1,Pabay,Saccharina,15_6_2021,15,6,2021,2,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_15_6_21_2,2,Pabay,Alaria,15_6_2021,15,6,2021,509,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_15_6_21_2,2,Pabay,Saccharina,15_6_2021,15,6,2021,509,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
