Sample_code,Station_no,Site,Seaweed,Date,Day,Month,Year,plankton_Gastropoda,for_standardizing,Gibbula,Lacuna,Rissoa,Patella,otu_antarctoneptunea_aurora,otu_assiminea_grayana,otu_atlanta_ariejansseni,otu_bulinus_nasutus,otu_burnupia_sp_ugsb_25228,otu_doto_coronata,otu_ercolania_sp_kh_2011,otu_glyptophysa_sp_11_pga_2018,otu_lacuna_vincta,otu_limapontia_capitata,otu_megalovalvata_piligera,otu_mitrella_moleculina,otu_neritina_canalis,otu_peringia_ulvae,otu_placida_dendritica,otu_rissoa_guernei,otu_sconsia_sp_mnhn_im_2013_61442,otu_segmentina_nitida,otu_siphonaria_pectinata,otu_stenophysa_marmorata,otu_steromphala_cineraria,otu_therasia_thaisa
Pabay_10_12_21_1,1,Pabay,Alaria,10_12_2021,10,12,2021,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_12_21_1,1,Pabay,Saccharina,10_12_2021,10,12,2021,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_12_21_2,2,Pabay,Alaria,10_12_2021,10,12,2021,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_12_21_2,2,Pabay,Saccharina,10_12_2021,10,12,2021,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_12_21_3,3,Pabay,Alaria,10_12_2021,10,12,2021,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_12_21_3,3,Pabay,Saccharina,10_12_2021,10,12,2021,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_4_22_1,1,Pabay,Alaria,10_4_2022,10,4,2022,2,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17520806,0,0,0,0,0,0,0
Pabay_10_4_22_1,1,Pabay,Saccharina,10_4_2022,10,4,2022,2,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17520806,0,0,0,0,0,0,0
Pabay_10_4_22_2,2,Pabay,Alaria,10_4_2022,10,4,2022,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_4_22_2,2,Pabay,Saccharina,10_4_2022,10,4,2022,0,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_4_22_3,3,Pabay,Alaria,10_4_2022,10,4,2022,76,1330,0,0,0,0,0,0,0,0,0,0.279173646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_10_4_22_3,3,Pabay,Saccharina,10_4_2022,10,4,2022,76,364,0,0,1,0,0,0,0,0,0,0.279173646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_13_11_21_1,1,Pabay,Alaria,13_11_2021,13,11,2021,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_13_11_21_1,1,Pabay,Saccharina,13_11_2021,13,11,2021,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_13_11_21_2,2,Pabay ,Alaria,13_11_2021,13,11,2021,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_13_11_21_2,2,Pabay ,Saccharina,13_11_2021,13,11,2021,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_13_11_21_3,3,Pabay,Alaria,13_11_2021,13,11,2021,102,,,,,,0,0,0,0,0,0,0,0,0,0.068527998,0,0,0,0.029072484,0,0.18689454,0,0,0,0.026995878,0,0
Pabay_13_11_21_3,3,Pabay,Saccharina,13_11_2021,13,11,2021,102,,,,,,0,0,0,0,0,0,0,0,0,0.068527998,0,0,0,0.029072484,0,0.18689454,0,0,0,0.026995878,0,0
Pabay_14_1_22_1,1,Pabay,Alaria,14_1_2022,14,1,2022,34,,,,,,0,0,0,0,0,0,0,0,0,0,0.015527147,0,0,0,0,0,0.025878578,0,0,0,0,0
Pabay_14_1_22_1,1,Pabay,Saccharina,14_1_2022,14,1,2022,34,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015527147,0,0,0,0,0,0.025878578,0,0,0,0,0
Pabay_14_1_22_2,2,Pabay ,Alaria,14_1_2022,14,1,2022,68,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_14_1_22_2,2,Pabay ,Saccharina,14_1_2022,14,1,2022,68,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_14_1_22_3,3,Pabay,Alaria,14_1_2022,14,1,2022,102,,,,,,0,0,0,0,0,0,0,0,0,0,0.015604681,0,0,0,0,0,0.013003901,0,0,0,0,0
Pabay_14_1_22_3,3,Pabay,Saccharina,14_1_2022,14,1,2022,102,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015604681,0,0,0,0,0,0.013003901,0,0,0,0,0
Pabay_15_6_21_1,1,Pabay,Alaria,15_6_2021,15,6,2021,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_15_6_21_1,1,Pabay,Saccharina,15_6_2021,15,6,2021,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_15_6_21_2,2,Pabay,Alaria,15_6_2021,15,6,2021,509,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_15_6_21_2,2,Pabay,Saccharina,15_6_2021,15,6,2021,509,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_15_6_21_3,3,Pabay,Alaria,15_6_2021,15,6,2021,255.5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_15_6_21_3,3,Pabay,Saccharina,15_6_2021,15,6,2021,255.5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_15_7_22_1,1,Pabay,Alaria,15_7_2022,15,7,2022,102,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_15_7_22_1,1,Pabay,Saccharina,15_7_2022,15,7,2022,102,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_15_7_22_2,2,Pabay,Alaria,15_7_2022,15,7,2022,67,,,,,,0.068263823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_15_7_22_2,2,Pabay,Saccharina,15_7_2022,15,7,2022,67,243,0,0,0,0,0.068263823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_15_7_22_3,3,Pabay,Alaria,15_7_2022,15,7,2022,238,,,,,,0,0,0,0.006308452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097781002,0,0,0
Pabay_15_7_22_3,3,Pabay,Saccharina,15_7_2022,15,7,2022,238,184,0,0,0,0,0,0,0,0.006308452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097781002,0,0,0
Pabay_16_9_21_1,1,Pabay,Alaria,16_9_2021,16,9,2021,1681,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_16_9_21_1,1,Pabay,Saccharina,16_9_2021,16,9,2021,1681,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_16_9_21_2,2,Pabay,Alaria,16_9_2021,16,9,2021,611,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583394506,0
Pabay_16_9_21_2,2,Pabay,Saccharina,16_9_2021,16,9,2021,611,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583394506,0
Pabay_16_9_21_3,3,Pabay,Alaria,16_9_2021,16,9,2021,127,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_16_9_21_3,3,Pabay,Saccharina,16_9_2021,16,9,2021,127,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_12_21_1,1,Pabay,Alaria,21_12_2021,21,12,2021,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_12_21_1,1,Pabay,Saccharina,21_12_2021,21,12,2021,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_12_21_2,2,Pabay,Alaria,21_12_2021,21,12,2021,68,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_12_21_2,2,Pabay,Saccharina,21_12_2021,21,12,2021,68,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_12_21_3,3,Pabay,Alaria,21_12_2021,21,12,2021,10,,,,,,0,0,0,0,0,0,0.019575856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_12_21_3,3,Pabay,Saccharina,21_12_2021,21,12,2021,10,,,,,,0,0,0,0,0,0,0.019575856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_3_22_1,1,Pabay,Alaria,21_3_2022,21,3,2022,51,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_3_22_1,1,Pabay,Saccharina,21_3_2022,21,3,2022,51,2.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_3_22_2,2,Pabay,Alaria,21_3_2022,21,3,2022,229,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_3_22_2,2,Pabay,Saccharina,21_3_2022,21,3,2022,229,48,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_3_22_3,3,Pabay,Alaria,21_3_2022,21,3,2022,51,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_3_22_3,3,Pabay,Saccharina,21_3_2022,21,3,2022,51,19.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_22_5_22_1,1,Pabay,Alaria,22_5_2022,22,5,2022,204,4226,0,30,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_22_5_22_1,1,Pabay,Saccharina,22_5_2022,22,5,2022,204,1600,0,53,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_22_5_22_2,2,Pabay,Alaria,22_5_2022,22,5,2022,153,3528,0,27,76,0,0,0.053128625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_22_5_22_2,2,Pabay,Saccharina,22_5_2022,22,5,2022,153,540,0,52,13,0,0,0.053128625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_22_5_22_3,3,Pabay,Alaria,22_5_2022,22,5,2022,163,1794,0,60,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_22_5_22_3,3,Pabay,Saccharina,22_5_2022,22,5,2022,163,2303,0,70,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_25_2_22_1,1,Pabay,Alaria,25_2_2022,25,2,2022,2,210,0,0,0,0,0,0,0,0,0,0,0.145440749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_25_2_22_1,1,Pabay,Saccharina,25_2_2022,25,2,2022,2,109.5,0,0,0,0,0,0,0,0,0,0,0.145440749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_25_2_22_2,2,Pabay,Alaria,25_2_2022,25,2,2022,102,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_25_2_22_2,2,Pabay,Saccharina,25_2_2022,25,2,2022,102,109.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_25_2_22_3,3,Pabay,Alaria,25_2_2022,25,2,2022,34,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_25_2_22_3,3,Pabay,Saccharina,25_2_2022,25,2,2022,34,109.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_29_11_21_1,1,Pabay,Alaria,29_11_2021,29,11,2021,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037280974,0,0,0,0
Pabay_29_11_21_1,1,Pabay,Saccharina,29_11_2021,29,11,2021,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037280974,0,0,0,0
Pabay_29_11_21_2,2,Pabay,Alaria,29_11_2021,29,11,2021,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_29_11_21_2,2,Pabay,Saccharina,29_11_2021,29,11,2021,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_29_11_21_3,3,Pabay,Alaria,29_11_2021,29,11,2021,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048270314,0,0,0,0
Pabay_29_11_21_3,3,Pabay,Saccharina,29_11_2021,29,11,2021,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048270314,0,0,0,0
Pabay_30_1_22_1,1,Pabay,Alaria,30_1_2022,30,1,2022,2,120,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_30_1_22_1,1,Pabay,Saccharina,30_1_2022,30,1,2022,2,60.5,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_30_1_22_2,2,Pabay,Alaria,30_1_2022,30,1,2022,68,120,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pabay_30_1_22_2,2,Pabay,Saccharina,30_1_2022,30,1,2022,68,60.5,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
