Sample_code,Station_no,Site,Seaweed,Date,Day,Month,Year,Plankton_Obelia,OTU_Obelia_bidentata,OTU_Obelia_dichotoma,OTU_Obelia_sp,Saccharina_percent_blade_Hydrozoans,Alaria_percent_blade_Hydrozoans
Pabay_15_6_21_1,1,Pabay,Alaria,15/06/2021,15,6,2021,0,0,0,0,NA,NA
Pabay_15_6_21_1,1,Pabay,Saccharina,15/06/2021,15,6,2021,0,0,0,0,NA,NA
Pabay_15_6_21_2,2,Pabay,Alaria,15/06/2021,15,6,2021,0,0,0,0.05349349,NA,NA
Pabay_15_6_21_2,2,Pabay,Saccharina,15/06/2021,15,6,2021,0,0,0,0.05349349,NA,NA
Pabay_15_6_21_3,3,Pabay,Alaria,15/06/2021,15,6,2021,0,0,0,0,NA,NA
Pabay_15_6_21_3,3,Pabay,Saccharina,15/06/2021,15,6,2021,0,0,0,0,NA,NA
Scalpay_15_6_21_1,1,Scalpay,Alaria,15/06/2021,15,6,2021,0,0,0,0,NA,NA
Scalpay_15_6_21_1,1,Scalpay,Saccharina,15/06/2021,15,6,2021,0,0,0,0,NA,NA
Scalpay_15_6_21_2,2,Scalpay,Alaria,15/06/2021,15,6,2021,0,0,0,0,NA,NA
Scalpay_15_6_21_2,2,Scalpay,Saccharina,15/06/2021,15,6,2021,0,0,0,0,NA,NA
Scalpay_15_6_21_3,3,Scalpay,Alaria,15/06/2021,15,6,2021,0,0,0,0,NA,NA
Scalpay_15_6_21_3,3,Scalpay,Saccharina,15/06/2021,15,6,2021,0,0,0,0,NA,NA
Scalpay_15_6_21_4,4,Scalpay,Alaria,15/06/2021,15,6,2021,0,0.000547119,0.001243452,0,NA,NA
Scalpay_15_6_21_4,4,Scalpay,Saccharina,15/06/2021,15,6,2021,0,0.000547119,0.001243452,0,NA,NA
Scalpay_15_6_21_5,5,Scalpay,Alaria,15/06/2021,15,6,2021,0,0,0,0,NA,NA
Scalpay_15_6_21_5,5,Scalpay,Saccharina,15/06/2021,15,6,2021,0,0,0,0,NA,NA
Pabay_16_9_21_1,1,Pabay,Alaria,16/09/2021,16,9,2021,2,0,0,0,NA,NA
Pabay_16_9_21_1,1,Pabay,Saccharina,16/09/2021,16,9,2021,2,0,0,0,NA,NA
Pabay_16_9_21_2,2,Pabay,Alaria,16/09/2021,16,9,2021,2,0,0,0,NA,NA
Pabay_16_9_21_2,2,Pabay,Saccharina,16/09/2021,16,9,2021,2,0,0,0,NA,NA
Pabay_16_9_21_3,3,Pabay,Alaria,16/09/2021,16,9,2021,17,0,0,0,NA,NA
Pabay_16_9_21_3,3,Pabay,Saccharina,16/09/2021,16,9,2021,17,0,0,0,NA,NA
Pabay_30_10_21_1,1,Pabay,Alaria,30/10/2021,30,10,2021,0,0,0,0,NA,NA
Pabay_30_10_21_1,1,Pabay,Saccharina,30/10/2021,30,10,2021,0,0,0,0,NA,NA
Pabay_30_10_21_2,2,Pabay,Alaria,30/10/2021,30,10,2021,0,0,0,0,NA,NA
Pabay_30_10_21_2,2,Pabay,Saccharina,30/10/2021,30,10,2021,0,0,0,0,NA,NA
Pabay_30_10_21_3,3,Pabay,Alaria,30/10/2021,30,10,2021,17,0,0,0,NA,NA
