otu_aglaophenia_pluma,aglaophenia_tubulifera,apolemia_sp,bougainvillia_muscus,clytia_sp_1_sl_2013,clytia_sp_2_afc_2016,coryne_pintneri,dynamena_pumila,ectopleura_larynx,eutima_mira,forskalia_tholoides,garveia_annulata,halecium_sp_bmoo_08734,laodicea_sp_haw02,mitrocomella_brownei,obelia_bidentata,obelia_dichotoma,obelia_sp_3_sl_2013,obelia_sp_mzusp_3356,orthopyxis_crenata,pennaria_disticha,rhizorhagium_arenosum,sarsia_tubulosa,siphonophorae_sp_nhm_339,tiaropsis_multicirrata,Saccharina_percent_blade_Hydrozoans,Alaria_percent_blade_Hydrozoans
0,0,0,0,0,10.19469027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,10.19469027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2.558733841,0.052613495,2.616716059,0,0,0,0,0,0,0,0,0,0.110595714,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2.558733841,0.052613495,2.616716059,0,0,0,0,0,0,0,0,0,0.110595714,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044065805,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044065805,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
