Sample_code,Station_no,Site,Seaweed,Date,Day,Month,Year,Plankton_Obelia,otu_aglaophenia_pluma,otu_aglaophenia_tubulifera,otu_apolemia_sp,otu_bougainvillia_muscus,otu_clytia_sp_1_sl_2013,otu_clytia_sp_2_afc_2016,otu_coryne_pintneri,otu_dynamena_pumila,otu_ectopleura_larynx,otu_eutima_mira,otu_forskalia_tholoides,otu_garveia_annulata,otu_halecium_sp_bmoo_08734,otu_laodicea_sp_haw02,otu_mitrocomella_brownei,otu_obelia_bidentata,otu_obelia_dichotoma,otu_obelia_spp,otu_orthopyxis_crenata,otu_pennaria_disticha,otu_rhizorhagium_arenosum,otu_sarsia_tubulosa,otu_siphonophorae_sp_nhm_339,otu_tiaropsis_multicirrata,Saccharina_percent_blade_Hydrozoans,Alaria_percent_blade_Hydrozoans
Pabay_15_6_21_1,1,Pabay,Alaria,15/06/2021,15,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pabay_15_6_21_1,1,Pabay,Saccharina,15/06/2021,15,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pabay_15_6_21_2,2,Pabay,Alaria,15/06/2021,15,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05349349,0,0,0,0,0,0,,
Pabay_15_6_21_2,2,Pabay,Saccharina,15/06/2021,15,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05349349,0,0,0,0,0,0,,
Pabay_15_6_21_3,3,Pabay,Alaria,15/06/2021,15,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pabay_15_6_21_3,3,Pabay,Saccharina,15/06/2021,15,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Scalpay_15_6_21_1,1,Scalpay,Alaria,15/06/2021,15,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Scalpay_15_6_21_1,1,Scalpay,Saccharina,15/06/2021,15,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Scalpay_15_6_21_2,2,Scalpay,Alaria,15/06/2021,15,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Scalpay_15_6_21_2,2,Scalpay,Saccharina,15/06/2021,15,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Scalpay_15_6_21_3,3,Scalpay,Alaria,15/06/2021,15,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Scalpay_15_6_21_3,3,Scalpay,Saccharina,15/06/2021,15,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Scalpay_15_6_21_4,4,Scalpay,Alaria,15/06/2021,15,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001525301,0,0.000547119,0.001243452,0,0,0,0,0,0,0,,
Scalpay_15_6_21_4,4,Scalpay,Saccharina,15/06/2021,15,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001525301,0,0.000547119,0.001243452,0,0,0,0,0,0,0,,
Scalpay_15_6_21_5,5,Scalpay,Alaria,15/06/2021,15,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Scalpay_15_6_21_5,5,Scalpay,Saccharina,15/06/2021,15,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pabay_16_9_21_1,1,Pabay,Alaria,16/09/2021,16,9,2021,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pabay_16_9_21_1,1,Pabay,Saccharina,16/09/2021,16,9,2021,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pabay_16_9_21_2,2,Pabay,Alaria,16/09/2021,16,9,2021,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pabay_16_9_21_2,2,Pabay,Saccharina,16/09/2021,16,9,2021,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pabay_16_9_21_3,3,Pabay,Alaria,16/09/2021,16,9,2021,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pabay_16_9_21_3,3,Pabay,Saccharina,16/09/2021,16,9,2021,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pabay_30_10_21_1,1,Pabay,Alaria,30/10/2021,30,10,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pabay_30_10_21_1,1,Pabay,Saccharina,30/10/2021,30,10,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pabay_30_10_21_2,2,Pabay,Alaria,30/10/2021,30,10,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
