"","sample_code","station_no","site","seaweed","date","day","month","year","species_id","measurement_value","measurement_type","measurement_origin","parsed_date"
"1","Pabay_15_6_21_1",1,"Pabay","Alaria","15/06/2021",15,6,2021,"plankton_obelia",0,"abundance","Plankton Abundance (cell/L)",NA
"2","Pabay_15_6_21_1",1,"Pabay","Alaria","15/06/2021",15,6,2021,"otu_obelia_bidentata",0,"otu","Plankton eDNA (RSV)",NA
"3","Pabay_15_6_21_1",1,"Pabay","Alaria","15/06/2021",15,6,2021,"otu_obelia_dichotoma",0,"otu","Plankton eDNA (RSV)",NA
"4","Pabay_15_6_21_1",1,"Pabay","Alaria","15/06/2021",15,6,2021,"otu_obelia_sp",0,"otu","Plankton eDNA (RSV)",NA
"5","Pabay_15_6_21_1",1,"Pabay","Alaria","15/06/2021",15,6,2021,"saccharina_percent_blade_hydrozoans",NA,"blade_coverage","Hydrozoan Blade Coverage - Saccharina (%)",NA
"6","Pabay_15_6_21_1",1,"Pabay","Alaria","15/06/2021",15,6,2021,"alaria_percent_blade_hydrozoans",NA,"blade_coverage","Hydrozoan Blade Coverage - Alaria (%)",NA
"7","Pabay_15_6_21_2",2,"Pabay","Alaria","15/06/2021",15,6,2021,"plankton_obelia",0,"abundance","Plankton Abundance (cell/L)",NA
"8","Pabay_15_6_21_2",2,"Pabay","Alaria","15/06/2021",15,6,2021,"otu_obelia_bidentata",0,"otu","Plankton eDNA (RSV)",NA
"9","Pabay_15_6_21_2",2,"Pabay","Alaria","15/06/2021",15,6,2021,"otu_obelia_dichotoma",0,"otu","Plankton eDNA (RSV)",NA
"10","Pabay_15_6_21_2",2,"Pabay","Alaria","15/06/2021",15,6,2021,"otu_obelia_sp",0.05349349,"otu","Plankton eDNA (RSV)",NA
"11","Pabay_15_6_21_2",2,"Pabay","Alaria","15/06/2021",15,6,2021,"saccharina_percent_blade_hydrozoans",NA,"blade_coverage","Hydrozoan Blade Coverage - Saccharina (%)",NA
"12","Pabay_15_6_21_2",2,"Pabay","Alaria","15/06/2021",15,6,2021,"alaria_percent_blade_hydrozoans",NA,"blade_coverage","Hydrozoan Blade Coverage - Alaria (%)",NA
"13","Pabay_15_6_21_3",3,"Pabay","Alaria","15/06/2021",15,6,2021,"plankton_obelia",0,"abundance","Plankton Abundance (cell/L)",NA
"14","Pabay_15_6_21_3",3,"Pabay","Alaria","15/06/2021",15,6,2021,"otu_obelia_bidentata",0,"otu","Plankton eDNA (RSV)",NA
"15","Pabay_15_6_21_3",3,"Pabay","Alaria","15/06/2021",15,6,2021,"otu_obelia_dichotoma",0,"otu","Plankton eDNA (RSV)",NA
"16","Pabay_15_6_21_3",3,"Pabay","Alaria","15/06/2021",15,6,2021,"otu_obelia_sp",0,"otu","Plankton eDNA (RSV)",NA
"17","Pabay_15_6_21_3",3,"Pabay","Alaria","15/06/2021",15,6,2021,"saccharina_percent_blade_hydrozoans",NA,"blade_coverage","Hydrozoan Blade Coverage - Saccharina (%)",NA
"18","Pabay_15_6_21_3",3,"Pabay","Alaria","15/06/2021",15,6,2021,"alaria_percent_blade_hydrozoans",NA,"blade_coverage","Hydrozoan Blade Coverage - Alaria (%)",NA
"19","Pabay_15_6_21_1",1,"Pabay","Saccharina","15/06/2021",15,6,2021,"plankton_obelia",0,"abundance","Plankton Abundance (cell/L)",NA
"20","Pabay_15_6_21_1",1,"Pabay","Saccharina","15/06/2021",15,6,2021,"otu_obelia_bidentata",0,"otu","Plankton eDNA (RSV)",NA
"21","Pabay_15_6_21_1",1,"Pabay","Saccharina","15/06/2021",15,6,2021,"otu_obelia_dichotoma",0,"otu","Plankton eDNA (RSV)",NA
"22","Pabay_15_6_21_1",1,"Pabay","Saccharina","15/06/2021",15,6,2021,"otu_obelia_sp",0,"otu","Plankton eDNA (RSV)",NA
