,sample_code,station_no,site,seaweed,date,day,month,year,species_id,measurement_value,parsed_date,sample_id,y_label
1,Pabay_15_6_21_1,1,Pabay,Saccharina,15/06/2021,15,6,2021,saccharina_percent_blade_hydrozoans,NA,15/06/2021,Pabay_2021_06_15_1_SAC,Hydrozoan Blade Coverage - Saccharina (%)
2,Pabay_15_6_21_2,2,Pabay,Saccharina,15/06/2021,15,6,2021,saccharina_percent_blade_hydrozoans,NA,15/06/2021,Pabay_2021_06_15_2_SAC,Hydrozoan Blade Coverage - Saccharina (%)
3,Pabay_15_6_21_3,3,Pabay,Saccharina,15/06/2021,15,6,2021,saccharina_percent_blade_hydrozoans,NA,15/06/2021,Pabay_2021_06_15_3_SAC,Hydrozoan Blade Coverage - Saccharina (%)
4,Pabay_16_9_21_1,1,Pabay,Saccharina,16/09/2021,16,9,2021,saccharina_percent_blade_hydrozoans,NA,16/09/2021,Pabay_2021_09_16_1_SAC,Hydrozoan Blade Coverage - Saccharina (%)
5,Pabay_16_9_21_2,2,Pabay,Saccharina,16/09/2021,16,9,2021,saccharina_percent_blade_hydrozoans,NA,16/09/2021,Pabay_2021_09_16_2_SAC,Hydrozoan Blade Coverage - Saccharina (%)
6,Pabay_16_9_21_3,3,Pabay,Saccharina,16/09/2021,16,9,2021,saccharina_percent_blade_hydrozoans,NA,16/09/2021,Pabay_2021_09_16_3_SAC,Hydrozoan Blade Coverage - Saccharina (%)
7,Pabay_30_10_21_1,1,Pabay,Saccharina,30/10/2021,30,10,2021,saccharina_percent_blade_hydrozoans,NA,30/10/2021,Pabay_2021_10_30_1_SAC,Hydrozoan Blade Coverage - Saccharina (%)
8,Pabay_30_10_21_2,2,Pabay,Saccharina,30/10/2021,30,10,2021,saccharina_percent_blade_hydrozoans,NA,30/10/2021,Pabay_2021_10_30_2_SAC,Hydrozoan Blade Coverage - Saccharina (%)
9,Pabay_30_10_21_3,3,Pabay,Saccharina,30/10/2021,30,10,2021,saccharina_percent_blade_hydrozoans,NA,30/10/2021,Pabay_2021_10_30_3_SAC,Hydrozoan Blade Coverage - Saccharina (%)
10,Pabay_13_11_21_1,1,Pabay,Saccharina,13/11/2021,13,11,2021,saccharina_percent_blade_hydrozoans,NA,13/11/2021,Pabay_2021_11_13_1_SAC,Hydrozoan Blade Coverage - Saccharina (%)
11,Pabay_13_11_21_2,2,Pabay ,Saccharina,13/11/2021,13,11,2021,saccharina_percent_blade_hydrozoans,NA,13/11/2021,Pabay _2021_11_13_2_SAC,Hydrozoan Blade Coverage - Saccharina (%)
12,Pabay_13_11_21_3,3,Pabay,Saccharina,13/11/2021,13,11,2021,saccharina_percent_blade_hydrozoans,NA,13/11/2021,Pabay_2021_11_13_3_SAC,Hydrozoan Blade Coverage - Saccharina (%)
13,Pabay_29_11_21_1,1,Pabay,Saccharina,29/11/2021,29,11,2021,saccharina_percent_blade_hydrozoans,NA,29/11/2021,Pabay_2021_11_29_1_SAC,Hydrozoan Blade Coverage - Saccharina (%)
14,Pabay_29_11_21_2,2,Pabay,Saccharina,29/11/2021,29,11,2021,saccharina_percent_blade_hydrozoans,NA,29/11/2021,Pabay_2021_11_29_2_SAC,Hydrozoan Blade Coverage - Saccharina (%)
15,Pabay_29_11_21_3,3,Pabay,Saccharina,29/11/2021,29,11,2021,saccharina_percent_blade_hydrozoans,NA,29/11/2021,Pabay_2021_11_29_3_SAC,Hydrozoan Blade Coverage - Saccharina (%)
16,Pabay_10_12_21_1,1,Pabay,Saccharina,10/12/2021,10,12,2021,saccharina_percent_blade_hydrozoans,NA,10/12/2021,Pabay_2021_12_10_1_SAC,Hydrozoan Blade Coverage - Saccharina (%)
17,Pabay_10_12_21_2,2,Pabay,Saccharina,10/12/2021,10,12,2021,saccharina_percent_blade_hydrozoans,NA,10/12/2021,Pabay_2021_12_10_2_SAC,Hydrozoan Blade Coverage - Saccharina (%)
18,Pabay_10_12_21_3,3,Pabay,Saccharina,10/12/2021,10,12,2021,saccharina_percent_blade_hydrozoans,NA,10/12/2021,Pabay_2021_12_10_3_SAC,Hydrozoan Blade Coverage - Saccharina (%)
19,Pabay_21_12_21_1,1,Pabay,Saccharina,21/12/2021,21,12,2021,saccharina_percent_blade_hydrozoans,NA,21/12/2021,Pabay_2021_12_21_1_SAC,Hydrozoan Blade Coverage - Saccharina (%)
20,Pabay_21_12_21_2,2,Pabay,Saccharina,21/12/2021,21,12,2021,saccharina_percent_blade_hydrozoans,NA,21/12/2021,Pabay_2021_12_21_2_SAC,Hydrozoan Blade Coverage - Saccharina (%)
21,Pabay_21_12_21_3,3,Pabay,Saccharina,21/12/2021,21,12,2021,saccharina_percent_blade_hydrozoans,NA,21/12/2021,Pabay_2021_12_21_3_SAC,Hydrozoan Blade Coverage - Saccharina (%)
22,Pabay_14_1_22_1,1,Pabay,Saccharina,14/01/2022,14,1,2022,saccharina_percent_blade_hydrozoans,0,14/01/2022,Pabay_2022_01_14_1_SAC,Hydrozoan Blade Coverage - Saccharina (%)
23,Pabay_14_1_22_2,2,Pabay ,Saccharina,14/01/2022,14,1,2022,saccharina_percent_blade_hydrozoans,0,14/01/2022,Pabay _2022_01_14_2_SAC,Hydrozoan Blade Coverage - Saccharina (%)
24,Pabay_14_1_22_3,3,Pabay,Saccharina,14/01/2022,14,1,2022,saccharina_percent_blade_hydrozoans,0,14/01/2022,Pabay_2022_01_14_3_SAC,Hydrozoan Blade Coverage - Saccharina (%)
25,Pabay_30_1_22_1,1,Pabay,Saccharina,30/01/2022,30,1,2022,saccharina_percent_blade_hydrozoans,0,30/01/2022,Pabay_2022_01_30_1_SAC,Hydrozoan Blade Coverage - Saccharina (%)
26,Pabay_30_1_22_2,2,Pabay,Saccharina,30/01/2022,30,1,2022,saccharina_percent_blade_hydrozoans,NA,30/01/2022,Pabay_2022_01_30_2_SAC,Hydrozoan Blade Coverage - Saccharina (%)
27,Pabay_30_1_22_3,3,Pabay,Saccharina,30/01/2022,30,1,2022,saccharina_percent_blade_hydrozoans,NA,30/01/2022,Pabay_2022_01_30_3_SAC,Hydrozoan Blade Coverage - Saccharina (%)
28,Pabay_8_2_22_1,1,Pabay,Saccharina,08/02/2022,8,2,2022,saccharina_percent_blade_hydrozoans,0,08/02/2022,Pabay_2022_02_08_1_SAC,Hydrozoan Blade Coverage - Saccharina (%)
29,Pabay_8_2_22_2,2,Pabay,Saccharina,08/02/2022,8,2,2022,saccharina_percent_blade_hydrozoans,0,08/02/2022,Pabay_2022_02_08_2_SAC,Hydrozoan Blade Coverage - Saccharina (%)
30,Pabay_8_2_22_3,3,Pabay,Saccharina,08/02/2022,8,2,2022,saccharina_percent_blade_hydrozoans,NA,08/02/2022,Pabay_2022_02_08_3_SAC,Hydrozoan Blade Coverage - Saccharina (%)
31,Pabay_25_2_22_1,1,Pabay,Saccharina,25/02/2022,25,2,2022,saccharina_percent_blade_hydrozoans,0,25/02/2022,Pabay_2022_02_25_1_SAC,Hydrozoan Blade Coverage - Saccharina (%)
32,Pabay_25_2_22_2,2,Pabay,Saccharina,25/02/2022,25,2,2022,saccharina_percent_blade_hydrozoans,NA,25/02/2022,Pabay_2022_02_25_2_SAC,Hydrozoan Blade Coverage - Saccharina (%)
33,Pabay_25_2_22_3,3,Pabay,Saccharina,25/02/2022,25,2,2022,saccharina_percent_blade_hydrozoans,NA,25/02/2022,Pabay_2022_02_25_3_SAC,Hydrozoan Blade Coverage - Saccharina (%)
34,Pabay_8_3_22_1,1,Pabay,Saccharina,08/03/2022,8,3,2022,saccharina_percent_blade_hydrozoans,NA,08/03/2022,Pabay_2022_03_08_1_SAC,Hydrozoan Blade Coverage - Saccharina (%)
35,Pabay_8_3_22_2,2,Pabay,Saccharina,08/03/2022,8,3,2022,saccharina_percent_blade_hydrozoans,NA,08/03/2022,Pabay_2022_03_08_2_SAC,Hydrozoan Blade Coverage - Saccharina (%)
36,Pabay_8_3_22_3,3,Pabay,Saccharina,08/03/2022,8,3,2022,saccharina_percent_blade_hydrozoans,NA,08/03/2022,Pabay_2022_03_08_3_SAC,Hydrozoan Blade Coverage - Saccharina (%)
37,Pabay_21_3_22_1,1,Pabay,Saccharina,21/03/2022,21,3,2022,saccharina_percent_blade_hydrozoans,0,21/03/2022,Pabay_2022_03_21_1_SAC,Hydrozoan Blade Coverage - Saccharina (%)
38,Pabay_21_3_22_2,2,Pabay,Saccharina,21/03/2022,21,3,2022,saccharina_percent_blade_hydrozoans,0,21/03/2022,Pabay_2022_03_21_2_SAC,Hydrozoan Blade Coverage - Saccharina (%)
39,Pabay_21_3_22_3,3,Pabay,Saccharina,21/03/2022,21,3,2022,saccharina_percent_blade_hydrozoans,0,21/03/2022,Pabay_2022_03_21_3_SAC,Hydrozoan Blade Coverage - Saccharina (%)
40,Pabay_10_4_22_1,1,Pabay,Saccharina,10/04/2022,10,4,2022,saccharina_percent_blade_hydrozoans,0,10/04/2022,Pabay_2022_04_10_1_SAC,Hydrozoan Blade Coverage - Saccharina (%)
41,Pabay_10_4_22_2,2,Pabay,Saccharina,10/04/2022,10,4,2022,saccharina_percent_blade_hydrozoans,0,10/04/2022,Pabay_2022_04_10_2_SAC,Hydrozoan Blade Coverage - Saccharina (%)
42,Pabay_10_4_22_3,3,Pabay,Saccharina,10/04/2022,10,4,2022,saccharina_percent_blade_hydrozoans,0,10/04/2022,Pabay_2022_04_10_3_SAC,Hydrozoan Blade Coverage - Saccharina (%)
43,Pabay_7_5_22_1,1,Pabay,Saccharina,07/05/2022,7,5,2022,saccharina_percent_blade_hydrozoans,0,07/05/2022,Pabay_2022_05_07_1_SAC,Hydrozoan Blade Coverage - Saccharina (%)
44,Pabay_7_5_22_2,2,Pabay,Saccharina,07/05/2022,7,5,2022,saccharina_percent_blade_hydrozoans,1.704856787,07/05/2022,Pabay_2022_05_07_2_SAC,Hydrozoan Blade Coverage - Saccharina (%)
