,sample_code,station_no,site,seaweed,date,day,month,year,otu_id,abundance
207,Pabay_10_12_21_1,1,Pabay,Alaria,10/12/2021,10,12,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
1277,Pabay_10_12_21_2,2,Pabay,Alaria,10/12/2021,10,12,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
2347,Pabay_10_12_21_3,3,Pabay,Alaria,10/12/2021,10,12,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
3417,Pabay_10_4_22_1,1,Pabay,Alaria,10/04/2022,10,4,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
4487,Pabay_10_4_22_2,2,Pabay,Alaria,10/04/2022,10,4,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
5557,Pabay_10_4_22_3,3,Pabay,Alaria,10/04/2022,10,4,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
6627,Pabay_13_11_21_1,1,Pabay,Alaria,13/11/2021,13,11,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
7697,Pabay_13_11_21_2,2,Pabay,Alaria,13/11/2021,13,11,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
8767,Pabay_13_11_21_3,3,Pabay,Alaria,13/11/2021,13,11,2021,aequorea_sp_usnm_iz_1448486,0.31875902
,,,,,,,,,,
9837,Pabay_14_1_22_1,1,Pabay,Alaria,14/01/2022,14,1,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
10907,Pabay_14_1_22_2,2,Pabay,Alaria,14/01/2022,14,1,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
11977,Pabay_14_1_22_3,3,Pabay,Alaria,14/01/2022,14,1,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
13047,Pabay_15_6_21_1,1,Pabay,Alaria,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
14117,Pabay_15_6_21_2,2,Pabay,Alaria,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
