,sample_code,station_no,site,seaweed,date,day,month,year,otu_id,abundance
207,Pabay_10_12_21_1,1,Pabay,Alaria,10/12/2021,10,12,2021,aequorea_sp_usnm_iz_1448486,0
742,Pabay_10_12_21_1,1,Pabay,Saccharina,10/12/2021,10,12,2021,aequorea_sp_usnm_iz_1448486,0
1277,Pabay_10_12_21_2,2,Pabay,Alaria,10/12/2021,10,12,2021,aequorea_sp_usnm_iz_1448486,0
1812,Pabay_10_12_21_2,2,Pabay,Saccharina,10/12/2021,10,12,2021,aequorea_sp_usnm_iz_1448486,0
2347,Pabay_10_12_21_3,3,Pabay,Alaria,10/12/2021,10,12,2021,aequorea_sp_usnm_iz_1448486,0
2882,Pabay_10_12_21_3,3,Pabay,Saccharina,10/12/2021,10,12,2021,aequorea_sp_usnm_iz_1448486,0
3417,Pabay_10_4_22_1,1,Pabay,Alaria,10/04/2022,10,4,2022,aequorea_sp_usnm_iz_1448486,0
3952,Pabay_10_4_22_1,1,Pabay,Saccharina,10/04/2022,10,4,2022,aequorea_sp_usnm_iz_1448486,0
4487,Pabay_10_4_22_2,2,Pabay,Alaria,10/04/2022,10,4,2022,aequorea_sp_usnm_iz_1448486,0
5022,Pabay_10_4_22_2,2,Pabay,Saccharina,10/04/2022,10,4,2022,aequorea_sp_usnm_iz_1448486,0
5557,Pabay_10_4_22_3,3,Pabay,Alaria,10/04/2022,10,4,2022,aequorea_sp_usnm_iz_1448486,0
6092,Pabay_10_4_22_3,3,Pabay,Saccharina,10/04/2022,10,4,2022,aequorea_sp_usnm_iz_1448486,0
6627,Pabay_13_11_21_1,1,Pabay,Alaria,13/11/2021,13,11,2021,aequorea_sp_usnm_iz_1448486,0
7162,Pabay_13_11_21_1,1,Pabay,Saccharina,13/11/2021,13,11,2021,aequorea_sp_usnm_iz_1448486,0
7697,Pabay_13_11_21_2,2,Pabay,Alaria,13/11/2021,13,11,2021,aequorea_sp_usnm_iz_1448486,0
8232,Pabay_13_11_21_2,2,Pabay,Saccharina,13/11/2021,13,11,2021,aequorea_sp_usnm_iz_1448486,0
8767,Pabay_13_11_21_3,3,Pabay,Alaria,13/11/2021,13,11,2021,aequorea_sp_usnm_iz_1448486,0.31875902
9302,Pabay_13_11_21_3,3,Pabay,Saccharina,13/11/2021,13,11,2021,aequorea_sp_usnm_iz_1448486,0.31875902
9837,Pabay_14_1_22_1,1,Pabay,Alaria,14/01/2022,14,1,2022,aequorea_sp_usnm_iz_1448486,0
10372,Pabay_14_1_22_1,1,Pabay,Saccharina,14/01/2022,14,1,2022,aequorea_sp_usnm_iz_1448486,0
10907,Pabay_14_1_22_2,2,Pabay,Alaria,14/01/2022,14,1,2022,aequorea_sp_usnm_iz_1448486,0
11442,Pabay_14_1_22_2,2,Pabay,Saccharina,14/01/2022,14,1,2022,aequorea_sp_usnm_iz_1448486,0
11977,Pabay_14_1_22_3,3,Pabay,Alaria,14/01/2022,14,1,2022,aequorea_sp_usnm_iz_1448486,0
12512,Pabay_14_1_22_3,3,Pabay,Saccharina,14/01/2022,14,1,2022,aequorea_sp_usnm_iz_1448486,0
13047,Pabay_15_6_21_1,1,Pabay,Alaria,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
13582,Pabay_15_6_21_1,1,Pabay,Saccharina,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
14117,Pabay_15_6_21_2,2,Pabay,Alaria,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
14652,Pabay_15_6_21_2,2,Pabay,Saccharina,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
15187,Pabay_15_6_21_3,3,Pabay,Alaria,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
15722,Pabay_15_6_21_3,3,Pabay,Saccharina,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
16257,Pabay_15_7_22_1,1,Pabay,Alaria,15/07/2022,15,7,2022,aequorea_sp_usnm_iz_1448486,0
16792,Pabay_15_7_22_1,1,Pabay,Saccharina,15/07/2022,15,7,2022,aequorea_sp_usnm_iz_1448486,0
17327,Pabay_15_7_22_2,2,Pabay,Alaria,15/07/2022,15,7,2022,aequorea_sp_usnm_iz_1448486,0
17862,Pabay_15_7_22_2,2,Pabay,Saccharina,15/07/2022,15,7,2022,aequorea_sp_usnm_iz_1448486,0
18397,Pabay_15_7_22_3,3,Pabay,Alaria,15/07/2022,15,7,2022,aequorea_sp_usnm_iz_1448486,0
18932,Pabay_15_7_22_3,3,Pabay,Saccharina,15/07/2022,15,7,2022,aequorea_sp_usnm_iz_1448486,0
19467,Pabay_16_9_21_1,1,Pabay,Alaria,16/09/2021,16,9,2021,aequorea_sp_usnm_iz_1448486,0
20002,Pabay_16_9_21_1,1,Pabay,Saccharina,16/09/2021,16,9,2021,aequorea_sp_usnm_iz_1448486,0
20537,Pabay_16_9_21_2,2,Pabay,Alaria,16/09/2021,16,9,2021,aequorea_sp_usnm_iz_1448486,0
21072,Pabay_16_9_21_2,2,Pabay,Saccharina,16/09/2021,16,9,2021,aequorea_sp_usnm_iz_1448486,0
21607,Pabay_16_9_21_3,3,Pabay,Alaria,16/09/2021,16,9,2021,aequorea_sp_usnm_iz_1448486,0
22142,Pabay_16_9_21_3,3,Pabay,Saccharina,16/09/2021,16,9,2021,aequorea_sp_usnm_iz_1448486,0
22677,Pabay_21_12_21_1,1,Pabay,Alaria,21/12/2021,21,12,2021,aequorea_sp_usnm_iz_1448486,0
23212,Pabay_21_12_21_1,1,Pabay,Saccharina,21/12/2021,21,12,2021,aequorea_sp_usnm_iz_1448486,0
23747,Pabay_21_12_21_2,2,Pabay,Alaria,21/12/2021,21,12,2021,aequorea_sp_usnm_iz_1448486,0
24282,Pabay_21_12_21_2,2,Pabay,Saccharina,21/12/2021,21,12,2021,aequorea_sp_usnm_iz_1448486,0
24817,Pabay_21_12_21_3,3,Pabay,Alaria,21/12/2021,21,12,2021,aequorea_sp_usnm_iz_1448486,0
25352,Pabay_21_12_21_3,3,Pabay,Saccharina,21/12/2021,21,12,2021,aequorea_sp_usnm_iz_1448486,0
25887,Pabay_21_3_22_1,1,Pabay,Alaria,21/03/2022,21,3,2022,aequorea_sp_usnm_iz_1448486,0
26422,Pabay_21_3_22_1,1,Pabay,Saccharina,21/03/2022,21,3,2022,aequorea_sp_usnm_iz_1448486,0
26957,Pabay_21_3_22_2,2,Pabay,Alaria,21/03/2022,21,3,2022,aequorea_sp_usnm_iz_1448486,0
27492,Pabay_21_3_22_2,2,Pabay,Saccharina,21/03/2022,21,3,2022,aequorea_sp_usnm_iz_1448486,0
28027,Pabay_21_3_22_3,3,Pabay,Alaria,21/03/2022,21,3,2022,aequorea_sp_usnm_iz_1448486,0
28562,Pabay_21_3_22_3,3,Pabay,Saccharina,21/03/2022,21,3,2022,aequorea_sp_usnm_iz_1448486,0
29097,Pabay_22_5_22_1,1,Pabay,Alaria,22/05/2022,22,5,2022,aequorea_sp_usnm_iz_1448486,0
29632,Pabay_22_5_22_1,1,Pabay,Saccharina,22/05/2022,22,5,2022,aequorea_sp_usnm_iz_1448486,0
30167,Pabay_22_5_22_2,2,Pabay,Alaria,22/05/2022,22,5,2022,aequorea_sp_usnm_iz_1448486,0
30702,Pabay_22_5_22_2,2,Pabay,Saccharina,22/05/2022,22,5,2022,aequorea_sp_usnm_iz_1448486,0
31237,Pabay_22_5_22_3,3,Pabay,Alaria,22/05/2022,22,5,2022,aequorea_sp_usnm_iz_1448486,0
31772,Pabay_22_5_22_3,3,Pabay,Saccharina,22/05/2022,22,5,2022,aequorea_sp_usnm_iz_1448486,0
32307,Pabay_25_2_22_1,1,Pabay,Alaria,25/02/2022,25,2,2022,aequorea_sp_usnm_iz_1448486,0
32842,Pabay_25_2_22_1,1,Pabay,Saccharina,25/02/2022,25,2,2022,aequorea_sp_usnm_iz_1448486,0
33377,Pabay_25_2_22_2,2,Pabay,Alaria,25/02/2022,25,2,2022,aequorea_sp_usnm_iz_1448486,0
33912,Pabay_25_2_22_2,2,Pabay,Saccharina,25/02/2022,25,2,2022,aequorea_sp_usnm_iz_1448486,0
34447,Pabay_25_2_22_3,3,Pabay,Alaria,25/02/2022,25,2,2022,aequorea_sp_usnm_iz_1448486,0
34982,Pabay_25_2_22_3,3,Pabay,Saccharina,25/02/2022,25,2,2022,aequorea_sp_usnm_iz_1448486,0
35517,Pabay_29_11_21_1,1,Pabay,Alaria,29/11/2021,29,11,2021,aequorea_sp_usnm_iz_1448486,0
36052,Pabay_29_11_21_1,1,Pabay,Saccharina,29/11/2021,29,11,2021,aequorea_sp_usnm_iz_1448486,0
36587,Pabay_29_11_21_2,2,Pabay,Alaria,29/11/2021,29,11,2021,aequorea_sp_usnm_iz_1448486,0
37122,Pabay_29_11_21_2,2,Pabay,Saccharina,29/11/2021,29,11,2021,aequorea_sp_usnm_iz_1448486,0
37657,Pabay_29_11_21_3,3,Pabay,Alaria,29/11/2021,29,11,2021,aequorea_sp_usnm_iz_1448486,0
38192,Pabay_29_11_21_3,3,Pabay,Saccharina,29/11/2021,29,11,2021,aequorea_sp_usnm_iz_1448486,0
38727,Pabay_30_1_22_1,1,Pabay,Alaria,30/01/2022,30,1,2022,aequorea_sp_usnm_iz_1448486,NA
39262,Pabay_30_1_22_1,1,Pabay,Saccharina,30/01/2022,30,1,2022,aequorea_sp_usnm_iz_1448486,NA
39797,Pabay_30_1_22_2,2,Pabay,Alaria,30/01/2022,30,1,2022,aequorea_sp_usnm_iz_1448486,NA
40332,Pabay_30_1_22_2,2,Pabay,Saccharina,30/01/2022,30,1,2022,aequorea_sp_usnm_iz_1448486,NA
40867,Pabay_30_1_22_3,3,Pabay,Alaria,30/01/2022,30,1,2022,aequorea_sp_usnm_iz_1448486,NA
41402,Pabay_30_1_22_3,3,Pabay,Saccharina,30/01/2022,30,1,2022,aequorea_sp_usnm_iz_1448486,NA
41937,Pabay_30_10_21_1,1,Pabay,Alaria,30/10/2021,30,10,2021,aequorea_sp_usnm_iz_1448486,0
42472,Pabay_30_10_21_1,1,Pabay,Saccharina,30/10/2021,30,10,2021,aequorea_sp_usnm_iz_1448486,0
