,seaweed,sample_code,site,location,station_no,date,day,month,year,notes_on_blades,sample_no,species_id,measurement_value,measurement_type,measurement_origin,parsed_date,species_name,X,kingdom,phylum,class,order,family,genus
1,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,total_phytoplankton,3928,NA,NA,10/12/2021,total phytoplankton,NA,NA,NA,NA,NA,NA,NA
2,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,total_zooplankton,178,NA,NA,10/12/2021,total zooplankton,NA,NA,NA,NA,NA,NA,NA
3,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,zooplank_abundance_bivalvia,17,abundance,plankton,10/12/2021,zooplank abundance bivalvia,NA,NA,NA,NA,NA,NA,NA
4,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,zooplank_abundance_bryozoa_larvae,17,abundance,plankton,10/12/2021,zooplank abundance bryozoa larvae,NA,NA,NA,NA,NA,NA,NA
5,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,zooplank_abundance_gastropoda,2,abundance,plankton,10/12/2021,zooplank abundance gastropoda,NA,NA,NA,NA,NA,NA,NA
6,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,zooplank_abundance_holoplankton,140,abundance,plankton,10/12/2021,zooplank abundance holoplankton,NA,NA,NA,NA,NA,NA,NA
7,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,zooplank_abundance_hydroids,0,abundance,plankton,10/12/2021,zooplank abundance hydroids,NA,NA,NA,NA,NA,NA,NA
8,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,zooplank_abundance_obelia,0,abundance,plankton,10/12/2021,zooplank abundance obelia,NA,NA,NA,NA,NA,NA,NA
9,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,zooplank_abundance_total_hydrozoa,0,abundance,plankton,10/12/2021,zooplank abundance total hydrozoa,NA,NA,NA,NA,NA,NA,NA
10,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,zooplank_abundance_meroplankton,38,abundance,plankton,10/12/2021,zooplank abundance meroplankton,NA,NA,NA,NA,NA,NA,NA
11,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,zooplank_abundance_total_balanoida,0,abundance,plankton,10/12/2021,zooplank abundance total balanoida,NA,NA,NA,NA,NA,NA,NA
12,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,zooplank_abundance_total_brachiopoda,2,abundance,plankton,10/12/2021,zooplank abundance total brachiopoda,NA,NA,NA,NA,NA,NA,NA
13,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,zooplank_abundance_total_copepoda,119,abundance,plankton,10/12/2021,zooplank abundance total copepoda,NA,NA,NA,NA,NA,NA,NA
14,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,zooplank_abundance_total_malacostraca,0,abundance,plankton,10/12/2021,zooplank abundance total malacostraca,NA,NA,NA,NA,NA,NA,NA
15,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,zooplank_abundance_total_polychaeta,2,abundance,plankton,10/12/2021,zooplank abundance total polychaeta,NA,NA,NA,NA,NA,NA,NA
16,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,unknown_jellies,0,NA,NA,10/12/2021,unknown jellies,NA,NA,NA,NA,NA,NA,NA
17,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,total_reads,1412.5,NA,NA,10/12/2021,total reads,NA,NA,NA,NA,NA,NA,NA
18,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,otu_celleporella_hyalina,0,otu,edna,10/12/2021,celleporella hyalina,NA,NA,NA,NA,NA,NA,NA
19,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,otu_doto_coronata,0,otu,edna,10/12/2021,doto coronata,NA,NA,NA,NA,NA,NA,NA
20,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,otu_ectocarpus_subulatus,0,otu,edna,10/12/2021,ectocarpus subulatus,NA,NA,NA,NA,NA,NA,NA
21,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,otu_electra_pilosa,0,otu,edna,10/12/2021,electra pilosa,NA,NA,NA,NA,NA,NA,NA
22,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,otu_jassa_herdmani,0,otu,edna,10/12/2021,jassa herdmani,NA,NA,NA,NA,NA,NA,NA
