"","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
"1",148948,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=148948","Actinoptychus senarius","(Ehrenberg) Ehrenberg, 1843","unassessed",NA,220,"Species",162810,"Actinocyclus senarius","Ehrenberg, 1838",148947,"Chromista","Heterokontophyta","Bacillariophyceae","Coscinodiscales","Heliopeltaceae","Actinoptychus","Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Actinoptychus senarius (Ehrenberg) Ehrenberg, 1843. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=148948 on 2025-04-30","urn:lsid:marinespecies.org:taxname:148948",1,NA,0,0,NA,"like","2018-02-01T09:09:54.613Z"
"2",109470,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=109470","Alexandrium","Halim, 1960","accepted",NA,180,"Genus",109470,"Alexandrium","Halim, 1960",1734175,"Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Pyrocystaceae","Alexandrium","Guiry, M.D. & Guiry, G.M. (2025). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alexandrium Halim, 1960. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=109470 on 2025-04-30","urn:lsid:marinespecies.org:taxname:109470",1,NA,NA,NA,NA,"like","2024-02-26T09:29:42.253Z"
"3",149149,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=149149","Bacillaria paxillifer","(O.F.Müller) T.Marsson, 1901","unassessed",NA,220,"Species",558243,"Bacillaria paxillifera","(O.F.Müller) T.Marsson, 1901",149148,"Chromista","Heterokontophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Bacillaria","Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Bacillaria paxillifer (O.F.Müller) T.Marsson, 1901. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=149149 on 2025-04-30","urn:lsid:marinespecies.org:taxname:149149",1,NA,NA,NA,NA,"like","2018-02-01T09:09:54.613Z"
"4",109506,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=109506","Ceratium","F.Schrank, 1793","accepted",NA,180,"Genus",109506,"Ceratium","F.Schrank, 1793",109421,"Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Ceratiaceae","Ceratium","Guiry, M.D. & Guiry, G.M. (2025). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ceratium F.Schrank, 1793. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=109506 on 2025-04-30","urn:lsid:marinespecies.org:taxname:109506",1,NA,1,NA,NA,"like","2021-06-03T10:59:58.167Z"
"5",109951,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=109951","Ceratium fusus","(Ehrenberg) Dujardin, 1841","unaccepted",NA,220,"Species",840626,"Tripos fusus","(Ehrenberg) F.Gómez, 2013",109506,"Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Ceratiaceae","Ceratium","Guiry, M.D. & Guiry, G.M. (2025). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ceratium fusus (Ehrenberg) Dujardin, 1841. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=109951 on 2025-04-30","urn:lsid:marinespecies.org:taxname:109951",1,NA,NA,NA,NA,"like","2019-10-04T07:04:14.930Z"
"6",109963,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=109963","Ceratium lineatum","(Ehrenberg) Cleve, 1899","unaccepted",NA,220,"Species",837459,"Tripos lineatus","(Ehrenberg) F.Gómez, 2013",109506,"Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Ceratiaceae","Ceratium","Guiry, M.D. & Guiry, G.M. (2025). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ceratium lineatum (Ehrenberg) Cleve, 1899. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=109963 on 2025-04-30","urn:lsid:marinespecies.org:taxname:109963",1,NA,NA,0,NA,"like","2015-06-26T12:00:51.270Z"
"7",109982,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=109982","Ceratium tripos","(O.F.Müller) Nitzsch, 1817","unaccepted",NA,220,"Species",495363,"Tripos muelleri","Bory de Saint-Vincent, 1826",109506,"Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Ceratiaceae","Ceratium","Guiry, M.D. & Guiry, G.M. (2025). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ceratium tripos (O.F.Müller) Nitzsch, 1817. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=109982 on 2025-04-30","urn:lsid:marinespecies.org:taxname:109982",1,0,1,NA,NA,"like","2019-10-04T07:04:14.930Z"
"8",839164,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=839164","Ceratoperidinium falcatum","(Kofoid & Swezy) Reñé & Salas, 2013","unaccepted",NA,220,"Species",1474876,"Pseliodinium fusus","(F.Schütt) F.Gómez, 2018",109508,"Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Warnowiaceae","Ceratoperidinium","Guiry, M.D. & Guiry, G.M. (2025). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ceratoperidinium falcatum (Kofoid & Swezy) Reñé & Salas, 2013. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=839164 on 2025-04-30","urn:lsid:marinespecies.org:taxname:839164",1,NA,NA,NA,NA,"like","2021-01-06T14:01:20.493Z"
"9",149221,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=149221","Chaetoceros curvisetus","Cleve, 1889","accepted",NA,220,"Species",149221,"Chaetoceros curvisetus","Cleve, 1889",148985,"Chromista","Heterokontophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Chaetoceros curvisetus Cleve, 1889. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=149221 on 2025-04-30","urn:lsid:marinespecies.org:taxname:149221",1,NA,NA,0,0,"like","2008-03-27T13:16:17.603Z"
"10",149122,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=149122","Chaetoceros didymus","Ehrenberg, 1845","accepted",NA,220,"Species",149122,"Chaetoceros didymus","Ehrenberg, 1845",148985,"Chromista","Heterokontophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Chaetoceros didymus Ehrenberg, 1845. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=149122 on 2025-04-30","urn:lsid:marinespecies.org:taxname:149122",1,NA,NA,0,0,"like","2005-07-05T10:00:05.587Z"
