Seaweed species,Date,Day,Month,Year,for_standardizing
Alaria esculenta,14-1-2022,14,1,2022,
Alaria esculenta,30-1-2022,30,1,2022,120
Alaria esculenta,25-2-2022,25,2,2022,210
Alaria esculenta,8-3-2022,8,3,2022,149.95
Alaria esculenta,21-3-2022,21,3,2022,41
Alaria esculenta,21-3-2022,21,3,2022,9.3
Alaria esculenta,21-3-2022,21,3,2022,10
Alaria esculenta,10-4-2022,10,4,2022,340
Alaria esculenta,10-4-2022,10,4,2022,344
Alaria esculenta,10-4-2022,10,4,2022,1330
Alaria esculenta,7-5-2022,7,5,2022,1354
Alaria esculenta,7-5-2022,7,5,2022,
Alaria esculenta,7-5-2022,7,5,2022,1288
Alaria esculenta,7-5-2022,7,5,2022,1800
Alaria esculenta,22-5-2022,22,5,2022,4226
Alaria esculenta,22-5-2022,22,5,2022,
Alaria esculenta,22-5-2022,22,5,2022,
Alaria esculenta,22-5-2022,22,5,2022,3528
Alaria esculenta,22-5-2022,22,5,2022,
Alaria esculenta,22-5-2022,22,5,2022,
Alaria esculenta,22-5-2022,22,5,2022,1794
Alaria esculenta,22-5-2022,22,5,2022,
Alaria esculenta,22-5-2022,22,5,2022,
Digitata,30-1-2022,30,1,2022,76
Digitata,8-2-2022,8,2,2022,160
Digitata,25-2-2022,25,2,2022,118.5
Digitata,8-3-2022,8,3,2022,61.6
Digitata,21-3-2022,21,3,2022,45
Digitata,21-3-2022,21,3,2022,14
Digitata,21-3-2022,21,3,2022,84
Saccharina latissima,14-1-2022,14,1,2022,25.4
Saccharina latissima,30-1-2022,30,1,2022,60.5
Saccharina latissima,8-2-2022,8,2,2022,98
Saccharina latissima,25-2-2022,25,2,2022,109.5
Saccharina latissima,8-3-2022,8,3,2022,17.96
Saccharina latissima,21-3-2022,21,3,2022,2.33
Saccharina latissima,21-3-2022,21,3,2022,48
Saccharina latissima,21-3-2022,21,3,2022,19.25
Saccharina latissima,10-4-2022,10,4,2022,1328
Saccharina latissima,10-4-2022,10,4,2022,888
Saccharina latissima,10-4-2022,10,4,2022,364
Saccharina latissima,7-5-2022,7,5,2022,1256
Saccharina latissima,7-5-2022,7,5,2022,714
Saccharina latissima,7-5-2022,7,5,2022,1200
Saccharina latissima,7-5-2022,7,5,2022,1606
Saccharina latissima,7-5-2022,7,5,2022,
Saccharina latissima,7-5-2022,7,5,2022,
Saccharina latissima,7-5-2022,7,5,2022,1866
Saccharina latissima,7-5-2022,7,5,2022,
Saccharina latissima,7-5-2022,7,5,2022,
Saccharina latissima,22-5-2022,22,5,2022,1600
Saccharina latissima,22-5-2022,22,5,2022,
Saccharina latissima,22-5-2022,22,5,2022,#REF!
Saccharina latissima,22-5-2022,22,5,2022,
Saccharina latissima,22-5-2022,22,5,2022,2303
Saccharina latissima,22-5-2022,22,5,2022,
Saccharina latissima,22-5-2022,22,5,2022,
Saccharina latissima,29-6-2022,29,6,2022,480
Saccharina latissima,29-6-2022,29,6,2022,344
Saccharina latissima,29-6-2022,29,6,2022,955
Saccharina latissima,29-6-2022,29,6,2022,
Saccharina latissima,29-6-2022,29,6,2022,
Saccharina latissima,15-7-2022,15,7,2022,256
Saccharina latissima,15-7-2022,15,7,2022,210
Saccharina latissima,15-7-2022,15,7,2022,252
Saccharina latissima,15-7-2022,15,7,2022,243
Saccharina latissima,15-7-2022,15,7,2022,120
Saccharina latissima,15-7-2022,15,7,2022,270
Saccharina latissima,15-7-2022,15,7,2022,184
Saccharina latissima,15-7-2022,15,7,2022,125
Saccharina latissima,15-7-2022,15,7,2022,85
Saccharina latissima,30-7-2022,30,7,2022,403
Saccharina latissima,30-7-2022,30,7,2022,561
Saccharina latissima,30-7-2022,30,7,2022,575
Saccharina latissima,30-7-2022,30,7,2022,588
Saccharina latissima,30-7-2022,30,7,2022,600
Saccharina latissima,30-7-2022,30,7,2022,280
Saccharina latissima,30-7-2022,30,7,2022,189
Saccharina latissima,30-7-2022,30,7,2022,279
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
