seaweed,sample_code,site,location,station_no,date,day,month,year,notes_on_blades,sample_no,total_phytoplankton,total_zooplankton,total_reads,sample_type,species_original,species_cleaned,plankton_type,phytoplank_abundance,zooplank_abundance,e_dna_reads,kingdom,phylum,class,order,family,genus,species_binomial
Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,NA,6,3928,178,1412.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,NA,NA,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius
Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,NA,6,462,462,1191.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,NA,NA,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius
Alaria,Pabay_10_12_21_3,Pabay,Mid,3,10_12_2021,10,12,2021,NA,6,5545,106,1414,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,NA,NA,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius
Alaria,Pabay_10_4_22_1,Pabay,NE,1,10_4_2022,10,4,2022,2 blades? clean blade but very broken,14,146014,878,4566,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,NA,NA,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius
Alaria,Pabay_10_4_22_2,Pabay,NW,2,10_4_2022,10,4,2022,"full blade, white tufts",14,110589,437,12291.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,NA,NA,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius
Alaria,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,"full blade, white tufts",14,110897,1385,93132,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,NA,NA,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius
Alaria,Pabay_13_11_21_1,Pabay,NE,1,13_11_2021,13,11,2021,NA,4,2541,3145,3404,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,NA,NA,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius
Alaria,Pabay_13_11_21_2,Pabay,NW,2,13_11_2021,13,11,2021,NA,4,8548,2096,703,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,NA,NA,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius
Alaria,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,NA,4,2772,3412,48155.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,NA,NA,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius
Alaria,Pabay_14_1_22_1,Pabay,NE,1,14_1_2022,14,1,2022,NA,8,5545,1038,9660.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,231,NA,NA,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius
Alaria,Pabay_14_1_22_2,Pabay,NW,2,14_1_2022,14,1,2022,NA,8,3697,1241,9564.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,NA,NA,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius
Alaria,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,NA,8,3466,2568,9612.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,NA,NA,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius
Alaria,Pabay_15_6_21_1,Pabay,NE,1,15_6_2021,15,6,2021,NA,1,153869,2075,34636,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,NA,NA,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius
