Site,Date,Species,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Order,Family,Genus,Abundance
Pabay,10_4_2022,Evadne sp.,,,,,,,,,,26.98535412
Pabay,8_2_2022,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Clytia,25.7127647
Pabay,21_3_2022,invertebrate environmental sample,,,,,,,,,,25.04727523
Pabay,8_2_2022,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Clytia,24.63946535
Pabay,15_7_2022,Paracalanus parvus,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,,Calanoida,Paracalanidae,Paracalanus,21.91268732
Pabay,21_3_2022,invertebrate environmental sample,,,,,,,,,,20.31107045
Pabay,15_7_2022,Evadne sp..1,,,,,,,,,,20.09882001
Pabay,8_3_2022,invertebrate environmental sample,,,,,,,,,,18.82845954
Pabay,29_11_2021,Cassiopea xamachana,Animalia,Cnidaria,,Scyphozoa,,,Rhizostomeae,Cassiopeidae,Cassiopea,13.90506838
Pabay,8_2_2022,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Clytia,13.71539853
Pabay,29_11_2021,Cassiopea xamachana,Animalia,Cnidaria,,Scyphozoa,,,Rhizostomeae,Cassiopeidae,Cassiopea,11.53970424
Pabay,8_3_2022,Semibalanus balanoides,Animalia,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Cirripedia,Sessilia,Archaeobalanidae,Semibalanus,11.3622223
Pabay,16_9_2021,Nesometra sp. i GP-2023,,,,,,,,,,10.40160025
Pabay,7_5_2022,invertebrate environmental sample,,,,,,,,,,10.08770635
Pabay,30_7_2022,invertebrate environmental sample.1,,,,,,,,,,9.82247781
Pabay,25_2_2022,invertebrate environmental sample,,,,,,,,,,9.554824839
Pabay,10_12_2021,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Clytia,9.380530973
Pabay,8_3_2022,invertebrate environmental sample,,,,,,,,,,9.172039629
Pabay,22_5_2022,Thalassionema nitzschioides,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,Bacillariaceae,Thalassionema,8.76405469
Pabay,10_4_2022,invertebrate environmental sample,,,,,,,,,,8.518081601
Pabay,10_4_2022,Jassa herdmani,,,,,,,,,,8.468625177
Pabay,8_2_2022,Thalassionema nitzschioides,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,Bacillariaceae,Thalassionema,7.435230096
Pabay,13_11_2021,Minutocellus polymorphus.5,,,,,,,,,,7.302384982
Pabay,15_6_2021,Emiliania huxleyi,Eukaryota,Haptophyta,,Prymnesiophyceae,,,Isochrysidales,Noelaerhabdaceae,Emiliania,6.873913413
Pabay,8_2_2022,Thalassionema nitzschioides,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,Bacillariaceae,Thalassionema,6.8237777
Pabay,25_2_2022,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,6.06424687
Pabay,29_11_2021,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,5.962992759
Pabay,15_7_2022,Prionospio fallax,,,,,,,,,,5.474108507
Pabay,8_2_2022,Crustacea environmental sample,,,,,,,,,,5.335383887
Pabay,29_11_2021,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,5.293898347
Pabay,30_7_2022,invertebrate environmental sample,,,,,,,,,,5.244708103
Pabay,21_3_2022,Maresearsia praeclara,,,,,,,,,,4.813477738
Pabay,30_10_2021,Urodasys sp. 114a.2,,,,,,,,,,4.582484725
Pabay,8_3_2022,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,4.099110639
Pabay,13_11_2021,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,3.994351632
Pabay,21_3_2022,Skeletonema marinoi,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,3.934126258
Pabay ,14_1_2022,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Clytia,3.779601652
Pabay,30_7_2022,Minutocellus polymorphus.5,,,,,,,,,,3.680460058
Pabay,29_11_2021,Minutocellus polymorphus.5,,,,,,,,,,3.613537118
Pabay,16_9_2021,Monostilifera sp.,,,,,,,,,,3.593091991
Pabay,29_11_2021,Cassiopea xamachana,Animalia,Cnidaria,,Scyphozoa,,,Rhizostomeae,Cassiopeidae,Cassiopea,3.515283843
Pabay,21_12_2021,Thalassionema nitzschioides,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,Bacillariaceae,Thalassionema,3.365384615
Pabay,7_5_2022,Asplanchna sieboldii,,,,,,,,,,3.363553141
Pabay,8_2_2022,Monostilifera sp.,,,,,,,,,,3.288773217
Pabay,30_7_2022,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,3.207900988
Pabay,30_10_2021,Monostilifera sp.,,,,,,,,,,3.054989817
Pabay,29_11_2021,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,3.024017467
Pabay,21_3_2022,Lithodesmium undulatum.3,,,,,,,,,,2.91572611
Pabay,21_3_2022,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Clytia,2.878103837
Pabay,13_11_2021,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,2.688014101
Pabay,13_11_2021,Minutocellus polymorphus.5,,,,,,,,,,2.658636898
Pabay,10_4_2022,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Clytia,2.524374007
Pabay,21_3_2022,Temora sp.,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,,Calanoida,Temoridae,Temora,2.445447705
Pabay,29_11_2021,Minutocellus polymorphus.5,,,,,,,,,,2.430719523
Pabay,22_5_2022,invertebrate environmental sample,,,,,,,,,,2.273919888
Pabay,8_2_2022,Crustacea environmental sample,,,,,,,,,,2.225622479
Pabay,14_1_2022,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Clytia,2.161248375
Pabay,30_10_2021,Electra pilosa,,,,,,,,,,2.138492872
Pabay,8_3_2022,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,2.087592389
Pabay,29_11_2021,Minutocellus polymorphus.5,,,,,,,,,,2.082059533
Pabay,10_4_2022,Bougainvillia muscus,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Anthoathecata,Bougainvilliidae,Bougainvillia,1.960657991
Pabay,15_7_2022,invertebrate environmental sample,,,,,,,,,,1.943893638
Pabay,21_3_2022,Urodasys sp. 114a.6,,,,,,,,,,1.918735892
Pabay,22_5_2022,Chaetoceros tenuissimus,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Chaetocerotales,Chaetocerotaceae,Chaetoceros,1.683852151
Pabay,8_3_2022,Semibalanus balanoides,Animalia,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Cirripedia,Sessilia,Archaeobalanidae,Semibalanus,1.677010068
Pabay ,13_11_2021,Minutocellus polymorphus.5,,,,,,,,,,1.635846373
Pabay,8_3_2022,Bougainvillia muscus,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Anthoathecata,Bougainvilliidae,Bougainvillia,1.572196938
Pabay,8_2_2022,Crustacea environmental sample,,,,,,,,,,1.55645445
Pabay,13_11_2021,Monogononta sp. R35_CoastL,,,,,,,,,,1.527343709
Pabay,8_3_2022,Minutocellus polymorphus.9,,,,,,,,,,1.514273893
Pabay,30_7_2022,Minutocellus polymorphus.6,,,,,,,,,,1.512689086
Pabay,30_6_2022,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Clytia,1.484079647
Pabay,10_4_2022,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,1.471030366
Pabay,10_12_2021,Thalassionema nitzschioides,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,Bacillariaceae,Thalassionema,1.451327434
