Sample_code,Site,Location,Station_no,Date,Day,Month,Year,Sample no,Total_Zooplankton,Total_Phytoplankton,total_reads,reads_polychaeta,reads_Balanoida,reads_Bivalvia,reads_Branchiopoda,reads_Bryozoa,reads_Copepoda,reads_malacostraca,reads_Gastropoda,reads_Hydrozoa,reads_other,zoo_count_malacostraca,zoo_count_polychaeta,zoo_count_Balanoida,zoo_count_Bivalvia,zoo_count_Branchiopoda,zoo_count_bryozoa,zoo_count_Copepoda,zoo_count_gastropoda,zoo_count_hydrozoa,zoo_count_other,zoo_rel_other,zoo_rel_polychaeta,zoo_rel_Balanoida,zoo_rel_malacostraca,zoo_rel_Bivalvia,zoo_rel_Branchiopoda,zoo_rel_Bryozoa,zoo_rel_Copepoda,zoo_rel_Gastropoda,zoo_rel_Hydrozoa,eDNA_other_rel,eDNA_polychaeta_rel,eDNA_Balanoida_rel,eDNA_Bivalvia_rel,eDNA_Branchiopoda_rel,eDNA_Bryozoa_rel,eDNA_Copepoda_rel,eDNA_malacostraca_rel,eDNA_Gastropoda_rel,eDNA_Hydrozoa_rel
Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,6,178,3928,1412.5,0,0,0,0,0,0,0,0,10.5840708,1401.915929,0,2,0,17,2,17,119,2,0,19,0.106741573,0.011235955,0,0,0.095505618,0.011235955,0.095505618,0.668539326,0.011235955,0,0.992506852,0,0,0,0,0,0,0,0,0.007493147
Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,6,462,462,1191.5,0,0,0,0,0,0,0,0,0.713386488,1190.786614,0,17,0,2,0,34,357,34,0,18,0.038961039,0.036796537,0,0,0.004329004,0,0.073593074,0.772727273,0.073593074,0,0.999401271,0,0,0,0,0,0,0,0,0.00059873
Pabay_10_12_21_3,Pabay,Mid,3,10_12_2021,10,12,2021,6,106,5545,1414,0,0,0,0,0,0,0,0,0,1414,0,0,0,17,0,2,51,2,0,34,0.320754717,0,0,0,0.160377358,0,0.018867925,0.481132075,0.018867925,0,1,0,0,0,0,0,0,0,0,0
Pabay_10_4_22_1,Pabay,NE,1,10_4_2022,10,4,2022,14,878,146014,4566,0,0,0,0.514673675,0,0,0,0.17520806,0,4566,2,76,76,2,229,0,357,2,2,132,0.150341686,0.086560364,0.086560364,0.002277904,0.002277904,0.260820046,0,0.406605923,0.002277904,0.002277904,1,0,0,0,0.000112719,0,0,0,3.83723E-05,0
Pabay_10_4_22_2,Pabay,NW,2,10_4_2022,10,4,2022,14,437,110589,12291.5,0,0,0,0,0,0,0,0,0.004067852,12291.49593,51,25,51,0,2,0,306,0,0,2,0.004576659,0.057208238,0.116704805,0.116704805,0,0.004576659,0,0.700228833,0,0,0.999999669,0,0,0,0,0,0,0,0,3.30948E-07
Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,14,1385,110897,93132,0,0.371515698,0,26.98535412,0.126701885,0.329639651,9.684104283,0,5.338659108,93126.66134,25,458,102,25,255,0,280,76,19,145,0.104693141,0.330685921,0.073646209,0.018050542,0.018050542,0.184115523,0,0.202166065,0.054873646,0.013718412,0.999942676,0,3.98913E-06,0,0.000289754,1.36045E-06,3.53949E-06,0.000103983,0,5.73236E-05
Pabay_13_11_21_1,Pabay,NE,1,13_11_2021,13,11,2021,4,3145,2541,3404,0,0,0,0,0,0,0,0,0.044065805,3403.955934,0,51,34,2,0,85,2852,34,0,87,0.027662957,0.016216216,0.010810811,0,0.00063593,0,0.027027027,0.906836248,0.010810811,0,0.999987055,0,0,0,0,0,0,0,0,1.29453E-05
Pabay_13_11_21_2,Pabay ,NW,2,13_11_2021,13,11,2021,4,2096,8548,703,0,0,0,0,0,0,0,0,0,703,0,2,0,2,2,85,1918,34,2,51,0.024332061,0.000954198,0,0,0.000954198,0.000954198,0.040553435,0.915076336,0.016221374,0.000954198,1,0,0,0,0,0,0,0,0,0
Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,4,3412,2772,48155.5,0,0,0.194162661,0,0.080987634,0.146400723,0,0.311490899,0.455815016,48155.04418,0,68,0,34,0,102,3022,102,0,84,0.024618992,0.01992966,0,0,0.00996483,0,0.02989449,0.885697538,0.02989449,0,0.999990534,0,0,4.03199E-06,0,1.68179E-06,3.04017E-06,0,6.46844E-06,9.46548E-06
Pabay_14_1_22_1,Pabay,NE,1,14_1_2022,14,1,2022,8,1038,5545,9660.5,0.056932871,0,0,0,0,0.031054293,0,0.041405724,0.817763056,9659.682237,0,204,2,153,0,17,577,34,0,51,0.049132948,0.196531792,0.001926782,0,0.147398844,0,0.016377649,0.555876686,0.032755299,0,0.99991535,5.89337E-06,0,0,0,0,3.21456E-06,0,4.28608E-06,8.46502E-05
