"","Seaweed","Sample_code","Site","Location","Station_no","Date","Day","Month","Year","Notes on blades","Sample no","Total_Zooplankton","total reads","Total_Phytoplankton","taxa","abundance","sample_type"
"1","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Actinoptychus senarius",0,"zooplankton"
"2","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"ALEXANDRIUM",0,"zooplankton"
"3","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Alexandrium spp",0,"zooplankton"
"4","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Bacillaria paxillifer",0,"zooplankton"
"5","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Benthic spp.",0,"zooplankton"
"6","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"CERATIUM",0,"zooplankton"
"7","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Ceratium fusus",0,"zooplankton"
"8","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Ceratium lineatum",0,"zooplankton"
"9","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Ceratium tripos",0,"zooplankton"
"10","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Ceratoperidinium falcatum",0,"zooplankton"
"11","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"CHAETOCEROS",0,"zooplankton"
"12","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Chaetoceros curvisetus",0,"zooplankton"
"13","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Chaetoceros didymus",0,"zooplankton"
