Unnamed: 0,Seaweed,Sample_code,Site,Location,Station_no,Date,Day,Month,Year,Notes on blades,Sample no,Total_Zooplankton,total reads,Total_Phytoplankton,taxa,abundance,sample_type,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Order,Family,Genus,Focal_sp
1,Saccharina,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,178,1412.5,3928,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
612,Saccharina,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,462,1191.5,462,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
1223,Saccharina,Pabay_10_12_21_3,Pabay,Mid,3,10_12_2021,10,12,2021,,6,106,1414,5545,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
1834,Saccharina,Pabay_10_4_22_1,Pabay,NE,1,10_4_2022,10,4,2022,one plant?clean but fragmented in pieces,14,878,4566,146014,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
2445,Saccharina,Pabay_10_4_22_2,Pabay,NW,2,10_4_2022,10,4,2022,one plant?clean but fragmented in pieces,14,437,12291.5,110589,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
3056,Saccharina,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,"one plant?clean but fragmented in pieces, base visible",14,1385,93132,110897,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
3667,Saccharina,Pabay_13_11_21_1,Pabay,NE,1,13_11_2021,13,11,2021,,4,3145,3404,2541,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
4278,Saccharina,Pabay_13_11_21_2,Pabay,NW,2,13_11_2021,13,11,2021,,4,2096,703,8548,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
4889,Saccharina,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,,4,3412,48155.5,2772,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
5500,Saccharina,Pabay_14_1_22_1,Pabay,NE,1,14_1_2022,14,1,2022,6 blades,8,1038,9660.5,5545,Actinoptychus senarius,231,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
6111,Saccharina,Pabay_14_1_22_2,Pabay,NW,2,14_1_2022,14,1,2022,,8,1241,9564.5,3697,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
6722,Saccharina,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,,8,2568,9612.5,3466,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
7333,Saccharina,Pabay_15_7_22_1,Pabay,NE,1,15_7_2022,15,7,2022,,18,17412,36823.5,,Actinoptychus senarius,,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
7944,Saccharina,Pabay_15_7_22_2,Pabay,NW,2,15_7_2022,15,7,2022,,18,15621,15381.5,,Actinoptychus senarius,,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
8555,Saccharina,Pabay_15_7_22_3,Pabay,Mid,3,15_7_2022,15,7,2022,,18,22346,31703.5,,Actinoptychus senarius,,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
9166,Saccharina,Pabay_16_9_21_1,Pabay,NE,1,16_9_2021,16,9,2021,,2,23875,16711.5,24721,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
9777,Saccharina,Pabay_16_9_21_2,Pabay,NW,2,16_9_2021,16,9,2021,,2,19499,12941.5,23566,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
10388,Saccharina,Pabay_16_9_21_3,Pabay,Mid,3,16_9_2021,16,9,2021,,2,16679,6499,24490,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
10999,Saccharina,Pabay_21_12_21_1,Pabay,NE,1,21_12_2021,21,12,2021,,7,685,598.5,1617,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
11610,Saccharina,Pabay_21_12_21_2,Pabay,NW,2,21_12_2021,21,12,2021,,7,766,624,3466,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
12221,Saccharina,Pabay_21_12_21_3,Pabay,Mid,3,21_12_2021,21,12,2021,,7,369,7662.5,2079,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
12832,Saccharina,Pabay_21_3_22_1,Pabay,NE,1,21_3_2022,21,3,2022,3 blades,13,2659,1093,1797448,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
13443,Saccharina,Pabay_21_3_22_2,Pabay,NW,2,21_3_2022,21,3,2022,8 blades,13,6065,2658,1409772,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
14054,Saccharina,Pabay_21_3_22_3,Pabay,Mid,3,21_3_2022,21,3,2022,5 blades,13,5050,2908.5,1739690,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
14665,Saccharina,Pabay_22_5_22_1,Pabay,NE,1,22_5_2022,22,5,2022,,16,18066,5717,,Actinoptychus senarius,,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
15276,Saccharina,Pabay_22_5_22_2,Pabay,NW,2,22_5_2022,22,5,2022,,16,16045,46114.5,,Actinoptychus senarius,,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
15887,Saccharina,Pabay_22_5_22_3,Pabay,Mid,3,22_5_2022,22,5,2022,,16,21498,3883.5,,Actinoptychus senarius,,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
16498,Saccharina,Pabay_25_2_22_1,Pabay,NE,1,25_2_2022,25,2,2022,2 blades,10,689,7907,13631,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
17109,Saccharina,Pabay_25_2_22_2,Pabay,NW,2,25_2_2022,25,2,2022,,10,993,12847.5,17328,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
