Seaweed,Sample_code,Site,Location,Station_no,Date,Day,Month,Year,sample_type,Total_reads,Species,Kingdom,Phylum,Class,Order,Family,Genus,Species_full,Abundance,group_precise
Alaria,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Balanus crenatus,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Balanus,Balanus crenatus,0.132070609,Balanidae
Alaria,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Balanus balanus,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Balanus,Balanus balanus,0.12777563,Balanidae
Alaria,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Balanus crenatus.1,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Balanus,Balanus crenatus,0.111669458,Balanidae
Saccharina,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Balanus crenatus,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Balanus,Balanus crenatus,0.132070609,Balanidae
Saccharina,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Balanus balanus,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Balanus,Balanus balanus,0.12777563,Balanidae
Saccharina,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Balanus crenatus.1,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Balanus,Balanus crenatus,0.111669458,Balanidae
Alaria,Pabay_8_3_22_1,Pabay,NE,1,8_3_2022,8,3,2022,reads,18127.5,Semibalanus balanoides,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,1.677010068,Balanidae
Saccharina,Pabay_8_3_22_1,Pabay,NE,1,8_3_2022,8,3,2022,reads,18127.5,Semibalanus balanoides,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,1.677010068,Balanidae
Alaria,Pabay_8_3_22_2,Pabay,NW,2,8_3_2022,8,3,2022,reads,12718,Semibalanus balanoides.5,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.086491587,Balanidae
Saccharina,Pabay_8_3_22_2,Pabay,NW,2,8_3_2022,8,3,2022,reads,12718,Semibalanus balanoides.5,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.086491587,Balanidae
