"value"
"Asteria rubens"
"Celleporella hyalina"
"Ceratoneis"
"Chaetoceros"
"Chaetognatha"
"Dictyocha speculum"
"Ditylum brightwellii"
"Doto coronata"
"Ectocarpus subulatus"
"Electra pilosa"
"Guinardia"
"Hemiaulus sinensis"
"Heterocapsa"
"Heterocapsa rotundata"
"Heterocapsa triquetra"
"Jassa herdmani"
"Lacuna vincta"
"Lithodesmium"
"Membranipora membranacea"
"Minutocellus polymorphus"
"Mitrella moleculina"
"Mytilidae"
"Obelia"
"Obelia bidentata"
"Obelia dichotoma"
"Ophiura"
"Pleurosigma spp"
"Pseudonitzschia micropora"
"Rhizosolenia setigera"
"Rissoa guernei"
"Scrippsiella precaria"
"Skeletonema spp"
"Thalassionema nitzschioides"
"Thalassiosira rotula"
