"level","value"
"Kingdom","Animalia"
"Kingdom","Chromista"
"Phylum","Arthropoda"
"Phylum","Bryozoa"
"Phylum","Cnidaria"
"Phylum","Echinodermata"
"Phylum","Mollusca"
"Phylum","Myzozoa"
"Phylum","Ochrophyta"
"Class","Asteroidea"
"Class","Bacillariophyceae"
"Class","Coscinodiscophyceae"
"Class","Dictyochophyceae"
"Class","Dinophyceae"
"Class","Gastropoda"
"Class","Gymnolaemata"
"Class","Hydrozoa"
"Class","Malacostraca"
"Class","Mediophyceae"
"Class","Ophiuroidea"
"Class","Phaeophyceae"
"Order","Amphipoda"
"Order","Cheilostomatida"
"Order","Coscinodiscales"
"Order","Dictyochales"
"Order","Ectocarpales"
"Order","Forcipulatida"
"Order","Fragilariales"
"Order","Hemiaulales"
"Order","Leptothecata"
"Order","Littorinimorpha"
"Order","Neogastropoda"
"Order","Nudibranchia"
"Order","Ophiurida"
"Order","Peridiniales"
"Order","Rhizosoleniales"
"Order","Thalassionematales"
"Order","Thalassiosirales"
"Family","Asteriidae"
"Family","Campanulariidae"
"Family","Columbellidae"
"Family","Dictyochaceae"
"Family","Dotidae"
"Family","Ectocarpaceae"
"Family","Electridae"
"Family","Fragilariaceae"
"Family","Helminthophoraceae"
"Family","Hemiaulaceae"
"Family","Heterocapsaceae"
"Family","Hippothoidae"
"Family","Ischyroceridae"
"Family","Lithodesmiaceae"
"Family","Littorinidae"
"Family","Membraniporidae"
"Family","Ophiuridae"
"Family","Rhizosoleniaceae"
"Family","Rissoidae"
"Family","Thalassionemataceae"
"Family","Thalassiosiraceae"
"Family","Thoracosphaeraceae"
"Genus","Asterias"
"Genus","Celleporella"
"Genus","Ceratoneis"
"Genus","Chaetoceros"
"Genus","Chaetognatha"
"Genus","Dictyocha"
"Genus","Ditylum"
"Genus","Doto"
"Genus","Ectocarpus"
"Genus","Electra"
"Genus","Guinardia"
"Genus","Hemiaulus"
"Genus","Heterocapsa"
"Genus","Jassa"
"Genus","Lacuna"
"Genus","Lithodesmium"
"Genus","Membranipora"
"Genus","Minutocellus"
"Genus","Mitrella"
"Genus","Mytilidae"
"Genus","Obelia"
"Genus","Ophiura"
"Genus","Pleurosigma"
"Genus","Pseudonitzschia"
"Genus","Rhizosolenia"
"Genus","Rissoa"
"Genus","Scrippsiella"
"Genus","Skeletonema"
"Genus","Thalassionema"
"Genus","Thalassiosira"
"Species","Asteria rubens"
"Species","Celleporella hyalina"
"Species","Ceratoneis"
"Species","Chaetoceros"
"Species","Chaetognatha"
"Species","Dictyocha speculum"
"Species","Ditylum brightwellii"
"Species","Doto coronata"
"Species","Ectocarpus subulatus"
"Species","Electra pilosa"
"Species","Guinardia"
"Species","Hemiaulus sinensis"
"Species","Heterocapsa"
"Species","Heterocapsa rotundata"
"Species","Heterocapsa triquetra"
"Species","Jassa herdmani"
"Species","Lacuna vincta"
"Species","Lithodesmium"
"Species","Membranipora membranacea"
"Species","Minutocellus polymorphus"
"Species","Mitrella moleculina"
"Species","Mytilidae"
"Species","Obelia"
"Species","Obelia bidentata"
"Species","Obelia dichotoma"
"Species","Ophiura"
"Species","Pleurosigma spp"
"Species","Pseudonitzschia micropora"
"Species","Rhizosolenia setigera"
"Species","Rissoa guernei"
"Species","Scrippsiella precaria"
"Species","Skeletonema spp"
"Species","Thalassionema nitzschioides"
"Species","Thalassiosira rotula"
