"","seaweed","sample_code","site","date","day","month","year","sample_type","total_zooplankton","taxa","abundance","taxa_key"
"1","Alaria","Pabay_10_12_21_1","Pabay","10_12_2021",10,12,2021,"zooplankton",178,"bivalvia",17,"bivalvia"
"2","Alaria","Pabay_10_12_21_1","Pabay","10_12_2021",10,12,2021,"zooplankton",178,"bryozoa",17,"bryozoa"
"3","Alaria","Pabay_10_12_21_1","Pabay","10_12_2021",10,12,2021,"zooplankton",178,"copepod_nauplii",85,"copepod_nauplii"
"4","Alaria","Pabay_10_12_21_1","Pabay","10_12_2021",10,12,2021,"zooplankton",178,"copepods",34,"copepods"
"5","Alaria","Pabay_10_12_21_1","Pabay","10_12_2021",10,12,2021,"zooplankton",178,"fish_egg",2,"fish_egg"
"6","Alaria","Pabay_10_12_21_1","Pabay","10_12_2021",10,12,2021,"zooplankton",178,"gastropoda",2,"gastropoda"
"7","Alaria","Pabay_10_12_21_1","Pabay","10_12_2021",10,12,2021,"zooplankton",178,"holoplankton",140,"holoplankton"
"8","Alaria","Pabay_10_12_21_1","Pabay","10_12_2021",10,12,2021,"zooplankton",178,"meroplankton",38,"meroplankton"
"9","Alaria","Pabay_10_12_21_1","Pabay","10_12_2021",10,12,2021,"zooplankton",178,"microfibers",2,"microfibers"
"10","Alaria","Pabay_10_12_21_1","Pabay","10_12_2021",10,12,2021,"zooplankton",178,"podon",2,"podon"
"11","Alaria","Pabay_10_12_21_1","Pabay","10_12_2021",10,12,2021,"zooplankton",178,"sabellariidae",2,"sabellariidae"
"12","Alaria","Pabay_10_12_21_1","Pabay","10_12_2021",10,12,2021,"zooplankton",178,"total_brachiopoda",2,"total_brachiopoda"
"13","Alaria","Pabay_10_12_21_1","Pabay","10_12_2021",10,12,2021,"zooplankton",178,"total_copepoda",119,"total_copepoda"
"14","Alaria","Pabay_10_12_21_1","Pabay","10_12_2021",10,12,2021,"zooplankton",178,"total_polychaeta",2,"total_polychaeta"
"15","Saccharina","Pabay_10_12_21_1","Pabay","10_12_2021",10,12,2021,"zooplankton",178,"bivalvia",17,"bivalvia"
"16","Saccharina","Pabay_10_12_21_1","Pabay","10_12_2021",10,12,2021,"zooplankton",178,"bryozoa",17,"bryozoa"
