seaweed,sample_code,site,date,day,month,year,sample_type,total_sample_abund,Group_precise,abundance,,taxa,,,,,,,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Bivalvia,17,,bivalvia,,,,,,,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Bryozoa,17,,bryozoa,,,,,,,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,copepod_nauplii,85,,copepod_nauplii,,,,,,,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,copepods,34,,copepods,,,,,,,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,fish_egg,2,,fish_egg,,,,,,,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Gastropoda,2,,gastropoda,,,,,,,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,holoplankton,140,,holoplankton,,,,,,,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,meroplankton,38,,meroplankton,,,,,,,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,microfibers,2,,microfibers,,,,,,,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,podon,2,,podon,,,,,,,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,sabellariidae,2,,sabellariidae,,,,,,,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Branchiopoda,2,,Branchiopoda,,,,,,,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Copepoda,119,,total_copepoda,,,,,,,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Polychaeta,2,,total_polychaeta,,,,,,,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Bivalvia,17,,bivalvia,,,,,,,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Bryozoa,17,,bryozoa,,,,,,,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,copepod_nauplii,85,,copepod_nauplii,,,,,,,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,copepods,34,,copepods,,,,,,,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,fish_egg,2,,fish_egg,,,,,,,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Gastropoda,2,,gastropoda,,,,,,,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,holoplankton,140,,holoplankton,,,,,,,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,meroplankton,38,,meroplankton,,,,,,,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,microfibers,2,,microfibers,,,,,,,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,podon,2,,podon,,,,,,,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,sabellariidae,2,,sabellariidae,,,,,,,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Branchiopoda,2,,Branchiopoda,,,,,,,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Copepoda,119,,total_copepoda,,,,,,,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Polychaeta,2,,total_polychaeta,,,,,,,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Bivalvia,2,,bivalvia,,,,,,,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Bryozoa,34,,bryozoa,,,,,,,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,copepod_nauplii,204,,copepod_nauplii,,,,,,,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,copepods,153,,copepods,,,,,,,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,fish_egg,17,,fish_egg,,,,,,,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Gastropoda,34,,gastropoda,,,,,,,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,holoplankton,376,,holoplankton,,,,,,,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,meroplankton,87,,meroplankton,,,,,,,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,microfibers,2,,microfibers,,,,,,,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,mp_fragments,2,,mp_fragments,,,,,,,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,sabellariidae,17,,sabellariidae,,,,,,,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Copepoda,357,,total_copepoda,,,,,,,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Polychaeta,17,,total_polychaeta,,,,,,,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Bivalvia,2,,bivalvia,,,,,,,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Bryozoa,34,,bryozoa,,,,,,,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,copepod_nauplii,204,,copepod_nauplii,,,,,,,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,copepods,153,,copepods,,,,,,,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,fish_egg,17,,fish_egg,,,,,,,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Gastropoda,34,,gastropoda,,,,,,,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,holoplankton,376,,holoplankton,,,,,,,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,meroplankton,87,,meroplankton,,,,,,,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,microfibers,2,,microfibers,,,,,,,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,mp_fragments,2,,mp_fragments,,,,,,,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,sabellariidae,17,,sabellariidae,,,,,,,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Copepoda,357,,total_copepoda,,,,,,,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Polychaeta,17,,total_polychaeta,,,,,,,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,Bivalvia,17,,bivalvia,,,,,,,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,Bryozoa,2,,bryozoa,,,,,,,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,copepod_nauplii,34,,copepod_nauplii,,,,,,,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,copepods,17,,copepods,,,,,,,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,Gastropoda,2,,gastropoda,,,,,,,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,holoplankton,68,,holoplankton,,,,,,,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,meroplankton,38,,meroplankton,,,,,,,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,microfibers,17,,microfibers,,,,,,,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,ophiura_larvae,17,,ophiura_larvae,,,,,,,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,Copepoda,51,,total_copepoda,,,,,,,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,Bivalvia,17,,bivalvia,,,,,,,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,Bryozoa,2,,bryozoa,,,,,,,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,copepod_nauplii,34,,copepod_nauplii,,,,,,,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,copepods,17,,copepods,,,,,,,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,Gastropoda,2,,gastropoda,,,,,,,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,holoplankton,68,,holoplankton,,,,,,,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,meroplankton,38,,meroplankton,,,,,,,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,microfibers,17,,microfibers,,,,,,,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,ophiura_larvae,17,,ophiura_larvae,,,,,,,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,Copepoda,51,,total_copepoda,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Bivalvia,2,,bivalvia,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,copepod_nauplii,127,,copepod_nauplii,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,copepods,229,,copepods,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,decapoda_larvae,2,,decapoda_larvae,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,evadne,204,,evadne,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,fish_egg,25,,fish_egg,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Gastropoda,2,,gastropoda,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,holoplankton,789,,holoplankton,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,meroplankton,89,,meroplankton,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,obelia,2,,obelia,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,other_polychaetae_larvae,76,,other_polychaetae_larvae,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,podon,25,,podon,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,sea_urchin_larvae,2,,sea_urchin_larvae,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Balanoida,76,,total_balanoida,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Branchiopoda,229,,Branchiopoda,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Copepoda,357,,total_copepoda,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Hydrozoa,2,,total_hydrozoa,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Malacostraca,2,,Malacostraca,,,,,,,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Polychaeta,76,,total_polychaeta,,,,,,,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Bivalvia,2,,bivalvia,,,,,,,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,copepod_nauplii,127,,copepod_nauplii,,,,,,,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,copepods,229,,copepods,,,,,,,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,decapoda_larvae,2,,decapoda_larvae,,,,,,,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,evadne,204,,evadne,,,,,,,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,fish_egg,25,,fish_egg,,,,,,,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Gastropoda,2,,gastropoda,,,,,,,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,holoplankton,789,,holoplankton,,,,,,,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,meroplankton,89,,meroplankton,,,,,,,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,obelia,2,,obelia,,,,,,,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,other_polychaetae_larvae,76,,other_polychaetae_larvae,,,,,,,
