seaweed,sample_code,site,date,day,month,year,sample_type,total_sample_abund,Group_precise,abundance,taxa,zooplankton,reads
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Bivalvia,17,bivalvia,17,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Bryozoa,17,bryozoa,17,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,copepod_nauplii,85,copepod_nauplii,85,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,copepods,34,copepods,34,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,fish_egg,2,fish_egg,2,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Gastropoda,2,gastropoda,2,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,holoplankton,140,holoplankton,140,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,meroplankton,38,meroplankton,38,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,microfibers,2,microfibers,2,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,podon,2,podon,2,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,sabellariidae,2,sabellariidae,2,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Branchiopoda,2,Branchiopoda,2,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Copepoda,119,total_copepoda,119,
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Polychaeta,2,total_polychaeta,2,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Bivalvia,17,bivalvia,17,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Bryozoa,17,bryozoa,17,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,copepod_nauplii,85,copepod_nauplii,85,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,copepods,34,copepods,34,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,fish_egg,2,fish_egg,2,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Gastropoda,2,gastropoda,2,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,holoplankton,140,holoplankton,140,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,meroplankton,38,meroplankton,38,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,microfibers,2,microfibers,2,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,podon,2,podon,2,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,sabellariidae,2,sabellariidae,2,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Branchiopoda,2,Branchiopoda,2,
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Copepoda,119,total_copepoda,119,
