Seaweed,Sample_code,Site,Date,Day,Month,Year,sample_type,Total_Zooplankton,Bivalvia,Bryozoa ,Clytia,Copepod nauplii,Copepods,Ctenophore,Decapoda larvae,Euphysa sp.,Evadne,Fish egg,Fish larvae,Gastropoda,Holoplankton,Holothuria larvae,Hydroids,Lizzia blondina,Meroplankton,Microfibers,MP Fragments,Nemertini larvae,Obelia,Ophiura larvae,other Polychaetae larvae,Phoronida larvae,Podon,Rathkea Octopunctata,Sabellariidae,Sagitta,Sea_urchin_larvae,Siphonophorae,Solmaris corona,Spionida,Stauridiosarsia gemmifera,total_Balanoida,Total_Brachiopoda,total_Copepoda,Total_Hydrozoa,Total_Malacostraca,Total_Polychaeta,unknown_Jellies
Alaria,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,17,17,0,85,34,0,0,0,0,2,0,2,140,0,0,0,38,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,119,0,0,2,0
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,17,17,0,85,34,0,0,0,0,2,0,2,140,0,0,0,38,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,119,0,0,2,0
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,2,34,0,204,153,0,0,0,0,17,0,34,376,0,0,0,87,2,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,357,0,0,17,0
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,2,34,0,204,153,0,0,0,0,17,0,34,376,0,0,0,87,2,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,357,0,0,17,0
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,17,2,0,34,17,0,0,0,0,0,0,2,68,0,0,0,38,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,17,2,0,34,17,0,0,0,0,0,0,2,68,0,0,0,38,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,2,0,0,127,229,0,2,0,204,25,0,2,789,0,0,0,89,0,0,0,2,0,76,0,25,0,0,0,2,0,0,0,0,76,229,357,2,2,76,0
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,2,0,0,127,229,0,2,0,204,25,0,2,789,0,0,0,89,0,0,0,2,0,76,0,25,0,0,0,2,0,0,0,0,76,229,357,2,2,76,0
Alaria,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,0,0,0,51,255,0,51,0,2,2,0,0,361,0,0,0,76,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,51,2,306,0,51,25,0
Saccharina,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,0,0,0,51,255,0,51,0,2,2,0,0,361,0,0,0,76,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,51,2,306,0,51,25,0
