"Plot Title: 21820136_Pendant1"
"#","Date Time, GMT+00:00","X Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","Y Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","Z Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","End Of File (LGR S/N: 21820136)"
1,11/21/24 06:00:00 PM,-0.725,-0.850,0.350,
2,11/21/24 06:05:00 PM,-0.975,-0.375,0.125,
3,11/21/24 06:10:00 PM,-1.050,-0.225,0.300,
4,11/21/24 06:15:00 PM,-1.000,-0.100,0.350,
5,11/21/24 06:20:00 PM,-0.975,-0.150,0.025,
6,11/21/24 06:25:00 PM,-1.025,-0.250,0.100,
7,11/21/24 06:30:00 PM,-1.075,-0.175,0.075,
8,11/21/24 06:35:00 PM,-1.025,-0.200,0.125,
9,11/21/24 06:40:00 PM,-1.025,-0.175,0.225,
10,11/21/24 06:45:00 PM,-1.125,-0.250,0.225,
11,11/21/24 06:50:00 PM,-0.975,-0.275,0.050,
12,11/21/24 06:55:00 PM,-1.075,-0.125,0.125,
13,11/21/24 07:00:00 PM,-1.000,-0.075,0.175,
14,11/21/24 07:05:00 PM,-1.025,-0.200,0.100,
15,11/21/24 07:10:00 PM,-1.075,-0.150,0.100,
16,11/21/24 07:15:00 PM,-1.025,-0.150,0.100,
17,11/21/24 07:20:00 PM,-1.075,-0.250,0.100,
18,11/21/24 07:25:00 PM,-1.025,-0.300,0.175,
19,11/21/24 07:30:00 PM,-1.075,-0.200,0.075,
20,11/21/24 07:35:00 PM,-1.025,0.100,-0.025,
21,11/21/24 07:40:00 PM,-1.075,-0.325,-0.025,
22,11/21/24 07:45:00 PM,-0.775,0.075,0.100,
23,11/21/24 07:50:00 PM,-1.050,-0.250,0.175,
24,11/21/24 07:55:00 PM,-1.025,-0.250,0.125,
25,11/21/24 08:00:00 PM,-1.025,-0.225,0.100,
26,11/21/24 08:05:00 PM,-1.025,-0.250,0.175,
27,11/21/24 08:10:00 PM,-1.025,-0.275,0.175,
28,11/21/24 08:15:00 PM,-1.025,-0.200,0.150,
29,11/21/24 08:20:00 PM,-1.025,-0.250,0.150,
30,11/21/24 08:25:00 PM,-1.025,-0.225,0.150,
31,11/21/24 08:30:00 PM,-1.025,-0.200,0.150,
32,11/21/24 08:35:00 PM,-1.025,-0.250,0.150,
33,11/21/24 08:40:00 PM,-1.025,-0.175,0.125,
34,11/21/24 08:45:00 PM,-0.925,-0.125,0.275,
35,11/21/24 08:50:00 PM,-1.050,-0.175,0.225,
36,11/21/24 08:55:00 PM,-0.975,-0.250,0.350,
37,11/21/24 09:00:00 PM,-1.025,-0.200,0.075,
38,11/21/24 09:05:00 PM,-1.075,-0.350,0.175,
39,11/21/24 09:10:00 PM,-1.100,-0.225,0.125,
40,11/21/24 09:15:00 PM,-1.025,-0.225,0.075,
41,11/21/24 09:20:00 PM,-1.125,-0.325,0.050,
42,11/21/24 09:25:00 PM,-1.075,-0.200,0.125,
43,11/21/24 09:30:00 PM,-1.000,-0.275,0.025,
44,11/21/24 09:35:00 PM,-0.975,-0.175,0.025,
45,11/21/24 09:40:00 PM,-1.075,-0.225,0.225,
46,11/21/24 09:45:00 PM,-1.075,-0.400,0.150,
47,11/21/24 09:50:00 PM,-1.025,-0.275,0.100,
48,11/21/24 09:55:00 PM,-1.025,-0.200,0.025,
49,11/21/24 10:00:00 PM,-1.050,-0.200,0.100,
50,11/21/24 10:05:00 PM,-1.025,-0.200,0.075,
51,11/21/24 10:10:00 PM,-1.050,-0.225,0.225,
52,11/21/24 10:15:00 PM,-1.025,-0.225,0.200,
53,11/21/24 10:20:00 PM,-1.025,-0.200,0.100,
54,11/21/24 10:25:00 PM,-1.025,-0.225,0.075,
55,11/21/24 10:30:00 PM,-1.025,-0.175,0.100,
56,11/21/24 10:35:00 PM,-1.050,-0.175,0.050,
57,11/21/24 10:40:00 PM,-1.025,-0.225,0.000,
58,11/21/24 10:45:00 PM,-1.025,-0.275,0.075,
59,11/21/24 10:50:00 PM,-1.025,-0.225,0.075,
60,11/21/24 10:55:00 PM,-1.075,-0.200,0.100,
61,11/21/24 11:00:00 PM,-1.025,-0.200,0.100,
62,11/21/24 11:05:00 PM,-1.050,-0.250,0.100,
