"Plot Title: 21820141_pendant3"
"#","Date Time, GMT+00:00","X Accel, g (LGR S/N: 21820141, SEN S/N: 21820141)","Y Accel, g (LGR S/N: 21820141, SEN S/N: 21820141)","Z Accel, g (LGR S/N: 21820141, SEN S/N: 21820141)","Coupler Attached (LGR S/N: 21820141)","Host Connected (LGR S/N: 21820141)","Stopped (LGR S/N: 21820141)","End Of File (LGR S/N: 21820141)"
1,11/21/24 06:00:00 PM,-1.075,-0.350,0.225,,,,
2,11/21/24 06:15:00 PM,-0.875,-0.100,-0.300,,,,
3,11/21/24 06:30:00 PM,-1.000,0.050,-0.100,,,,
4,11/21/24 06:45:00 PM,-1.000,-0.175,0.125,,,,
5,11/21/24 07:00:00 PM,-1.000,-0.150,0.100,,,,
6,11/21/24 07:15:00 PM,-1.000,-0.175,0.175,,,,
7,11/21/24 07:30:00 PM,-0.825,-0.025,0.225,,,,
8,11/21/24 07:45:00 PM,-1.075,-0.200,-0.075,,,,
9,11/21/24 08:00:00 PM,-1.100,0.025,0.175,,,,
10,11/21/24 08:15:00 PM,-1.025,-0.150,0.250,,,,
11,11/21/24 08:30:00 PM,-1.025,-0.250,0.150,,,,
12,11/21/24 08:45:00 PM,-0.975,-0.275,0.150,,,,
13,11/21/24 09:00:00 PM,-1.000,-0.025,0.275,,,,
14,11/21/24 09:15:00 PM,-1.000,-0.300,0.225,,,,
15,11/21/24 09:30:00 PM,-0.925,-0.150,0.275,,,,
16,11/21/24 09:45:00 PM,-0.975,-0.175,0.250,,,,
17,11/21/24 10:00:00 PM,-1.025,-0.175,0.125,,,,
18,11/21/24 10:15:00 PM,-0.975,-0.175,0.000,,,,
19,11/21/24 10:30:00 PM,-1.025,-0.250,0.075,,,,
20,11/21/24 10:45:00 PM,-1.025,-0.200,0.075,,,,
21,11/21/24 11:00:00 PM,-1.100,-0.275,0.075,,,,
22,11/21/24 11:15:00 PM,-1.025,-0.175,0.125,,,,
23,11/21/24 11:30:00 PM,-1.025,-0.250,0.175,,,,
24,11/21/24 11:45:00 PM,-1.050,-0.225,0.100,,,,
25,11/22/24 12:00:00 AM,-1.025,0.000,0.050,,,,
26,11/22/24 12:15:00 AM,-1.000,-0.125,0.100,,,,
27,11/22/24 12:30:00 AM,-0.975,-0.200,0.175,,,,
28,11/22/24 12:45:00 AM,-1.050,-0.175,0.125,,,,
29,11/22/24 01:00:00 AM,-0.675,-0.375,0.475,,,,
30,11/22/24 01:15:00 AM,-1.000,-0.175,0.050,,,,
31,11/22/24 01:30:00 AM,-1.025,-0.250,0.075,,,,
32,11/22/24 01:45:00 AM,-1.100,-0.175,0.050,,,,
33,11/22/24 02:00:00 AM,-0.975,-0.175,0.075,,,,
