"Plot Title: Pendant_5_at_site_3_2"
"#","Date Time, GMT+00:00","X Accel, g (LGR S/N: 21820144, SEN S/N: 21820144)","Coupler Detached (LGR S/N: 21820144)","Coupler Attached (LGR S/N: 21820144)","Host Connected (LGR S/N: 21820144)","Stopped (LGR S/N: 21820144)","End Of File (LGR S/N: 21820144)"
1,01/28/25 10:27:27 AM,-0.125,,,,,
2,01/28/25 10:29:27 AM,-0.125,,,,,
3,01/28/25 10:30:11 AM,,Logged,,,,
4,01/28/25 10:31:27 AM,0.925,,,,,
5,01/28/25 10:33:27 AM,0.975,,,,,
6,01/28/25 10:35:27 AM,0.975,,,,,
7,01/28/25 10:37:27 AM,0.975,,,,,
8,01/28/25 10:38:03 AM,,,Logged,Logged,,
9,01/28/25 10:39:27 AM,-0.125,,,,,
10,01/28/25 10:41:27 AM,-0.125,,,,,
11,01/28/25 10:42:49 AM,,,,,Logged,Logged
