,tag_no.x,tag_colour,sea_id,rock_no,origin,tag_color,tag_no.y,rock_number,date,longest_blade,collected_from,biofouling_removed_14_5_25,no_blades,initial_tank,nutrient_treatment_tank,main_experiment_tank,turbulence,nutrient_treatment,swab_prior_enrichment,swab_after_ernichment_16_5,date_sampled,blade_length,notes,blade_side,blade_zone,blade_no,sp,colony_length_max,colony_area,no_h,no_m,no_long_m
1,1,white,AW1,,Adult_local,White,1,NA,13_5_2025,130,FSC slip,,NA,NA,2,6,High,P,81,121,04/06/2025,NA,,x,base,NA,ep,0.2,0.020943951,,NA,NA
2,1,white,AW1,,Adult_local,White,1,NA,13_5_2025,130,FSC slip,,NA,NA,2,6,High,P,81,121,04/06/2025,NA,,x,middle,NA,mm,0.1,0.007853982,,NA,NA
3,1,white,AW1,,Adult_local,White,1,NA,13_5_2025,130,FSC slip,,NA,NA,2,6,High,P,81,121,04/06/2025,NA,,x,tip,NA,mm,0.4,0.125663706,,NA,NA
4,1,white,AW1,,Adult_local,White,1,NA,13_5_2025,130,FSC slip,,NA,NA,2,6,High,P,81,121,04/06/2025,NA,,y,base,NA,ep,0.2,0.020943951,,NA,NA
5,1,white,AW1,,Adult_local,White,1,NA,13_5_2025,130,FSC slip,,NA,NA,2,6,High,P,81,121,04/06/2025,NA,,y,middle,NA,ep,0.3,0.04712389,,NA,NA
6,1,white,AW1,,Adult_local,White,1,NA,13_5_2025,130,FSC slip,,NA,NA,2,6,High,P,81,121,04/06/2025,NA,,y,middle,NA,mm,0.2,0.031415927,,2,NA
7,1,white,AW1,,Adult_local,White,1,NA,13_5_2025,130,FSC slip,,NA,NA,2,6,High,P,81,121,04/06/2025,NA,,y,tip,NA,mm,0.3,0.070685835,,NA,NA
8,1,white,AW1,,Adult_local,White,1,NA,13_5_2025,130,FSC slip,,NA,NA,2,6,High,P,81,121,04/06/2025,NA,,y,tip,NA,mm,0.3,0.070685835,,NA,NA
9,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,x,base,NA,ep,0.7,0.2565634,,NA,NA
10,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,x,base,NA,mm,0.2,0.031415927,1,1,NA
11,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,x,base,NA,mm,0.1,0.007853982,,NA,NA
12,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,x,base,NA,mm,0.3,0.070685835,,NA,NA
13,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,x,middle,NA,ep,0.7,0.2565634,,NA,NA
14,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,x,middle,NA,mm,0.3,0.070685835,,NA,NA
15,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,x,middle,NA,mm,0.4,0.125663706,,NA,NA
16,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,x,middle,NA,mm,0.3,0.070685835,,NA,NA
17,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,x,middle,NA,mm,0.4,0.125663706,,NA,NA
18,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,x,middle,NA,mm,0.3,0.070685835,,NA,NA
19,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,x,middle,NA,mm,0.4,0.125663706,,NA,NA
20,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,x,tip,NA,,,NA,,NA,NA
21,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,y,base,NA,ep,0.5,0.130899694,,NA,NA
22,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,y,base,NA,mm,0.3,0.070685835,,2,NA
23,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,y,base,NA,mm,0.1,0.007853982,,NA,NA
24,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,y,base,NA,mm,0.1,0.007853982,,NA,NA
25,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,y,middle,NA,ep,0.2,0.020943951,4,1,NA
26,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,y,middle,NA,ep,1,0.523598776,,NA,NA
27,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,y,middle,NA,mm,1.3,1.327322896,,NA,NA
28,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,y,middle,NA,mm,0.4,0.125663706,,NA,NA
29,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,y,middle,NA,mm,0.2,0.031415927,,NA,NA
30,1,red,AR1,,Adult_local,Red,1,NA,27_4_2025,100,FSC slip,,NA,3,1,7,Low,N,8,102,04/06/2025,NA,,y,tip,NA,,,NA,,NA,NA
31,2,white,AW2,,Adult_local,White,2,NA,13_5_2025,120,FSC slip,,NA,NA,3,3,Low,C,82,147,04/06/2025,NA,,x,base,NA,,,NA,,NA,NA
32,2,white,AW2,,Adult_local,White,2,NA,13_5_2025,120,FSC slip,,NA,NA,3,3,Low,C,82,147,04/06/2025,NA,,x,middle,NA,ep,0.4,0.083775804,,NA,NA
