rank,tag_no_x,tag_color,seaweed_id,age,rock_no_x,epibiont_sampling_date,blade_length,notes,blade_side,blade_zone,blade_no,species,colony_length_max,colony_area,species_count,set_date,origin,biofouling_removed_14_5_25,initial_tank,nutrient_treatment_tank,main_experiment_tank,turbulence,nutrient_treatment,swab_prior_enrichment,swab_after_ernichment_16_5
1,1,White,AW1,adult,NA,02/07/2025,130,,y,base,NA,Hydrozoa,,NA,4,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
2,1,White,AW1,adult,NA,02/07/2025,130,,x,base,NA,Membranipora,0.1,0.007853982,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
3,1,White,AW1,adult,NA,02/07/2025,130,,x,base,NA,Membranipora,0.1,0.007853982,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
4,1,White,AW1,adult,NA,02/07/2025,130,,x,base,NA,Membranipora,0.1,0.007853982,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
5,1,White,AW1,adult,NA,02/07/2025,130,,y,base,NA,Membranipora,0.4,0.125663706,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
6,1,White,AW1,adult,NA,02/07/2025,130,,y,base,NA,Membranipora,0.4,0.125663706,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
7,1,White,AW1,adult,NA,02/07/2025,130,,y,base,NA,Membranipora,0.2,0.031415927,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
8,1,White,AW1,adult,NA,02/07/2025,130,,y,base,NA,Membranipora,0.1,0.007853982,7,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
9,1,White,AW1,adult,NA,02/07/2025,130,,y,base,NA,Pilosa,0.2,0.020943951,2,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
10,1,White,AW1,adult,NA,02/07/2025,130,,y,base,NA,Pilosa,1.5,1.178097245,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
11,1,White,AW1,adult,NA,02/07/2025,130,,x,base,NA,Spirobranchus,,NA,4,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
12,1,White,AW1,adult,NA,02/07/2025,130,,y,base,NA,Spirobranchus,0.1,NA,16,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
13,1,White,AW1,adult,NA,04/06/2025,130,,x,middle,NA,Membranipora,0.1,0.007853982,1,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
14,1,White,AW1,adult,NA,04/06/2025,130,,x,tip,NA,Membranipora,0.4,0.125663706,1,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
15,1,White,AW1,adult,NA,04/06/2025,130,,y,middle,NA,Membranipora,0.2,0.031415927,1,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
16,1,White,AW1,adult,NA,04/06/2025,130,,y,tip,NA,Membranipora,0.3,0.070685835,2,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
17,1,White,AW1,adult,NA,04/06/2025,130,,y,tip,NA,Membranipora,0.3,0.070685835,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
18,1,White,AW1,adult,NA,04/06/2025,130,,x,base,NA,Pilosa,0.2,0.020943951,1,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
19,1,White,AW1,adult,NA,04/06/2025,130,,y,base,NA,Pilosa,0.2,0.020943951,1,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
20,1,White,AW1,adult,NA,04/06/2025,130,,y,middle,NA,Pilosa,0.3,0.04712389,1,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
21,1,White,AW1,adult,NA,04/06/2025,130,,y,middle,NA,Spirobranchus,0.2,NA,2,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
22,1,White,AW1,adult,NA,12/06/2025,130,,y,tip,NA,Hydrozoa,0.4,NA,1,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
23,1,White,AW1,adult,NA,12/06/2025,130,,x,middle,NA,Membranipora,0.3,0.070685835,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
24,1,White,AW1,adult,NA,12/06/2025,130,,x,middle,NA,Membranipora,0.2,0.031415927,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
25,1,White,AW1,adult,NA,12/06/2025,130,,x,middle,NA,Membranipora,0.1,0.007853982,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
26,1,White,AW1,adult,NA,12/06/2025,130,,x,tip,NA,Membranipora,0.4,0.125663706,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
27,1,White,AW1,adult,NA,12/06/2025,130,,y,base,NA,Membranipora,0.2,0.031415927,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
28,1,White,AW1,adult,NA,12/06/2025,130,,y,tip,NA,Membranipora,0.4,0.125663706,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
29,1,White,AW1,adult,NA,12/06/2025,130,,y,tip,NA,Membranipora,0.4,0.125663706,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
30,1,White,AW1,adult,NA,12/06/2025,130,,x,middle,NA,Pilosa,0.4,0.083775804,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
31,1,White,AW1,adult,NA,12/06/2025,130,,x,tip,NA,Pilosa,1,0.523598776,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
32,1,White,AW1,adult,NA,12/06/2025,130,,y,middle,NA,Pilosa,1.3,0.884881931,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
33,1,White,AW1,adult,NA,12/06/2025,130,,y,middle,NA,Pilosa,0.8,0.335103216,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
34,1,White,AW1,adult,NA,12/06/2025,130,,y,middle,NA,Pilosa,0.6,0.188495559,,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
35,1,White,AW1,adult,NA,12/06/2025,130,,y,base,NA,Spirobranchus,0.2,NA,4,13_5_2025,FSC slip,,NA,2,6,High,P,81,121
36,2,White,AW2,adult,NA,04/06/2025,120,,y,tip,NA,Membranipora,0.2,0.031415927,3,13_5_2025,FSC slip,,NA,3,3,Low,C,82,147
37,2,White,AW2,adult,NA,04/06/2025,120,,y,tip,NA,Membranipora,0.3,0.070685835,,13_5_2025,FSC slip,,NA,3,3,Low,C,82,147
38,2,White,AW2,adult,NA,04/06/2025,120,,y,tip,NA,Membranipora,0.2,0.031415927,,13_5_2025,FSC slip,,NA,3,3,Low,C,82,147
39,2,White,AW2,adult,NA,04/06/2025,120,,x,middle,NA,Pilosa,0.4,0.083775804,1,13_5_2025,FSC slip,,NA,3,3,Low,C,82,147
40,2,White,AW2,adult,NA,04/06/2025,120,,y,tip,NA,Pilosa,0.5,0.130899694,1,13_5_2025,FSC slip,,NA,3,3,Low,C,82,147
41,2,White,AW2,adult,NA,04/06/2025,120,,x,tip,NA,Spirobranchus,,NA,1,13_5_2025,FSC slip,,NA,3,3,Low,C,82,147
42,2,White,AW2,adult,NA,12/06/2025,120,,y,tip,NA,Hydrozoa,1,NA,2,13_5_2025,FSC slip,,NA,3,3,Low,C,82,147
43,2,White,AW2,adult,NA,12/06/2025,120,,y,middle,NA,Membranipora,0.2,0.031415927,,13_5_2025,FSC slip,,NA,3,3,Low,C,82,147
44,2,White,AW2,adult,NA,12/06/2025,120,,y,tip,NA,Membranipora,0.4,0.125663706,,13_5_2025,FSC slip,,NA,3,3,Low,C,82,147
45,2,White,AW2,adult,NA,12/06/2025,120,,y,tip,NA,Membranipora,0.4,0.125663706,,13_5_2025,FSC slip,,NA,3,3,Low,C,82,147
46,2,White,AW2,adult,NA,12/06/2025,120,,y,tip,NA,Membranipora,0.4,0.125663706,,13_5_2025,FSC slip,,NA,3,3,Low,C,82,147
