tag_no_x,tag_color,seaweed_id,age,rock_no_x,epibiont_sampling_date,longest_blade_length_initial,juv_blade_length_at_sampling_date,notes,blade_side,blade_zone,blade_no,species,colony_length_max,colony_area,species_count,length_measurement_date,origin,biofouling_removed_14_5_25,initial_tank,nutrient_treatment_tank,main_experiment_tank,turbulence,nutrient_treatment,swab_prior_enrichment,swab_after_ernichment_16_5
17,Blue,AB17,adult,NA,04/06/2025,190,,,x,middle,NA,Hydrozoa,,NA,4,12_5_2025,farland,hydro=112;bryo=8;maerl2,NA,5,6,High,N,49,112
17,Blue,AB17,adult,NA,04/06/2025,190,,,x,middle,NA,Membranipora,0.5,0.196349541,,12_5_2025,farland,hydro=112;bryo=8;maerl2,NA,5,6,High,N,49,112
17,Blue,AB17,adult,NA,04/06/2025,190,,,x,middle,NA,Membranipora,0.3,0.070685835,,12_5_2025,farland,hydro=112;bryo=8;maerl2,NA,5,6,High,N,49,112
17,Blue,AB17,adult,NA,04/06/2025,190,,,x,middle,NA,Membranipora,0.2,0.031415927,3,12_5_2025,farland,hydro=112;bryo=8;maerl2,NA,5,6,High,N,49,112
17,Blue,AB17,adult,NA,04/06/2025,190,,,x,middle,NA,Pilosa,0.5,0.130899694,1,12_5_2025,farland,hydro=112;bryo=8;maerl2,NA,5,6,High,N,49,112
17,Blue,AB17,adult,NA,04/06/2025,190,,,x,tip,NA,Hydrozoa,,NA,3,12_5_2025,farland,hydro=112;bryo=8;maerl2,NA,5,6,High,N,49,112
17,Blue,AB17,adult,NA,04/06/2025,190,,,x,tip,NA,Pilosa,0.5,0.130899694,1,12_5_2025,farland,hydro=112;bryo=8;maerl2,NA,5,6,High,N,49,112
17,Blue,AB17,adult,NA,04/06/2025,190,,,x,tip,NA,Spirobranchus,,NA,2,12_5_2025,farland,hydro=112;bryo=8;maerl2,NA,5,6,High,N,49,112
17,Blue,AB17,adult,NA,04/06/2025,190,,,y,base,NA,Pilosa,0.4,0.083775804,1,12_5_2025,farland,hydro=112;bryo=8;maerl2,NA,5,6,High,N,49,112
17,Blue,AB17,adult,NA,04/06/2025,190,,,y,middle,NA,Membranipora,0.5,0.196349541,3,12_5_2025,farland,hydro=112;bryo=8;maerl2,NA,5,6,High,N,49,112
17,Blue,AB17,adult,NA,04/06/2025,190,,,y,middle,NA,Membranipora,0.3,0.070685835,,12_5_2025,farland,hydro=112;bryo=8;maerl2,NA,5,6,High,N,49,112
17,Blue,AB17,adult,NA,04/06/2025,190,,,y,middle,NA,Membranipora,0.2,0.031415927,,12_5_2025,farland,hydro=112;bryo=8;maerl2,NA,5,6,High,N,49,112
17,Blue,AB17,adult,NA,04/06/2025,190,,,y,middle,NA,Pilosa,1,0.523598776,1,12_5_2025,farland,hydro=112;bryo=8;maerl2,NA,5,6,High,N,49,112
17,Blue,AB17,adult,NA,04/06/2025,190,,,y,tip,NA,Hydrozoa,,NA,5,12_5_2025,farland,hydro=112;bryo=8;maerl2,NA,5,6,High,N,49,112
17,Blue,AB17,adult,NA,04/06/2025,190,,,y,tip,NA,Pilosa,0.5,0.130899694,1,12_5_2025,farland,hydro=112;bryo=8;maerl2,NA,5,6,High,N,49,112
17,Blue,AB17,adult,NA,04/06/2025,190,,,y,tip,NA,Spirobranchus,,NA,1,12_5_2025,farland,hydro=112;bryo=8;maerl2,NA,5,6,High,N,49,112
18,Blue,AB18,adult,NA,04/06/2025,120,,,x,middle,NA,Membranipora,1,0.785398163,5,12_5_2025,farland,hydro=6;bryo=1,NA,5,4,High,N,50,115
18,Blue,AB18,adult,NA,04/06/2025,120,,,x,middle,NA,Membranipora,0.3,0.070685835,,12_5_2025,farland,hydro=6;bryo=1,NA,5,4,High,N,50,115
18,Blue,AB18,adult,NA,04/06/2025,120,,,x,middle,NA,Membranipora,0.3,0.070685835,,12_5_2025,farland,hydro=6;bryo=1,NA,5,4,High,N,50,115
18,Blue,AB18,adult,NA,04/06/2025,120,,,y,middle,NA,Membranipora,0.4,0.125663706,,12_5_2025,farland,hydro=6;bryo=1,NA,5,4,High,N,50,115
18,Blue,AB18,adult,NA,04/06/2025,120,,,y,tip,NA,Membranipora,1,0.785398163,,12_5_2025,farland,hydro=6;bryo=1,NA,5,4,High,N,50,115
18,Blue,AB18,adult,NA,04/06/2025,120,,,y,tip,NA,Pilosa,0.5,0.130899694,2,12_5_2025,farland,hydro=6;bryo=1,NA,5,4,High,N,50,115
18,Blue,AB18,adult,NA,04/06/2025,120,,,y,tip,NA,Pilosa,0.4,0.083775804,,12_5_2025,farland,hydro=6;bryo=1,NA,5,4,High,N,50,115
19,Blue,AB19,adult,NA,04/06/2025,150,,,x,middle,NA,Hydrozoa,,NA,2,12_5_2025,farland,bryo=1;hydro=28;maerl=5,NA,6,5,Low,P,51,136
19,Blue,AB19,adult,NA,04/06/2025,150,,,x,middle,NA,Spirobranchus,,NA,1,12_5_2025,farland,bryo=1;hydro=28;maerl=5,NA,6,5,Low,P,51,136
