"","tag_no.x","tag_colour","seaweed_id","rock_no","date_sampled","blade_length","notes","blade_side","blade_zone","blade_no","sp","colony_length_max","colony_area","no_h","no_m","no_long_m","tank","origin","tag_color","tag_no.y","rock_number","date","longest_blade","collected_from","biofouling_removed_14_5_25","no_blades","initial_tank","nutrient_treatment_tank","main_experiment_tank","turbulence","nutrient_treatment","swab_prior_enrichment","swab_after_ernichment_16_5","total_colony_area"
"1","17","blue","AB17",NA,"04/06/2025",NA,"","x","base",NA,"","",NA,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",0
"2","17","blue","AB17",NA,"04/06/2025",NA,"","x","middle",NA,"ep","0.5",0.130899694,4,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",1.000073662
"3","17","blue","AB17",NA,"04/06/2025",NA,"","x","middle",NA,"mm","0.5",0.196349541,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",0.596902606
"4","17","blue","AB17",NA,"04/06/2025",NA,"","x","middle",NA,"mm","0.3",0.070685835,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",0.596902606
"5","17","blue","AB17",NA,"04/06/2025",NA,"","x","middle",NA,"mm","0.2",0.031415927,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",0.596902606
"6","17","blue","AB17",NA,"04/06/2025",NA,"","x","tip",NA,"ep","0.5",0.130899694,3,2,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",1.000073662
"7","17","blue","AB17",NA,"04/06/2025",NA,"","y","base",NA,"ep","0.4",0.083775804,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",1.000073662
"8","17","blue","AB17",NA,"04/06/2025",NA,"","y","middle",NA,"mm","0.5",0.196349541,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",0.596902606
"9","17","blue","AB17",NA,"04/06/2025",NA,"","y","middle",NA,"mm","0.3",0.070685835,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",0.596902606
"10","17","blue","AB17",NA,"04/06/2025",NA,"","y","middle",NA,"mm","0.2",0.031415927,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",0.596902606
"11","17","blue","AB17",NA,"04/06/2025",NA,"","y","middle",NA,"ep","1",0.523598776,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",1.000073662
"12","17","blue","AB17",NA,"04/06/2025",NA,"","y","tip",NA,"ep","0.5",0.130899694,5,1,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",1.000073662
"13","17","blue","AB17",NA,"12/06/2025",NA,"","x","base",NA,"","",NA,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",0
"14","17","blue","AB17",NA,"12/06/2025",NA,"","x","middle",NA,"ep","0.8",0.335103216,1,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",4.167846255
"15","17","blue","AB17",NA,"12/06/2025",NA,"","x","middle",NA,"mm","1",0.785398163,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",1.390154753
"16","17","blue","AB17",NA,"12/06/2025",NA,"","x","middle",NA,"mm","0.1",0.007853982,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",1.390154753
"17","17","blue","AB17",NA,"12/06/2025",NA,"","x","middle",NA,"mm","0.1",0.007853982,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",1.390154753
"18","17","blue","AB17",NA,"12/06/2025",NA,"","x","middle",NA,"mm","0.1",0.007853982,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",1.390154753
"19","17","blue","AB17",NA,"12/06/2025",NA,"","x","middle",NA,"mm","0.2",0.031415927,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",1.390154753
"20","17","blue","AB17",NA,"12/06/2025",NA,"","x","middle",NA,"mm","0.1",0.007853982,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",1.390154753
"21","17","blue","AB17",NA,"12/06/2025",NA,"","x","middle",NA,"mm","0.1",0.007853982,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",1.390154753
"22","17","blue","AB17",NA,"12/06/2025",NA,"","x","middle",NA,"mm","0.1",0.007853982,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",1.390154753
"23","17","blue","AB17",NA,"12/06/2025",NA,"","x","tip",NA,"ep","1.2",0.753982237,2,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",4.167846255
"24","17","blue","AB17",NA,"12/06/2025",NA,"","x","tip",NA,"mm","0.3",0.070685835,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",1.390154753
"25","17","blue","AB17",NA,"12/06/2025",NA,"","y","base",NA,"","",NA,6,2,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",0
"26","17","blue","AB17",NA,"12/06/2025",NA,"","y","middle",NA,"mm","0.3",0.070685835,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",1.390154753
"27","17","blue","AB17",NA,"12/06/2025",NA,"","y","middle",NA,"mm","0.6",0.282743339,NA,NA,NA,NA,"Adult_local","Blue",17,NA,"12_5_2025",190,"farland","hydro=112;bryo=8;maerl2",NA,NA,5,6,"High","N","49","112",1.390154753
