rank,tank,origin,tag_no_y,rock_number,date,initial_tank,nutrient_treatment_tank,main_experiment_tank,turbulence,nutrient_treatment,tag_no_x,tag_colour,tag_color,origin_kelp,biofouling_removed_14_5_25,seaweed_id,rock_no,age,epibiont_sampling,blade_length_pre_experiment,blade_length_in_experiment,notes,blade_side,blade_zone,rank_of_blade_on_rock,no_young_blades_per_rock,species,bryozoan_colony_length_max,bryozoan_colony_area,hydrozoan_counts,spirobranchus_counts,swab_prior_enrichment,swab_after_ernichment_16_5
1,,Adult_local,20,,12_5_2024,,7,4,High,C,19,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,12/06/2025,270,,id changed post-sampling,x,base,NA,,,,NA,,15,52,153
2,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,x,middle,NA,,Membranipora,0.8,0.502654825,,,52,153
3,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,x,middle,NA,,Membranipora,0.1,0.007853982,,,52,153
4,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,x,middle,NA,,Membranipora,0.1,0.007853982,,,52,153
5,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,x,middle,NA,,Membranipora,0.2,0.031415927,,,52,153
6,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,x,middle,NA,,Membranipora,0.1,0.007853982,,,52,153
7,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,x,middle,NA,,Membranipora,0.8,0.502654825,,,52,153
8,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,x,middle,NA,,Membranipora,0.6,0.282743339,,,52,153
9,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,x,middle,NA,,Membranipora,0.4,0.125663706,,,52,153
10,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,x,middle,NA,,Membranipora,0.6,0.282743339,,,52,153
11,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,x,middle,NA,,Membranipora,1.2,1.130973355,,,52,153
12,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,x,middle,NA,,Membranipora,1.5,1.767145868,,,52,153
13,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,x,tip,NA,,Membranipora,0.2,0.031415927,,,52,153
,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,x,tip,NA,,Obelia,NA,NA,10,,52,153
14,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,x,tip,NA,,Membranipora,0.1,0.007853982,,,52,153
15,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,x,tip,NA,,Membranipora,0.4,0.125663706,,,52,153
16,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,x,tip,NA,,Membranipora,0.5,0.196349541,,,52,153
17,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,x,tip,NA,,Membranipora,0.2,0.031415927,,,52,153
18,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,x,tip,NA,,Membranipora,0.2,0.031415927,,,52,153
19,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,x,tip,NA,,Membranipora,0.2,0.031415927,,,52,153
20,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,y,base,NA,,Spirobranchus,NA,NA,,1,52,153
21,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,y,middle,NA,,Obelia,NA,NA,2,,52,153
21,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,y,middle,NA,,Spirobranchus,NA,NA,,1,52,153
21,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,y,middle,NA,,Membranipora,0.2,0.031415927,,,52,153
22,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,y,middle,NA,,Membranipora,0.3,0.070685835,,,52,153
23,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,y,middle,NA,,Membranipora,0.3,0.070685835,,,52,153
,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,y,tip,y,tip,,,Obelia,NA,NA,6,,52,153
24,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,y,tip,NA,,Pilosa,1.2,0.753982237,,,52,153
25,,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,y,tip,NA,,Pilosa,1.1,0.633554518,,,52,153
,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,,x,base,,,Spirobranchus,,,,3,3,149
,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,,x,base,,,Membranipora,2,3.141592654,,,3,149
