tag_no_x,tag_colour,seaweed_id,rock_no,age,epibiont_sampling,blade_length_pre_experiment,blade_length_in_experiment,notes,origin,tag_no_y,rock_number,date,initial_tank,nutrient_treatment_tank,main_experiment_tank,turbulence,nutrient_treatment,tag_no_x,tag_colour,origin_kelp,biofouling_removed_14_5_25,,blade_length_pre_experiment,blade_length_in_experiment,,rank_of_blade_on_rock,,no_young_blades_per_rock,swab_prior_enrichment,swab_after_ernichment_16_5,blade_side,blade_zone,species,bryozoan_colony_length_max,bryozoan_colony_area,hydrozoan_counts,spirobranchus_counts
19,blue,AB19,NA,old,12/06/2025,270,,id changed post-sampling,Adult_local,20,,12_5_2024,,7,5,Low,P,19,blue,farland,bryo=4;hydro=14;sil=1,,150,,,NA,,,78,119,y,middle,Spirobranchus,,,,10
19,blue,AB19,NA,old,12/06/2025,270,,id changed post-sampling,Adult_local,20,,12_5_2024,,7,5,Low,P,19,blue,farland,bryo=4;hydro=14;sil=1,,150,,,NA,,,78,119,y,middle,Obelia,NA,NA,1,
20,blue,AB20,NA,old,04/06/2025,270,,id changed post-sampling,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,farland,bryo=4;hydro=14;sil=1,,270,,,NA,,,52,153,x,middle,Membranipora,0.8,0.502654825,,
20,blue,AB20,NA,old,04/06/2025,270,,id changed post-sampling,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,farland,bryo=4;hydro=14;sil=1,,270,,,NA,,,52,153,x,middle,Membranipora,0.1,0.007853982,,
20,blue,AB20,NA,old,04/06/2025,270,,id changed post-sampling,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,farland,bryo=4;hydro=14;sil=1,,270,,,NA,,,52,153,x,middle,Membranipora,0.1,0.007853982,,
20,blue,AB20,NA,old,04/06/2025,270,,id changed post-sampling,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,farland,bryo=4;hydro=14;sil=1,,270,,,NA,,,52,153,x,middle,Membranipora,0.2,0.031415927,,
20,blue,AB20,NA,old,04/06/2025,270,,id changed post-sampling,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,farland,bryo=4;hydro=14;sil=1,,270,,,NA,,,52,153,x,middle,Membranipora,0.1,0.007853982,,
20,blue,AB20,NA,old,04/06/2025,270,,id changed post-sampling,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,farland,bryo=4;hydro=14;sil=1,,270,,,NA,,,52,153,x,middle,Membranipora,0.8,0.502654825,,
20,blue,AB20,NA,old,04/06/2025,270,,id changed post-sampling,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,farland,bryo=4;hydro=14;sil=1,,270,,,NA,,,52,153,x,middle,Membranipora,0.6,0.282743339,,
20,blue,AB20,NA,old,04/06/2025,270,,id changed post-sampling,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,farland,bryo=4;hydro=14;sil=1,,270,,,NA,,,52,153,x,middle,Membranipora,0.4,0.125663706,,
20,blue,AB20,NA,old,04/06/2025,270,,id changed post-sampling,Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,farland,bryo=4;hydro=14;sil=1,,270,,,NA,,,52,153,x,middle,Membranipora,0.6,0.282743339,,
