"","age","biofouling_removed_14_5_25.x","biofouling_removed_14_5_25.y","blade_length_in_experiment","blade_length_pre_experiment.x","blade_length_pre_experiment.y","blade_side","blade_zone","bryozoan_colony_area","bryozoan_colony_length_max","date.x","date.y","epibiont_sampling","hydrozoan_counts","initial_tank.x","initial_tank.y","main_experiment_tank.x","main_experiment_tank.y","no_blades","no_young_blades_per_rock","notes","nutrient_treatment.x","nutrient_treatment.y","nutrient_treatment_tank.x","nutrient_treatment_tank.y","origin.x","origin.y","origin_kelp.x","origin_kelp.y","rank","rank_of_blade_on_rock","rock_no","rock_number.x","rock_number.y","seaweed_id","species","spirobranchus_counts","swab_after_enrichment_16_5","swab_after_ernichment_16_5","swab_prior_enrichment.x","swab_prior_enrichment.y","tag_color.x","tag_color.y","tag_colour","tag_no_x","tag_no_y","tank","turbulence.x","turbulence.y"
"1","","","","30",60,NA,"","",0.282743339,"0.6","12_5_2025","","04/06/2025","1",7,NA,5,NA,3,NA,"","P","",2,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,14,14,NA,"YO14","mm",2,"168",NA,30,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"2","","","","",60,NA,"","",NA,"","12_5_2025","","12/06/2025","",7,NA,5,NA,3,NA,"mia","P","",2,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,NA,14,14,NA,"YO14","",NA,"168",NA,30,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"3","","","","37",51,NA,"","",0.083775804,"0.4","12_5_2025","","04/06/2025","1",5,NA,5,NA,6,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,20,20,NA,"YO20","ep",2,"167",NA,45,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"4","","","","",51,NA,"","",NA,"","12_5_2025","","12/06/2025","",5,NA,5,NA,6,NA,"mia","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,NA,20,20,NA,"YO20","",NA,"167",NA,45,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"5","","","","",44,NA,"","",0.785398163,"1","12_5_2025","","04/06/2025","",7,NA,3,NA,2,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,15,15,NA,"YO15","mm",NA,"166",NA,31,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"6","","","","",44,NA,"","",0.502654825,"0.8","12_5_2025","","04/06/2025","",7,NA,3,NA,2,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,15,15,NA,"YO15","mm",NA,"166",NA,31,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"7","","","","",44,NA,"","",0.070685835,"0.3","12_5_2025","","04/06/2025","",7,NA,3,NA,2,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,15,15,NA,"YO15","mm",NA,"166",NA,31,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"8","","","","30",44,NA,"","",NA,"","12_5_2025","","12/06/2025","",7,NA,3,NA,2,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,15,15,NA,"YO15","",NA,"166",NA,31,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"9","","","","18",43,NA,"","",1.5393804,"1.4","12_5_2025","12_5_2025","04/06/2025","",5,NA,7,7,1,NA,"","N","N",1,1,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,1,1,1,"YO01","mm",NA,"163",NA,39,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low","Low"
"10","","","","18",43,NA,"","",2.544690049,"1.8","12_5_2025","12_5_2025","04/06/2025","",5,NA,7,7,1,NA,"","N","N",1,1,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,1,1,1,"YO01","mm",NA,"163",NA,39,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low","Low"
