tag_no.x,tag_colour,sea_id
1,white,AW1
1,white,AW1
1,white,AW1
1,white,AW1
1,white,AW1
1,white,AW1
1,white,AW1
1,white,AW1
1,red,AR1
1,red,AR1
1,red,AR1
1,red,AR1
1,red,AR1
1,red,AR1
1,red,AR1
1,red,AR1
1,red,AR1
1,red,AR1
1,red,AR1
1,red,AR1
1,red,AR1
1,red,AR1
1,red,AR1
1,red,AR1
1,red,AR1
1,red,AR1
1,red,AR1
1,red,AR1
1,red,AR1
1,red,AR1
2,white,AW2
2,white,AW2
2,white,AW2
2,white,AW2
2,white,AW2
2,white,AW2
2,white,AW2
2,white,AW2
2,white,AW2
2,red,AR2
2,red,AR2
2,red,AR2
2,red,AR2
2,red,AR2
2,red,AR2
2,red,AR2
2,red,AR2
2,red,AR2
2,red,AR2
2,red,AR2
2,red,AR2
2,red,AR2
3,red,AR3
3,red,AR3
3,red,AR3
3,red,AR3
3,red,AR3
3,red,AR3
3,red,AR3
3,red,AR3
3,red,AR3
3,red,AR3
3,red,AR3
4,white,AW4
4,white,AW4
4,white,AW4
4,white,AW4
4,white,AW4
4,white,AW4
4,white,AW4
4,white,AW4
4,white,AW4
4,white,AW4
4,white,AW4
4,white,AW4
4,white,AW4
4,white,AW4
4,white,AW4
4,white,AW4
4,white,AW4
4,red,AR4
4,red,AR4
4,red,AR4
4,red,AR4
4,red,AR4
4,red,AR4
5,white,AW5
5,white,AW5
5,white,AW5
5,white,AW5
5,white,AW5
5,white,AW5
5,white,AW5
5,white,AW5
5,white,AW5
5,red,AR5
5,red,AR5
5,red,AR5
5,red,AR5
5,red,AR5
5,red,AR5
6,red,AR6
6,red,AR6
6,red,AR6
6,red,AR6
6,red,AR6
6,red,AR6
6,red,AR6
6,red,AR6
6,red,AR6
6,white,AW6
6,white,AW6
6,white,AW6
6,white,AW6
6,white,AW6
6,white,AW6
7,red,AR7
7,white,AW7
7,white,AW7
7,white,AW7
7,white,AW7
7,white,AW7
7,white,AW7
7,white,AW7
7,white,AW7
7,white,AW7
7,white,AW7
7,white,AW7
7,white,AW7
7,white,AW7
7,white,AW7
8,white,AW8
8,white,AW8
8,white,AW8
8,white,AW8
8,white,AW8
8,white,AW8
8,white,AW8
8,white,AW8
8,white,AW8
9,orange,AO9
9,green,AG9
9,white,AW9
9,white,AW9
9,white,AW9
9,white,AW9
9,white,AW9
9,white,AW9
