tag_no,tag_colour,seaweed_id,rock_no,date_sampled,blade_length,notes,blade_side,blade_zone,blade_no,sp,colony_length_max,colony_area,no_h,no_m,no_long_m,Tank
13,blue,AB13,,12/06/2025,,not on datasheet,x,base,,,,,,15,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,mm,0.8,0.502654825,,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,mm,0.1,0.007853982,,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,mm,0.1,0.007853982,,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,mm,0.2,0.031415927,,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,mm,0.1,0.007853982,,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,mm,0.8,0.502654825,,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,mm,0.6,0.282743339,,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,mm,0.4,0.125663706,,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,mm,0.6,0.282743339,,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,mm,1.2,1.130973355,,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,mm,1.5,1.767145868,,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,tip,,mm,0.2,0.031415927,10,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,tip,,mm,0.1,0.007853982,,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,tip,,mm,0.4,0.125663706,,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,tip,,mm,0.5,0.196349541,,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,tip,,mm,0.2,0.031415927,,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,tip,,mm,0.2,0.031415927,,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,tip,,mm,0.2,0.031415927,,,,
13,blue,AB13,,12/06/2025,,not on datasheet,y,base,,,,,,1,,
13,blue,AB13,,12/06/2025,,not on datasheet,y,middle,,mm,0.2,0.031415927,2,1,,
13,blue,AB13,,12/06/2025,,not on datasheet,y,middle,,mm,0.3,0.070685835,,,,
13,blue,AB13,,12/06/2025,,not on datasheet,y,middle,,mm,0.3,0.070685835,,,,
13,blue,AB13,,12/06/2025,,not on datasheet,y,tip,,ep,1.2,0.753982237,6,,,
13,blue,AB13,,12/06/2025,,not on datasheet,y,tip,,ep,1.1,0.633554518,,,,
14,blue,AB14,,12/06/2025,,not on datasheet,x,base,,mm,2,3.141592654,,3,,
14,blue,AB14,,12/06/2025,,not on datasheet,x,middle,,mm,1.5,1.767145868,4,2,,
14,blue,AB14,,12/06/2025,,not on datasheet,x,middle,,ep,1.1,0.633554518,,,,
14,blue,AB14,,12/06/2025,,not on datasheet,x,tip,,mm,0.4,0.125663706,,,,
14,blue,AB14,,12/06/2025,,not on datasheet,x,tip,,mm,0.5,0.196349541,,,,
14,blue,AB14,,12/06/2025,,not on datasheet,y,base,,mm,0.3,0.070685835,,1,,
14,blue,AB14,,12/06/2025,,not on datasheet,y,middle,,mm,1.2,1.130973355,10,2,,
14,blue,AB14,,12/06/2025,,not on datasheet,y,middle,,mm,1.4,1.5393804,,,,
14,blue,AB14,,12/06/2025,,not on datasheet,y,middle,,mm,0.4,0.125663706,,,,
14,blue,AB14,,12/06/2025,,not on datasheet,y,middle,,mm,0.3,0.070685835,,,,
14,blue,AB14,,12/06/2025,,not on datasheet,y,middle,,mm,0.2,0.031415927,,,,
14,blue,AB14,,12/06/2025,,not on datasheet,y,middle,,mm,0.1,0.007853982,,,,
14,blue,AB14,,12/06/2025,,not on datasheet,y,middle,,mm,0.2,0.031415927,,,,
14,blue,AB14,,12/06/2025,,not on datasheet,y,middle,,mm,0.1,0.007853982,,,,
14,blue,AB14,,12/06/2025,,not on datasheet,y,middle,,mm,0.4,0.125663706,,,,
14,blue,AB14,,12/06/2025,,not on datasheet,y,middle,,ep,1.3,0.884881931,,,,
14,blue,AB14,,12/06/2025,,not on datasheet,y,tip,,ep,0.5,0.130899694,1,1,,
17,blue,AB17,,04/06/2025,,,x,base,,,,,,,,
17,blue,AB17,,04/06/2025,,,x,middle,,ep,0.5,0.130899694,4,,,
17,blue,AB17,,04/06/2025,,,x,middle,,mm,0.5,0.196349541,,,,
17,blue,AB17,,04/06/2025,,,x,middle,,mm,0.3,0.070685835,,,,
17,blue,AB17,,04/06/2025,,,x,middle,,mm,0.2,0.031415927,,,,
17,blue,AB17,,04/06/2025,,,x,tip,,ep,0.5,0.130899694,3,2,,
17,blue,AB17,,04/06/2025,,,y,base,,ep,0.4,0.083775804,,,,
17,blue,AB17,,04/06/2025,,,y,middle,,mm,0.5,0.196349541,,,,
17,blue,AB17,,04/06/2025,,,y,middle,,mm,0.3,0.070685835,,,,
17,blue,AB17,,04/06/2025,,,y,middle,,mm,0.2,0.031415927,,,,
17,blue,AB17,,04/06/2025,,,y,middle,,ep,1,0.523598776,,,,
17,blue,AB17,,04/06/2025,,,y,tip,,ep,0.5,0.130899694,5,1,,
17,blue,AB17,,12/06/2025,,,x,base,,,,,,,,
17,blue,AB17,,12/06/2025,,,x,middle,,ep,0.8,0.335103216,1,,,
17,blue,AB17,,12/06/2025,,,x,middle,,mm,1,0.785398163,,,,
17,blue,AB17,,12/06/2025,,,x,middle,,mm,0.1,0.007853982,,,,
17,blue,AB17,,12/06/2025,,,x,middle,,mm,0.1,0.007853982,,,,
17,blue,AB17,,12/06/2025,,,x,middle,,mm,0.1,0.007853982,,,,
17,blue,AB17,,12/06/2025,,,x,middle,,mm,0.2,0.031415927,,,,
17,blue,AB17,,12/06/2025,,,x,middle,,mm,0.1,0.007853982,,,,
17,blue,AB17,,12/06/2025,,,x,middle,,mm,0.1,0.007853982,,,,
17,blue,AB17,,12/06/2025,,,x,middle,,mm,0.1,0.007853982,,,,
17,blue,AB17,,12/06/2025,,,x,tip,,ep,1.2,0.753982237,2,,,
17,blue,AB17,,12/06/2025,,,x,tip,,mm,0.3,0.070685835,,,,
17,blue,AB17,,12/06/2025,,,y,base,,,,,6,2,,
17,blue,AB17,,12/06/2025,,,y,middle,,mm,0.3,0.070685835,,,,
17,blue,AB17,,12/06/2025,,,y,middle,,mm,0.6,0.282743339,,,,
