tag_no,tag_colour,seaweed_id,rock_no,date_sampled,blade_length,notes,blade_side,blade_zone,blade_no,species,colony_length_max,colony_area,hydrozoan_count,spirobranchus_count,no_long_m
13,blue,AB13,,12/06/2025,,not on datasheet,x,base,,,,,,15,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,Membranipora,0.8,0.502654825,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,Membranipora,0.1,0.007853982,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,Membranipora,0.1,0.007853982,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,Membranipora,0.2,0.031415927,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,Membranipora,0.1,0.007853982,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,Membranipora,0.8,0.502654825,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,Membranipora,0.6,0.282743339,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,Membranipora,0.4,0.125663706,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,Membranipora,0.6,0.282743339,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,Membranipora,1.2,1.130973355,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,middle,,Membranipora,1.5,1.767145868,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,tip,,Membranipora,0.2,0.031415927,10,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,tip,,Membranipora,0.1,0.007853982,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,tip,,Membranipora,0.4,0.125663706,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,tip,,Membranipora,0.5,0.196349541,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,tip,,Membranipora,0.2,0.031415927,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,tip,,Membranipora,0.2,0.031415927,,,
13,blue,AB13,,12/06/2025,,not on datasheet,x,tip,,Membranipora,0.2,0.031415927,,,
13,blue,AB13,,12/06/2025,,not on datasheet,y,base,,,,,,1,
13,blue,AB13,,12/06/2025,,not on datasheet,y,middle,,Membranipora,0.2,0.031415927,2,1,
