tag_no,tag_colour,seaweed_id,rock_no,date_sampled,blade_length,notes,blade_side,blade_zone,blade_no,species,colony_length_max,colony_area,hydrozoan_count,spirobranchus_count,no_long_m
,orange_yellow,YO13,13,12/06/2025,50,,,,1,Spirobranchus,,NA,NA,10,NA
,orange_yellow,YO19,19,12/06/2025,40,,,,2,,,NA,NA,NA,NA
,orange_yellow,YO01,1,04/06/2025,NA,,,,2,,,NA,NA,NA,NA
,orange_yellow,YO01,1,04/06/2025,NA,,,,2,Hydrozoa,,NA,4,NA,NA
,orange_yellow,YO01,1,04/06/2025,18,,,,1,Membranipora,1.4,1.5393804,NA,NA,NA
,orange_yellow,YO01,1,04/06/2025,18,,,,1,Membranipora,1.8,2.544690049,NA,NA,NA
,orange_yellow,YO01,1,04/06/2025,18,,,,1,Membranipora,1,0.785398163,NA,NA,NA
,orange_yellow,YO01,1,12/06/2025,NA,mia,,,NA,,,NA,NA,NA,NA
,orange_yellow,YO02,2,04/06/2025,NA,mia,,,NA,,,NA,NA,NA,NA
,orange_yellow,YO02,2,12/06/2025,22,,,,1,,,NA,NA,NA,NA
,orange_yellow,YO02,2,12/06/2025,22,,,,1,Spirobranchus,,NA,NA,1,NA
,orange_yellow,YO03,3,04/06/2025,NA,mia,,,NA,,,NA,NA,NA,NA
,orange_yellow,YO03,3,12/06/2025,32,,,,1,,,NA,NA,NA,NA
,orange_yellow,YO04,4,04/06/2025,26,,,,1,Membranipora,1.6,2.010619298,NA,NA,NA
,orange_yellow,YO04,4,12/06/2025,50,,,,1,Membranipora,1,0.785398163,NA,NA,NA
,orange_yellow,YO04,4,12/06/2025,50,,,,1,Spirobranchus,1,NA,NA,2,NA
,orange_yellow,YO05,5,04/06/2025,NA,clean,,,4,,,NA,NA,NA,NA
,orange_yellow,YO05,5,04/06/2025,65,,,,1,Membranipora,1,0.785398163,NA,NA,NA
,orange_yellow,YO05,5,04/06/2025,NA,,,,2,Membranipora,0.6,0.282743339,NA,NA,NA
,orange_yellow,YO05,5,04/06/2025,NA,,,,3,Membranipora,0.9,0.636172512,NA,NA,NA
,orange_yellow,YO05,5,12/06/2025,75,,,,2,,,NA,NA,NA,NA
,orange_yellow,YO05,5,12/06/2025,15,,,,3,,2,NA,NA,NA,NA
,orange_yellow,YO05,5,12/06/2025,15,,,,3,,1.5,NA,NA,NA,NA
,orange_yellow,YO05,5,12/06/2025,23,,,,5,,,NA,NA,NA,NA
,orange_yellow,YO05,5,12/06/2025,70,1 blue ray limpet,,,1,Hydrozoa,,NA,3,NA,NA
,orange_yellow,YO05,5,12/06/2025,45,,,,4,Hydrozoa,,NA,8,NA,NA
,orange_yellow,YO05,5,12/06/2025,75,,,,2,Hydrozoa,,NA,15,NA,NA
,orange_yellow,YO05,5,12/06/2025,15,,,,3,Hydrozoa,,NA,1,NA,NA
,orange_yellow,YO05,5,12/06/2025,70,1 blue ray limpet,,,1,Membranipora,1,0.785398163,NA,NA,NA
,orange_yellow,YO05,5,12/06/2025,45,,,,4,Membranipora,0.4,0.125663706,NA,NA,NA
,orange_yellow,YO05,5,12/06/2025,45,,,,4,Spirobranchus,,NA,NA,7,NA
,orange_yellow,YO05,5,12/06/2025,75,,,,2,Spirobranchus,,NA,NA,10,NA
,orange_yellow,YO05,5,12/06/2025,15,,,,3,Spirobranchus,,NA,NA,10,NA
,orange_yellow,YO05,5,12/06/2025,23,,,,5,Spirobranchus,,NA,NA,3,NA
,orange_yellow,YO06,6,04/06/2025,NA,,,,2,Hydrozoa,0.2,NA,1,NA,NA
,orange_yellow,YO06,6,04/06/2025,NA,,,,2,Hydrozoa,0.3,NA,1,NA,NA
,orange_yellow,YO06,6,04/06/2025,48,,,,1,Membranipora,0.2,0.031415927,NA,NA,NA
,orange_yellow,YO06,6,04/06/2025,48,,,,1,Membranipora,1.5,1.767145868,NA,NA,NA
,orange_yellow,YO06,6,04/06/2025,NA,,,,2,Membranipora,0.2,0.031415927,NA,NA,NA
,orange_yellow,YO06,6,04/06/2025,NA,,,,2,Membranipora,0.3,0.070685835,NA,NA,NA
,orange_yellow,YO06,6,04/06/2025,NA,,,,3,Membranipora,1.2,1.130973355,NA,NA,NA
,orange_yellow,YO06,6,04/06/2025,NA,,,,3,Membranipora,1.4,1.5393804,NA,NA,NA
,orange_yellow,YO06,6,04/06/2025,NA,,,,4,Membranipora,0.5,0.196349541,NA,NA,NA
,orange_yellow,YO06,6,04/06/2025,NA,,,,5,Membranipora,0.2,0.031415927,NA,NA,NA
,orange_yellow,YO06,6,04/06/2025,NA,,,,5,Membranipora,0.2,0.031415927,NA,NA,NA
,orange_yellow,YO06,6,04/06/2025,48,,,,1,Spirobranchus,0.2,NA,NA,4,NA
,orange_yellow,YO06,6,04/06/2025,48,,,,1,Spirobranchus,1.5,NA,NA,4,NA
,orange_yellow,YO06,6,12/06/2025,42,,,,1,,,NA,NA,NA,NA
,orange_yellow,YO06,6,12/06/2025,20,,,,2,Membranipora,1,0.785398163,NA,NA,NA
,orange_yellow,YO07,7,04/06/2025,NA,mia,,,NA,,,NA,NA,NA,NA
,orange_yellow,YO07,7,12/06/2025,NA,mia,,,1,Membranipora,0.2,0.031415927,NA,NA,NA
,orange_yellow,YO08,8,04/06/2025,40,,,,1,Hydrozoa,0.2,NA,5,NA,NA
,orange_yellow,YO08,8,04/06/2025,40,,,,1,Membranipora,0.2,0.031415927,NA,NA,NA
,orange_yellow,YO08,8,04/06/2025,40,,,,1,Membranipora,1,0.785398163,NA,NA,NA
,orange_yellow,YO08,8,04/06/2025,40,,,,1,Membranipora,0.2,0.031415927,NA,NA,NA
,orange_yellow,YO08,8,04/06/2025,40,,,,1,Membranipora,0.1,0.007853982,NA,NA,NA
,orange_yellow,YO08,8,04/06/2025,NA,,,,2,Membranipora,1.8,2.544690049,NA,NA,NA
,orange_yellow,YO08,8,04/06/2025,40,,,,1,Pilosa,0.2,0.020943951,NA,NA,NA
,orange_yellow,YO08,8,04/06/2025,NA,,,,2,Pilosa,0.6,0.188495559,NA,NA,NA
,orange_yellow,YO08,8,04/06/2025,40,,,,1,Spirobranchus,0.2,NA,NA,1,NA
,orange_yellow,YO08,8,04/06/2025,40,,,,1,Spirobranchus,1,NA,NA,1,NA
,orange_yellow,YO08,8,04/06/2025,40,,,,1,Spirobranchus,0.2,NA,NA,1,NA
,orange_yellow,YO08,8,04/06/2025,NA,,,,2,Spirobranchus,1.8,NA,NA,1,NA
,orange_yellow,YO08,8,04/06/2025,40,,,,1,Spirobranchus,0.2,NA,NA,1,NA
,orange_yellow,YO08,8,04/06/2025,NA,,,,2,Spirobranchus,0.6,NA,NA,1,NA
,orange_yellow,YO08,8,12/06/2025,27,,,,1,,,NA,NA,NA,NA
,orange_yellow,YO08,8,12/06/2025,27,,,,1,Spirobranchus,,NA,NA,1,NA
,orange_yellow,YO09,9,04/06/2025,NA,,,,1,Membranipora,0.3,0.070685835,NA,NA,NA
,orange_yellow,YO09,9,12/06/2025,23,,,,1,,,NA,NA,NA,NA
,orange_yellow,YO09,9,12/06/2025,7,,,,2,,,NA,NA,NA,NA
,orange_yellow,YO09,9,12/06/2025,7,,,,2,Spirobranchus,,NA,NA,1,NA
,orange_yellow,YO10,10,04/06/2025,17,,,,1,,,NA,NA,NA,NA
,orange_yellow,YO11,11,04/06/2025,NA,,,,4,,,NA,NA,NA,NA
,orange_yellow,YO11,11,04/06/2025,NA,,,,3,Hydrozoa,2,NA,9,NA,NA
,orange_yellow,YO11,11,04/06/2025,66,,,,1,Membranipora,0.2,0.031415927,NA,NA,NA
,orange_yellow,YO11,11,04/06/2025,66,,,,1,Membranipora,0.1,0.007853982,NA,NA,NA
,orange_yellow,YO11,11,04/06/2025,66,,,,1,Membranipora,0.1,0.007853982,NA,NA,NA
,orange_yellow,YO11,11,04/06/2025,66,,,,1,Membranipora,0.1,0.007853982,NA,NA,NA
,orange_yellow,YO11,11,04/06/2025,66,,,,1,Membranipora,0.2,0.031415927,NA,NA,NA
,orange_yellow,YO11,11,04/06/2025,66,,,,1,Membranipora,0.3,0.070685835,NA,NA,NA
,orange_yellow,YO11,11,04/06/2025,66,,,,1,Membranipora,0.2,0.031415927,NA,NA,NA
,orange_yellow,YO11,11,04/06/2025,NA,,,,2,Membranipora,1.3,1.327322896,NA,NA,NA
,orange_yellow,YO11,11,04/06/2025,NA,,,,2,Membranipora,0.1,0.007853982,NA,NA,NA
,orange_yellow,YO11,11,04/06/2025,NA,,,,2,Membranipora,0.1,0.007853982,NA,NA,NA
,orange_yellow,YO11,11,04/06/2025,66,,,,1,Pilosa,0.9,0.424115008,NA,NA,NA
,orange_yellow,YO11,11,04/06/2025,66,,,,1,Pilosa,0.8,0.335103216,NA,NA,NA
,orange_yellow,YO11,11,04/06/2025,NA,,,,2,Pilosa,1,0.523598776,NA,NA,NA
,orange_yellow,YO11,11,04/06/2025,NA,,,,3,Pilosa,2,2.094395102,NA,NA,NA
,orange_yellow,YO11,11,04/06/2025,NA,,,,2,Pilosa,0.9,0.424115008,NA,NA,NA
,orange_yellow,YO11,11,04/06/2025,NA,,,,2,Pilosa,0.4,0.083775804,NA,NA,NA
,orange_yellow,YO11,11,12/06/2025,35,,,,3,,,NA,NA,NA,NA
,orange_yellow,YO11,11,12/06/2025,25,,,,4,,,NA,NA,NA,NA
,orange_yellow,YO11,11,12/06/2025,60,,,,1,Hydrozoa,1,NA,1,NA,NA
,orange_yellow,YO11,11,12/06/2025,60,,,,1,Membranipora,0.2,0.031415927,NA,NA,NA
