sample_id,qubit_conc,ND_conc,a260_280,a260_230,d230_w,d280_w,.w
WESA-APR2-S04-EDNA,8.82,70.75,1.815,0.935,-1.065,-0.0751,0.1407762051942831
WESA-APR2-S02-eDNA,4.82,46.67,2.165,1.907,-0.09299999999999997,0.16500000000000004,0.8924000527182823
KIL-MAY-S05-EDNA,39.2,91.5,2.074,1.528,-0.472,0.07399999999999984,0.9801231860137348
NTN-APR2-S01,15.6,47.37,2.097,0.796,-1.1067,0.09699999999999998,0.9888142183593817
ALG-APR-1NE-EDNA,8.9,31.12,2.104,3.518,0.8970999999999989,0.10400000000000009,0.9945702382709575
WESP-APR-03-EDNA,4.36,27.55,2.096,2.206,0.20599999999999996,0.09600000000000009,1
KIL-APR-S04-EDNA,55.4,158.72,2.108,1.705,-0.29499999999999993,0.1080000000000001,1
KOA-MAY-S03-EDNA,40,103.21,1.972,1.779,-0.22100000000000009,-0.028000000000000025,1
OBA-APR-S03-EDNA,26.6,129.77,2.144,2.337,0.3370000000000002,0.14400000000000013,1
WESP-APR2-S01-EDNA,17.1,89.81,2.137,1.899,-0.10099999999999998,0.137,1
WESP-APR-S02-EDNA,45.6,204.77,2.169,2.155,0.1549999999999998,0.16900000000000004,1
KIL-APR2-S03-EDNA,33.4,133.39,2.13,2.518,0.5179999999999998,0.1299999999999999,1
KIL-APR2-S05-EDNA,21.2,81.76,2.114,2.631,0.6309999999999998,0.11399999999999988,1
ATL-APR2-S02-EDNA,8.92,53.5,2.197,0.935,-1.065,0.17740000000000003,1
ALG-APR-S01-4-SW,19.5,70.1,2.078,1.256,-0.744,0.07799999999999985,1
