sample_id,ND_conc,Units,a260,a280,a260_280,a260_230,qubit_conc
WESA-APR2-S02-eDNA,46.67,ng/ul,0.933,0.431,2.165,1.907,4.82
WESP-APR-03-EDNA,27.55,ng/ul,0.551,0.263,2.096,2.206,4.36
KIL-APR-S04-EDNA,158.72,ng/ul,3.174,1.506,2.108,1.705,55.4
KOA-MAY-S03-EDNA,103.21,ng/ul,2.064,1.047,1.972,1.779,40
OBA-APR-S03-EDNA,129.77,ng/ul,2.595,1.21,2.144,2.337,26.6
WESP-APR2-S01-EDNA,89.81,ng/ul,1.796,0.84,2.137,1.899,17.1
WESP-APR-S02-EDNA,204.77,ng/ul,4.095,1.888,2.169,2.155,45.6
KIL-APR2-S03-EDNA,133.39,ng/ul,2.668,1.252,2.13,2.518,33.4
KIL-APR2-S05-EDNA,81.76,ng/ul,1.635,0.773,2.114,2.631,21.2
ALG-APR-1NE-EDNA,31.12,ng/ul,0.622,0.296,2.104,3.518,8.9
WESA-APR2-S04-EDNA,70.75,ng/ul,1.415,0.78,1.815,0.935,8.82
ATL-APR2-S02-EDNA,53.5,ng/ul,1.07,0.487,2.197,0.935,8.92
NTN-APR2-S01,47.37,ng/ul,0.947,0.452,2.097,0.796,15.6
KIL-MAY-S05-EDNA,91.5,ng/ul,1.83,0.882,2.074,1.528,39.2
ALG-APR-S01-4-SW,70.1,ng/ul,1.402,0.675,2.078,1.256,19.5
