Date,Sample Name,Nano_ng_ul,A260_A280,A260_A230,A230,A280,real_qubit
,a1a1,-0.67,0.495,-0.545,-2.545,-1.505,0.194
,a1a2,50.64,2.14,7.376,2.7295,0.14,NA
,a1a3,12.88,2.628,1.149,-0.851,0.628,9.78
,a1a4,10.75,2.928,1.29,-0.71,0.928,5.06
,a1a5,19.96,2.287,1.958,-0.042,0.287,NA
,a1a6,15.35,2.326,-2.03,-4.03,0.326,NA
,a1b1,-3.51,1.619,0.149,-1.851,-0.381,NA
,a1b2,6.72,2.731,-15.571,-15.90975,0.731,4.98
,a1b3,5.45,3.213,-0.408,-2.408,1.213,3.84
,a1b4,23.42,2.714,0.453,-1.547,0.714,6.42
,a1b5,16.13,2.466,-2.241,-4.241,0.466,9.52
,a1b6,24.31,2.31,-12.921,-14.921,0.31,NA
,a1c1,39.02,2.244,4.809,2.7295,0.244,NA
,a1c2,17.56,2.302,4.35,2.35,0.302,NA
,a1c3,1532.84,1.477,0.649,-1.351,-0.523,NA
,a1c4,57.26,2.255,6.613,2.7295,0.255,NA
,a1c5,16.84,2.355,-13.846,-15.846,0.355,NA
,a1c6,47.46,2.314,2.403,0.403,0.314,NA
,a1d1,17.6,2.502,-62.277,-15.90975,0.502,NA
,a1d2,70.64,2.183,3.183,1.183,0.183,NA
,a1d3,62.31,2.218,3.352,1.352,0.218,NA
,a1d4,3.38,-0.644,-0.096,-2.096,-1.78975,5.26
,a1d5,15.52,2.479,-2.356,-4.356,0.479,NA
,a1d6,17.62,2.572,-8.696,-10.696,0.572,6.58
11/24/2025 11:55:25 AM,a2a11,91.82,2.018,1.905,0.964,0.91,NA
11/24/2025 11:57:06 AM,a2a2 1,8.3,2.144,6.016,0.028,0.077,NA
11/24/2025 12:09:08 PM,a2a3 1,25.76,1.944,2.996,0.172,0.265,NA
11/24/2025 12:11:14 PM,a2a4 1,110.95,2.147,1.537,1.444,1.033,NA
11/24/2025 12:13:01 PM,a2a5 1,16.5,2.418,0.447,0.738,0.137,NA
11/24/2025 12:16:27 PM,a2a6 1,22.16,2.265,0.458,0.968,0.196,8.56
11/24/2025 12:18:09 PM,a2b1 1,25.65,2.22,0.765,0.671,0.231,NA
11/24/2025 12:20:30 PM,a2b2 1,27.51,2.314,0.441,1.247,0.238,NA
11/24/2025 12:22:00 PM,a2b3 1,27.63,2.069,0.582,0.95,0.267,14.3
11/24/2025 12:23:09 PM,a2b4 1,45.38,2.211,1.167,0.778,0.411,NA
11/24/2025 12:24:14 PM,a2b5 1,15.64,2.256,0.97,0.322,0.139,NA
11/24/2025 12:25:28 PM,a2b6 1,59.38,2.219,1.119,1.061,0.535,NA
11/24/2025 12:26:49 PM,a2c1 1,66.63,2.125,0.997,1.337,0.627,27.8
11/24/2025 12:27:46 PM,a2c2 1,62.31,2.136,1.765,0.706,0.583,30.6
