sample_id,qubit_conc,ND_conc,a260_280,a260_230,d230_w,d280_w,.w
b2c4,5.6,30.28,2.489,1.128,-0.8720000000000001,0.4889999999999999,0.724513101967
a1d4,5.26,3.38,-0.644,-0.096,-2.096,-0.1550499999999998,0.7900431883993626
a1a3,9.78,12.88,2.628,1.149,-0.851,0.6280000000000001,0.8692157350284737
c1c6 1,7.84,33.55,2.132,0.568,-1.432,0.13200000000000012,0.8988501847617121
c1b2 1,8.42,36.75,2.103,1.52,-0.48,0.1030000000000002,0.9175586478912745
a2c2 1,30.6,62.31,2.136,1.765,-0.2350000000000001,0.13600000000000012,0.9286008496669447
b2b4,6.36,8.77,2.889,-0.848,-2.848,0.8889999999999998,0.9795765651018186
b2d6,3.1,9.97,3.651,0.497,-1.5030000000000001,0.9422499999999991,0.9859854692921106
b2d5,7.26,24.33,2.412,-3.433,-5.433,0.4119999999999999,0.9914594003911196
a1a1,0.194,-0.67,0.495,-0.545,-2.545,-0.1550499999999998,1
a1a4,5.06,10.75,2.928,1.29,-0.71,0.9279999999999999,1
a1b2,4.98,6.72,2.731,-15.571,-10.928999999999998,0.7309999999999999,1
a1b3,3.84,5.45,3.213,-0.408,-2.408,0.9422499999999991,1
a1b4,6.42,23.42,2.714,0.453,-1.547,0.714,1
a1b5,9.52,16.13,2.466,-2.241,-4.241,0.4660000000000002,1
a1d6,6.58,17.62,2.572,-8.696,-10.696,0.5720000000000001,1
a2a6 1,8.56,22.16,2.265,0.458,-1.542,0.2650000000000001,1
a2b3 1,14.3,27.63,2.069,0.582,-1.4180000000000001,0.06899999999999995,1
a2c1 1,27.8,66.63,2.125,0.997,-1.0030000000000001,0.125,1
b1b3 1,8.26,24.11,2.122,2.043,0.04300000000000015,0.12199999999999989,1
b1b4 1,17.4,38.1,2.054,1.917,-0.08299999999999996,0.053999999999999826,1
b1c1 1,11.9,40.73,2.159,0.81,-1.19,0.1589999999999998,1
b2a2,8.91,31.31,2.354,3.301,1.3010000000000002,0.3540000000000001,1
b2a4,11,21.69,2.628,1.068,-0.9319999999999999,0.6280000000000001,1
b2b2,12.7,18.9,2.491,-13.356,-10.928999999999998,0.4910000000000001,1
b2b3,6.86,17.49,2.282,-3.066,-5.066,0.28200000000000003,1
b2b5,27.6,83,2.202,4.663,1.3690999999999964,0.20199999999999996,1
b2d2,6.28,21.14,2.72,9.015,1.3690999999999964,0.7200000000000002,1
c1a3 1,27.2,98.42,2.102,2.316,0.31599999999999984,0.10199999999999987,1
c1a5 1,24.2,57.58,2.13,1.262,-0.738,0.1299999999999999,1
c1b1 1,40.4,239.62,2.172,2.227,0.22699999999999987,0.17200000000000015,1
c1b4 1,20.2,48.39,2.085,1.819,-0.18100000000000005,0.08499999999999996,1
c1b5 1,44.2,253.61,2.163,2.316,0.31599999999999984,0.1629999999999998,1
c1c1 1,21.8,68.5,2.057,1.786,-0.21399999999999997,0.05699999999999994,1
c1c3 1,20.8,67.3,2.084,1.454,-0.546,0.08400000000000007,1
c1c4 1,39.8,149.9,2.155,1.971,-0.028999999999999915,0.1549999999999998,1
c1c5 1,51.8,344.89,2.184,2.248,0.24800000000000022,0.18400000000000016,1
c1d5 1,38.8,145.55,2.119,2.245,0.2450000000000001,0.11900000000000022,1
c1d6 1,7.96,24.21,1.993,1.108,-0.8919999999999999,-0.006999999999999895,1
c2a2 1,14,32.91,1.916,2.3,0.2999999999999998,-0.08400000000000007,1
