sample_id,ND_conc,a260_280,a260_230,a2060,a280
1a1,-0.67,0.495,-0.545,-0.013,-0.027
1a2,50.64,2.14,7.376,1.013,0.473
1a3,12.88,2.628,1.149,0.258,0.098
1a4,10.75,2.928,1.29,0.215,0.073
1a5,19.96,2.287,1.958,0.399,0.175
1a6,15.35,2.326,-2.03,0.307,0.132
1b1,-3.51,1.619,0.149,-0.07,-0.043
1b2,6.72,2.731,-15.571,0.134,0.049
1b3,5.45,3.213,-0.408,0.109,0.034
1b4,23.42,2.714,0.453,0.468,0.173
1b5,16.13,2.466,-2.241,0.323,0.131
1b6,24.31,2.31,-12.921,0.486,0.211
1c1,39.02,2.244,4.809,0.78,0.348
1c2,17.56,2.302,4.35,0.351,0.153
1c3,1532.84,1.477,0.649,30.657,20.761
1c4,57.26,2.255,6.613,1.145,0.508
1c5,16.84,2.355,-13.846,0.337,0.143
1c6,47.46,2.314,2.403,0.949,0.41
1d1,17.6,2.502,-62.277,0.352,0.141
1d2,70.64,2.183,3.183,1.413,0.647
1d3,62.31,2.218,3.352,1.246,0.562
1d4,3.38,-0.644,-0.096,0.068,-0.105
1d5,15.52,2.479,-2.356,0.31,0.125
1d6,17.62,2.572,-8.696,0.352,0.137
2a1,70.49,2.205,5.404,1.41,0.639
2a2,31.31,2.354,3.301,0.626,0.266
2a3,57.94,2.203,1.979,1.159,0.526
2a4,21.69,2.628,1.068,0.434,0.165
2a5,43.22,2.224,5.854,0.864,0.389
2a6,5.16,3.802,-0.398,0.103,0.027
2b1,61.39,2.319,1.827,1.228,0.529
2b2,18.9,2.491,-13.356,0.378,0.152
2b3,17.49,2.282,-3.066,0.35,0.153
2b4,8.77,2.889,-0.848,0.175,0.061
2b5,83,2.202,4.663,1.66,0.754
2b6,29.69,2.343,9.347,0.594,0.253
2c1,19.42,2.485,-2.183,0.388,0.156
2c2,53.96,2.236,9.931,1.079,0.483
2c3,35.66,2.285,9.18,0.713,0.312
2c4,30.28,2.489,1.128,0.606,0.243
2c5,29.83,2.204,-6.044,0.597,0.271
2c6,21.81,2.513,-2.493,0.436,0.174
2d1,33.72,2.269,23.611,0.674,0.297
2d2,21.14,2.72,9.015,0.423,0.155
2d3,24.1,2.371,-5.427,0.482,0.203
2d4,24.46,2.392,-3.394,0.489,0.205
2d5,24.33,2.412,-3.433,0.487,0.202
2d6,9.97,3.651,0.497,0.199,0.055
