site_code,sample,date_sampled,Analysis date,NO3_NO2,NO2_um,NO3_um,PO4_um,Salinity,chla_ug_L
KIL_NOV,S01,11/19/2024,22_1_2025,3.403,0.097,3.306,0.430,26,1.249164
KIL_NOV,S02,11/19/2024,22_1_2025,8.872,0.216,8.656,0.491,28,0.5528968
KIL_NOV,S03,11/19/2024,22_1_2025,6.806,0.141,6.665,0.600,35,0.4595176
KIL_NOV,S04,11/19/2024,22_1_2025,10.093,0.252,9.841,0.498,32,0.6394712
KIL_NOV,S05,11/19/2024,22_1_2025,1.485,0.202,1.283,0.470,25,0.6570888
KIL_DEC,S01,12/12/2024,22_1_2025,3.006,0.148,2.859,0.503,26,0.4665008
KIL_DEC,S02,12/12/2024,22_1_2025,5.835,0.065,5.769,0.441,24,0.2328048
KIL_DEC,S03,12/12/2024,22_1_2025,5.474,0.126,5.348,0.465,26,0.2241576
KIL_DEC,S04,12/12/2024,22_1_2025,3.008,0.090,2.918,0.467,23,0.871872
KIL_DEC,S05,12/12/2024,22_1_2025,2.527,0.069,2.458,0.415,21,0.580976
ATL_DEC,S01,10/12/2024,22_1_2025,6.954,0.108,6.846,0.498,35,0.3689384
ATL_DEC,S02,10/12/2024,22_1_2025,3.884,0.047,3.837,0.484,32,0.7019512
ATL_DEC,S03,10/12/2024,22_1_2025,3.474,0.236,3.237,0.515,31,0.1770544
ATL_DEC,S04,10/12/2024,22_1_2025,5.536,0.074,5.462,0.571,33,0.5182976
ATL_DEC,S05,10/12/2024,22_1_2025,5.766,0.092,5.674,0.576,35,0.0051496
JUR_NOV,S01,,3_2_2025,8.115,1.285,6.830,0.590,32,0.0625152
JUR_NOV,S02,,3_2_2025,7.418,0.746,6.672,0.533,23,1.9338968
JUR_NOV,S03,,3_2_2025,7.756,0.978,6.778,0.401,25,1.5012864
JUR_NOV,S04,,3_2_2025,6.142,1.015,5.126,0.425,23,1.1889104
JUR_NOV,S05,,3_2_2025,7.053,0.867,6.186,0.446,26,1.0480352
JUR_JAN,S01,,3_2_2025,7.520,0.133,7.387,0.460,29,0.5247424
JUR_JAN,S02,,3_2_2025,5.598,0.117,5.481,0.474,27,0.3093328
JUR_JAN,S03,,3_2_2025,4.784,0.103,4.682,0.366,23,0.156188
JUR_JAN,S04,,3_2_2025,6.053,0.117,5.936,0.434,25,0.193
JUR_JAN,S05,,3_2_2025,6.838,0.182,6.656,0.420,27,0.1626088
MULL_JAN,S01,,3_2_2025,4.586,0.049,4.536,0.472,26,0.097792
MULL_JAN,S02,,3_2_2025,2.809,0.044,2.765,0.486,15,0.1916544
MULL_JAN,S03,,3_2_2025,6.448,0.110,6.338,0.517,26,0.3984672
MULL_JAN,S04,,3_2_2025,6.366,0.051,6.315,0.460,27,0.0784744
MULL_JAN,S05,,3_2_2025,7.340,0.088,7.252,0.604,35,0.1414088
OBAN_JAN,S01,,3_2_2025,4.181,0.145,4.036,0.432,13,0.2193256
OBAN_JAN,S02,,3_2_2025,6.269,0.064,6.205,0.474,25,0.2852232
OBAN_JAN,S03,,3_2_2025,7.661,0.094,7.567,0.574,32,1.0634272
OBAN_JAN,S04,,3_2_2025,5.076,0.098,4.978,0.519,18,0.0676408
OBAN_JAN,S05,,3_2_2025,5.158,0.093,5.065,0.479,26,0.1134336
KIL-JAN,S01,,19_2_2025,4.848,0.110,4.738,0.435,27,0.695352
KIL-JAN,S02,,19_2_2025,6.812,0.089,6.723,0.533,35,0.587068
KIL-JAN,S03,,19_2_2025,7.200,0.163,7.037,0.599,34,0.4039216
KIL-JAN,S04,,19_2_2025,4.896,0.070,4.826,0.461,30,0.4470048
KIL-JAN,S05,,19_2_2025,5.475,0.100,5.375,0.533,30,0.48808
WESA-JAN,S01,,19_2_2025,8.652,0.197,8.455,0.388,24,
WESA-JAN,S02,,19_2_2025,12.960,0.234,12.726,0.477,32,
WESA-JAN,S03,,19_2_2025,10.683,0.200,10.483,0.419,26,
WESA-JAN,S04,,19_2_2025,12.082,0.187,11.895,0.423,28,
WESA-JAN,S05,,19_2_2025,12.483,0.247,12.236,0.449,30,
WESP-JAN,S01,,19_2_2025,6.656,0.186,6.469,0.374,27,
WESP-JAN,S02,,19_2_2025,5.405,0.180,5.225,0.374,29,
WESP-JAN,S03,,19_2_2025,6.312,0.180,6.133,0.363,26,
WESP-JAN,S04,,19_2_2025,6.464,0.191,6.273,0.358,27,
WESP-JAN,S05,,19_2_2025,6.248,0.172,6.076,0.344,25,
WESA-FEB,S01,,19_2_2025,9.065,0.327,8.738,0.405,30,
WESA-FEB,S02,,19_2_2025,8.509,0.268,8.241,0.407,27,
WESA-FEB,S03,,19_2_2025,10.997,0.342,10.655,0.484,35,
WESA-FEB,S04,,19_2_2025,8.793,0.245,8.548,0.367,28,
WESA-FEB,S05,,19_2_2025,9.836,0.301,9.535,0.416,32,
